W,x,Q2,g1/F1,dg1/F1(stat),dg1/F1(sys)
1.13,0.1115,0.0496,-0.058,0.3877,0.1329
1.15,0.1011,0.0496,-0.3474,0.2391,0.1036
1.17,0.0924,0.0496,-0.2005,0.1525,0.0753
1.19,0.0849,0.0496,-0.1824,0.1108,0.0655
1.21,0.0785,0.0496,-0.2622,0.086,0.0623
1.23,0.0729,0.0496,-0.1483,0.0812,0.0617
1.25,0.0679,0.0496,-0.251,0.0861,0.0653
1.27,0.0635,0.0496,-0.087,0.0991,0.0692
1.29,0.0596,0.0496,0.0979,0.1077,0.0714
1.31,0.0561,0.0496,-0.2286,0.1147,0.0739
1.33,0.0529,0.0496,-0.1323,0.1131,0.0666
1.35,0.0501,0.0496,-0.124,0.1163,0.0603
1.37,0.0475,0.0496,-0.1432,0.1144,0.0552
1.39,0.0451,0.0496,-0.1613,0.1161,0.0524
1.41,0.0429,0.0496,-0.269,0.1115,0.0612
1.43,0.0409,0.0496,-0.1398,0.1066,0.0474
1.45,0.039,0.0496,-0.022,0.0938,0.0474
1.47,0.0373,0.0496,0.0016,0.0805,0.049
1.49,0.0357,0.0496,0.0667,0.0697,0.0477
1.51,0.0343,0.0496,-0.2118,0.0646,0.0449
1.53,0.0329,0.0496,-0.0437,0.0637,0.0421
1.55,0.0316,0.0496,-0.1106,0.0693,0.0387
1.57,0.0304,0.0496,0.0628,0.0761,0.0327
1.59,0.0292,0.0496,-0.0339,0.0809,0.0251
1.61,0.0282,0.0496,-0.0474,0.0833,0.0203
1.63,0.0272,0.0496,-0.1079,0.0844,0.0214
1.65,0.0262,0.0496,-0.2121,0.0817,0.0251
1.11,0.1445,0.0592,-0.0353,0.3852,0.1876
1.13,0.1303,0.0592,0.2718,0.2099,0.1562
1.15,0.1184,0.0592,-0.081,0.1357,0.0937
1.17,0.1084,0.0592,-0.2314,0.0963,0.0704
1.19,0.0997,0.0592,-0.1896,0.074,0.0577
1.21,0.0923,0.0592,-0.2142,0.0628,0.0538
1.23,0.0857,0.0592,-0.2112,0.0596,0.0522
1.25,0.08,0.0592,-0.0651,0.068,0.0452
1.27,0.0749,0.0592,-0.2555,0.0816,0.0457
1.29,0.0703,0.0592,-0.0736,0.1002,0.0514
1.31,0.0662,0.0592,-0.0136,0.1088,0.0553
1.33,0.0626,0.0592,0.0381,0.1108,0.057
1.35,0.0592,0.0592,0.0075,0.1127,0.0531
1.37,0.0562,0.0592,0.0162,0.1149,0.0489
1.39,0.0534,0.0592,-0.0314,0.113,0.043
1.41,0.0508,0.0592,0.0697,0.109,0.0452
1.43,0.0484,0.0592,-0.0986,0.0964,0.0407
1.45,0.0463,0.0592,-0.1416,0.0864,0.0423
1.47,0.0442,0.0592,-0.0067,0.0744,0.0426
1.49,0.0424,0.0592,-0.0675,0.0656,0.041
1.51,0.0406,0.0592,-0.0944,0.062,0.0385
1.53,0.039,0.0592,-0.0337,0.0664,0.0364
1.55,0.0375,0.0592,-0.1304,0.0734,0.0334
1.57,0.036,0.0592,-0.1481,0.078,0.0295
1.59,0.0347,0.0592,0.0852,0.0841,0.0234
1.61,0.0334,0.0592,-0.0732,0.0836,0.0194
1.63,0.0323,0.0592,-0.0393,0.076,0.018
1.65,0.0312,0.0592,-0.1832,0.0718,0.0225
1.11,0.1679,0.0707,0.1069,0.3137,0.195
1.13,0.1518,0.0707,-0.277,0.2016,0.1455
