Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
4.504,0.773,1.4843,45.0,4740.0,NaN,NaN,NaN,NaN,NaN,-0.023,0.026,-0.039,0.0224,NaN,NaN,NaN,NaN,Flay
4.694,0.823,1.3747,45.0,4740.0,NaN,NaN,NaN,NaN,NaN,-0.032,0.0326,0.018,0.0275,NaN,NaN,NaN,NaN,Flay
4.876,0.874,1.2583,45.0,4740.0,NaN,NaN,NaN,NaN,NaN,-0.035,0.042,-0.071,0.0334,NaN,NaN,NaN,NaN,Flay
2.626,0.277,2.7811,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.024,0.0286,0.044,0.0447,NaN,NaN,NaN,NaN,Flay
3.032,0.325,2.6791,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,-0.016,0.0122,0.026,0.0173,NaN,NaN,NaN,NaN,Flay
3.421,0.374,2.5703,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,-0.006,0.0091,-0.001,0.012,NaN,NaN,NaN,NaN,Flay
3.802,0.424,2.4587,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,-0.022,0.0092,-0.005,0.0112,NaN,NaN,NaN,NaN,Flay
4.169,0.474,2.3466,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,-0.021,0.0104,0.007,0.0112,NaN,NaN,NaN,NaN,Flay
4.514,0.524,2.2318,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.002,0.012,0.0,0.0122,NaN,NaN,NaN,NaN,Flay
4.848,0.573,2.1197,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.004,0.0151,0.006,0.0132,NaN,NaN,NaN,NaN,Flay
5.176,0.624,1.9998,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.003,0.0182,-0.011,0.015,NaN,NaN,NaN,NaN,Flay
5.486,0.674,1.8798,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,-0.004,0.0221,-0.003,0.0171,NaN,NaN,NaN,NaN,Flay
5.777,0.723,1.7589,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.001,0.0282,-0.01,0.0212,NaN,NaN,NaN,NaN,Flay
6.059,0.773,1.6308,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.008,0.0352,0.007,0.0252,NaN,NaN,NaN,NaN,Flay
6.325,0.823,1.4969,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.009,0.0488,-0.095,0.0324,NaN,NaN,NaN,NaN,Flay
6.585,0.873,1.3558,45.0,5890.0,NaN,NaN,NaN,NaN,NaN,0.011,0.0646,-0.02,0.0416,NaN,NaN,NaN,NaN,Flay
1.2,0.782,1.103,NaN,NaN,NaN,-0.0026,0.0019,-0.0013,0.0012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.6799,1.203,NaN,NaN,NaN,-0.0094,0.0025,0.0038,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.5954,1.303,NaN,NaN,NaN,-0.0134,0.0038,0.011,0.0039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.5249,1.403,NaN,NaN,NaN,-0.0114,0.0044,0.0095,0.0055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.4657,1.503,NaN,NaN,NaN,-0.0047,0.0058,0.0114,0.0097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.4156,1.603,NaN,NaN,NaN,0.0007,0.0077,0.0146,0.0176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.3729,1.703,NaN,NaN,NaN,-0.0032,0.0101,0.0041,0.0271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.2,0.3363,1.803,NaN,NaN,NaN,-0.005,0.0126,-0.0379,0.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.85,1.103,NaN,NaN,NaN,0.0001,0.002,-0.004,0.0022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.7706,1.203,NaN,NaN,NaN,-0.0044,0.0029,0.0008,0.0029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.6995,1.303,NaN,NaN,NaN,-0.0067,0.0047,0.0056,0.0045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
1.9,0.6362,1.403,NaN,NaN,NaN,-0.0093,0.0048,0.0097,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
