W,x,Q2,g1,dg1(stat),dg1(sys)
2.475,0.2459,1.71,0.1654,0.0176,0.0182
2.525,0.2374,1.71,0.2422,0.0188,0.0188
2.575,0.2293,1.71,0.1967,0.0195,0.0188
2.625,0.2215,1.71,0.2172,0.0201,0.0197
2.675,0.2142,1.71,0.2011,0.0203,0.0209
2.725,0.2072,1.71,0.2256,0.0206,0.0238
2.775,0.2005,1.71,0.1894,0.0205,0.0259
2.825,0.1941,1.71,0.2024,0.0229,0.0321
2.875,0.188,1.71,0.1487,0.0283,0.0337
2.925,0.1822,1.71,0.2079,0.0504,0.0634
1.175,0.8043,2.05,-0.0048,0.0073,0.0015
1.225,0.7681,2.05,0.01,0.0096,0.0013
1.275,0.7337,2.05,0.0127,0.0077,0.002
1.325,0.7011,2.05,0.0257,0.0076,0.0029
1.375,0.6702,2.05,0.0455,0.0098,0.0043
1.425,0.6409,2.05,0.0504,0.0098,0.0046
1.475,0.6131,2.05,0.0911,0.0122,0.0103
1.525,0.5867,2.05,0.0992,0.0102,0.0076
1.575,0.5618,2.05,0.0664,0.0088,0.0055
1.625,0.5382,2.05,0.0745,0.0097,0.0059
1.675,0.5159,2.05,0.1351,0.0124,0.007
1.725,0.4947,2.05,0.1477,0.0131,0.0091
1.775,0.4747,2.05,0.1306,0.0117,0.009
1.825,0.4557,2.05,0.0892,0.0123,0.0117
1.875,0.4377,2.05,0.0847,0.0125,0.0135
1.925,0.4206,2.05,0.0929,0.0131,0.0145
1.975,0.4044,2.05,0.1378,0.0139,0.0156
2.025,0.3891,2.05,0.1175,0.0147,0.0119
2.075,0.3745,2.05,0.1535,0.0147,0.0169
2.125,0.3607,2.05,0.1624,0.0147,0.0157
2.175,0.3475,2.05,0.1655,0.0154,0.0153
2.225,0.335,2.05,0.1614,0.0161,0.0157
2.275,0.3231,2.05,0.1696,0.0154,0.0154
2.325,0.3118,2.05,0.1737,0.0158,0.0157
2.375,0.3011,2.05,0.1546,0.0157,0.0157
2.425,0.2908,2.05,0.2132,0.0165,0.0165
2.475,0.2811,2.05,0.2033,0.0173,0.0177
2.525,0.2717,2.05,0.1647,0.0173,0.0178
2.575,0.2629,2.05,0.1959,0.0166,0.0191
2.625,0.2544,2.05,0.2108,0.016,0.0202
2.675,0.2463,2.05,0.1786,0.0165,0.0216
2.725,0.2385,2.05,0.1918,0.0192,0.0254
2.775,0.2311,2.05,0.184,0.023,0.0299
2.825,0.2241,2.05,0.2424,0.0352,0.0481
2.875,0.2173,2.05,0.0968,0.0507,0.0358
1.125,0.8641,2.44,-0.0039,0.0062,0.0018
1.175,0.8302,2.44,-0.0005,0.006,0.0011
1.225,0.7977,2.44,-0.018,0.0074,0.0013
1.275,0.7664,2.44,0.0087,0.0058,0.0017
1.325,0.7363,2.44,0.0191,0.0063,0.0028
1.375,0.7075,2.44,0.0245,0.0067,0.0032
1.425,0.6799,2.44,0.0413,0.0074,0.0034
1.475,0.6535,2.44,0.0558,0.009,0.0062
1.525,0.6282,2.44,0.0687,0.0086,0.0061
1.575,0.6041,2.44,0.0618,0.008,0.0049
1.625,0.5811,2.44,0.0716,0.0086,0.0051
1.675,0.5591,2.44,0.0887,0.01,0.0055
1.725,0.5382,2.44,0.0993,0.0101,0.0072
1.775,0.5182,2.44,0.0859,0.0093,0.0069
1.825,0.4991,2.44,0.0788,0.0095,0.0097
1.875,0.4809,2.44,0.0828,0.0101,0.0113
1.925,0.4635,2.44,0.0821,0.0113,0.012
1.975,0.447,2.44,0.0966,0.0117,0.0125
2.025,0.4312,2.44,0.0989,0.0113,0.0093
2.075,0.4161,2.44,0.133,0.0121,0.0147
2.125,0.4017,2.44,0.1441,0.0124,0.0136
2.175,0.388,2.44,0.1378,0.0136,0.0137
2.225,0.3749,2.44,0.1649,0.0136,0.0136
2.275,0.3623,2.44,0.1491,0.0138,0.0138
2.325,0.3504,2.44,0.1678,0.0136,0.0141
2.375,0.3389,2.44,0.1479,0.013,0.0139
2.425,0.328,2.44,0.1504,0.0134,0.0149
2.475,0.3175,2.44,0.1451,0.0126,0.0148
2.525,0.3075,2.44,0.1672,0.0132,0.0159
2.575,0.298,2.44,0.1527,0.0142,0.0168
2.625,0.2888,2.44,0.1998,0.0177,0.0216
2.675,0.28,2.44,0.1917,0.0206,0.0256
2.725,0.2716,2.44,0.1992,0.026,0.0347
2.775,0.2635,2.44,0.1309,0.0349,0.0309
2.825,0.2558,2.44,0.1786,0.0806,0.0562
2.875,0.2484,2.44,-0.2398,0.2878,0.0695
1.125,0.8838,2.92,-0.0024,0.003,0.0008
1.175,0.8541,2.92,-0.0024,0.0044,0.0008
1.225,0.8251,2.92,-0.0041,0.0065,0.0009
1.275,0.797,2.92,-0.005,0.0043,0.0013
1.325,0.7697,2.92,0.0081,0.0038,0.0018
1.375,0.7432,2.92,0.0136,0.0041,0.0023
1.425,0.7176,2.92,0.0175,0.0047,0.0023
1.475,0.6929,2.92,0.0462,0.007,0.0047
1.525,0.6691,2.92,0.0457,0.0071,0.0047
1.575,0.6462,2.92,0.0471,0.0069,0.0041
1.625,0.6241,2.92,0.0521,0.0072,0.0039
1.675,0.6028,2.92,0.073,0.0081,0.0043
1.725,0.5824,2.92,0.0791,0.0081,0.0057
1.775,0.5627,2.92,0.0717,0.0079,0.0055
1.825,0.5439,2.92,0.0737,0.0085,0.0079
1.875,0.5258,2.92,0.0901,0.0094,0.0092
1.925,0.5084,2.92,0.0888,0.0102,0.0098
1.975,0.4917,2.92,0.08,0.0103,0.0103
2.025,0.4757,2.92,0.094,0.01,0.0082
2.075,0.4603,2.92,0.1167,0.0101,0.0131
2.125,0.4455,2.92,0.0966,0.0099,0.0116
2.175,0.4314,2.92,0.1257,0.0105,0.0113
2.225,0.4178,2.92,0.1086,0.0103,0.011
2.275,0.4048,2.92,0.1262,0.0108,0.0116
2.325,0.3923,2.92,0.1479,0.0112,0.0119
2.375,0.3803,2.92,0.1334,0.0125,0.0134
2.425,0.3687,2.92,0.1665,0.0141,0.0144
2.475,0.3577,2.92,0.1524,0.0157,0.0163
2.525,0.347,2.92,0.1494,0.0191,0.0168
2.575,0.3368,2.92,0.2019,0.0226,0.024
2.625,0.327,2.92,0.3101,0.0306,0.0402
2.675,0.3176,2.92,0.1923,0.0484,0.034
2.725,0.3085,2.92,0.1471,0.1222,0.0343
1.175,0.8746,3.48,-0.0049,0.0035,0.0008
1.225,0.849,3.48,0.0012,0.0061,0.001
1.275,0.8239,3.48,0.006,0.0036,0.0011
1.325,0.7993,3.48,0.0117,0.0044,0.0023
1.375,0.7752,3.48,0.0117,0.0042,0.0022
1.425,0.7518,3.48,0.0248,0.0051,0.0021
1.525,0.7068,3.48,0.0307,0.0045,0.003
1.575,0.6852,3.48,0.0235,0.004,0.0026
1.625,0.6643,3.48,0.026,0.0046,0.0028
1.675,0.644,3.48,0.0453,0.0065,0.0035
1.725,0.6243,3.48,0.0597,0.0074,0.0043
1.775,0.6053,3.48,0.0518,0.0069,0.0041
1.825,0.587,3.48,0.0605,0.0072,0.0061
1.875,0.5692,3.48,0.0571,0.0074,0.0071
1.925,0.552,3.48,0.0581,0.0076,0.0075
1.975,0.5355,3.48,0.0567,0.0074,0.0078
2.025,0.5195,3.48,0.0783,0.0077,0.0065
2.075,0.5041,3.48,0.0918,0.008,0.0111
2.125,0.4892,3.48,0.0964,0.0092,0.0106
2.175,0.4748,3.48,0.0947,0.0099,0.0104
2.225,0.461,3.48,0.114,0.01,0.0098
2.275,0.4477,3.48,0.0935,0.0101,0.0094
2.325,0.4348,3.48,0.1173,0.0122,0.0101
2.375,0.4224,3.48,0.1267,0.0164,0.0122
2.425,0.4104,3.48,0.1548,0.0206,0.0133
2.475,0.3989,3.48,0.1396,0.0233,0.0145
2.525,0.3878,3.48,0.0751,0.0343,0.0121
2.575,0.3771,3.48,0.204,0.0637,0.0276
1.125,0.9155,4.16,-0.0007,0.0016,0.0005
1.175,0.8929,4.16,-0.0043,0.002,0.0008
1.225,0.8705,4.16,0.0034,0.0025,0.0008
1.275,0.8483,4.16,0.0031,0.003,0.0008
1.325,0.8264,4.16,0.0058,0.0035,0.0011
1.425,0.7836,4.16,0.0119,0.0047,0.0022
1.525,0.7423,4.16,0.0328,0.0061,0.0034
1.575,0.7224,4.16,0.0306,0.0055,0.0032
1.625,0.7028,4.16,0.0308,0.0054,0.0027
1.675,0.6838,4.16,0.0511,0.006,0.0042
1.725,0.6652,4.16,0.0546,0.0061,0.0032
1.775,0.6471,4.16,0.058,0.0061,0.0037
1.825,0.6295,4.16,0.0541,0.0064,0.005
1.875,0.6123,4.16,0.0542,0.007,0.0056
1.925,0.5957,4.16,0.0568,0.0071,0.0058
1.975,0.5795,4.16,0.0452,0.0078,0.0061
2.025,0.5638,4.16,0.053,0.0083,0.0057
2.075,0.5485,4.16,0.0846,0.0093,0.0096
2.125,0.5338,4.16,0.0895,0.0103,0.008
2.175,0.5194,4.16,0.0671,0.012,0.0064
2.225,0.5055,4.16,0.0815,0.0142,0.0066
2.275,0.4921,4.16,0.1125,0.0175,0.0081
2.325,0.479,4.16,0.1095,0.0263,0.0093
2.375,0.4664,4.16,0.109,0.0511,0.0112
1.175,0.9086,4.96,-0.0011,0.0009,0.0008
1.225,0.8891,4.96,0,0.0021,0.0006
1.275,0.8696,4.96,0.0033,0.0014,0.0029
1.325,0.8502,4.96,0.0026,0.0011,0.0025
1.375,0.831,4.96,0.0052,0.0017,0.0033
1.425,0.8119,4.96,0.0054,0.0025,0.0019
1.475,0.7931,4.96,0.0126,0.0034,0.0015
1.525,0.7745,4.96,0.0116,0.0031,0.0032
1.575,0.7562,4.96,0.0092,0.003,0.0022
1.625,0.7382,4.96,0.0229,0.0038,0.0028
1.675,0.7205,4.96,0.0298,0.0047,0.0025
1.725,0.7032,4.96,0.0283,0.0048,0.0027
1.775,0.6861,4.96,0.0333,0.0056,0.0027
1.825,0.6695,4.96,0.0276,0.0082,0.0033
1.875,0.6532,4.96,0.041,0.0099,0.0039
1.925,0.6372,4.96,0.0308,0.0106,0.0041
1.975,0.6216,4.96,0.0306,0.0121,0.0043
2.075,0.5916,4.96,0.0122,0.0218,0.0068
