W,x,Q2,g1,dg1(stat),dg1(sys)
1.085,0.7052,0.707,-0.0055,0.1464,0.0257
1.095,0.6902,0.707,0.1137,0.1476,0.0311
1.105,0.6757,0.707,0.1312,0.1608,0.0323
1.115,0.6617,0.707,-0.1407,0.1725,0.0307
1.125,0.6481,0.707,-0.1842,0.1856,0.0437
1.135,0.6349,0.707,0.1662,0.2,0.0386
1.145,0.6222,0.707,0.1525,0.2141,0.0412
1.155,0.6098,0.707,-0.3597,0.232,0.0662
1.165,0.5979,0.707,-0.2825,0.2528,0.0493
1.175,0.5863,0.707,0.0544,0.2677,0.0631
1.185,0.575,0.707,-0.3886,0.2855,0.0758
1.195,0.5641,0.707,-0.3576,0.2993,0.0662
1.205,0.5535,0.707,0.2883,0.3093,0.0874
1.215,0.5432,0.707,0.0373,0.3187,0.0265
1.225,0.5332,0.707,-0.3438,0.3191,0.0684
1.235,0.5235,0.707,0.0038,0.3154,0.0252
1.245,0.5141,0.707,-0.1168,0.3166,0.023
1.255,0.5049,0.707,-0.3412,0.3071,0.0574
1.265,0.496,0.707,0.1725,0.2996,0.059
1.275,0.4873,0.707,-0.5413,0.2961,0.1068
1.285,0.4788,0.707,-0.1241,0.2883,0.0348
1.295,0.4706,0.707,-0.1081,0.2819,0.0538
1.305,0.4626,0.707,0.2733,0.2755,0.0642
1.315,0.4548,0.707,-0.0537,0.2696,0.0388
1.325,0.4472,0.707,-0.0729,0.2658,0.037
1.335,0.4398,0.707,0.0301,0.264,0.0337
1.345,0.4326,0.707,0.0835,0.2615,0.0163
1.355,0.4256,0.707,0.5136,0.2573,0.069
1.365,0.4187,0.707,-0.2845,0.2581,0.0492
1.375,0.412,0.707,0.0268,0.2613,0.0172
1.385,0.4055,0.707,0.0059,0.2634,0.0166
1.395,0.3991,0.707,0.1404,0.2633,0.019
1.405,0.3929,0.707,0.4432,0.2641,0.0709
1.415,0.3869,0.707,0.2916,0.2668,0.0417
1.425,0.3809,0.707,0.4365,0.2699,0.0627
1.435,0.3752,0.707,0.0375,0.2747,0.0444
1.445,0.3695,0.707,-0.2453,0.2807,0.0354
1.455,0.364,0.707,-0.3908,0.2875,0.0498
1.465,0.3586,0.707,-0.0091,0.3014,0.0118
1.475,0.3533,0.707,0.3552,0.3171,0.0562
1.485,0.3482,0.707,0.375,0.3331,0.0963
1.495,0.3432,0.707,0.3228,0.3372,0.0827
1.505,0.3382,0.707,0.5434,0.3296,0.081
1.515,0.3334,0.707,0.5461,0.3217,0.068
1.525,0.3287,0.707,0.6593,0.3187,0.08
1.535,0.3241,0.707,0.1203,0.3147,0.0415
1.545,0.3196,0.707,-0.0758,0.3133,0.0129
1.555,0.3152,0.707,0.3689,0.31,0.0505
1.565,0.3108,0.707,0.3309,0.3082,0.0413
1.575,0.3066,0.707,0.2733,0.3104,0.047
1.585,0.3025,0.707,0.131,0.3096,0.0355
1.595,0.2984,0.707,-0.2956,0.3118,0.0515
1.605,0.2944,0.707,-0.0009,0.3135,0.02
1.615,0.2905,0.707,0.0205,0.3163,0.049
1.625,0.2867,0.707,-0.1059,0.3208,0.0373
1.635,0.283,0.707,-0.1385,0.3267,0.0208
1.645,0.2793,0.707,1.0277,0.3318,0.1231
1.655,0.2757,0.707,-0.2425,0.3374,0.0334
1.665,0.2722,0.707,0.5414,0.3447,0.0751
1.675,0.2687,0.707,0.1396,0.3511,0.0316
1.685,0.2653,0.707,-0.0078,0.3535,0.0207
1.695,0.262,0.707,-0.0245,0.3512,0.0128
1.705,0.2588,0.707,0.1759,0.3458,0.0662
1.715,0.2556,0.707,0.2342,0.3403,0.0401
1.725,0.2524,0.707,0.554,0.3425,0.071
1.735,0.2493,0.707,0.253,0.3409,0.0321
1.745,0.2463,0.707,0.0152,0.3399,0.04
1.755,0.2433,0.707,0.1908,0.3423,0.0261
1.765,0.2404,0.707,0.5161,0.3441,0.0642
1.775,0.2376,0.707,-0.2377,0.345,0.0521
1.785,0.2348,0.707,-0.0571,0.3476,0.0336
1.795,0.232,0.707,-0.0282,0.3491,0.022
1.805,0.2293,0.707,-0.1651,0.3485,0.0332
1.815,0.2266,0.707,0.2064,0.3483,0.0286
1.825,0.224,0.707,-0.1342,0.3443,0.0219
1.835,0.2215,0.707,0.8161,0.3454,0.1011
1.845,0.2189,0.707,0.1067,0.3458,0.0595
1.855,0.2165,0.707,0.518,0.3443,0.0707
1.865,0.214,0.707,-0.8664,0.3442,0.1046
1.875,0.2116,0.707,0.4026,0.3465,0.0785
1.885,0.2093,0.707,-0.1798,0.3475,0.0401
1.895,0.2069,0.707,0.5476,0.3491,0.0664
1.905,0.2047,0.707,0.2055,0.348,0.0279
1.915,0.2024,0.707,0.5408,0.351,0.0664
1.925,0.2002,0.707,0.3766,0.3531,0.0496
1.935,0.1981,0.707,-0.1325,0.3533,0.0162
1.945,0.1959,0.707,-0.0642,0.3509,0.0621
1.955,0.1938,0.707,0.2586,0.3526,0.0335
1.965,0.1918,0.707,0.4034,0.3543,0.0842
1.975,0.1898,0.707,0.1547,0.3551,0.0364
1.985,0.1878,0.707,0.0429,0.3545,0.0386
1.995,0.1858,0.707,0.3003,0.3526,0.0397
2.005,0.1839,0.707,0.187,0.356,0.0425
2.015,0.182,0.707,-0.0865,0.3572,0.0492
2.025,0.1801,0.707,0.213,0.3565,0.057
2.035,0.1782,0.707,0.4702,0.356,0.0621
2.045,0.1764,0.707,-0.8508,0.3566,0.0956
2.055,0.1746,0.707,0.5197,0.3544,0.1005
2.065,0.1729,0.707,0.339,0.3569,0.0677
2.075,0.1711,0.707,0.1073,0.3521,0.0388
2.085,0.1694,0.707,-0.2155,0.3532,0.0276
2.095,0.1678,0.707,-0.5312,0.3552,0.0614
2.105,0.1661,0.707,0.0183,0.3586,0.0939
2.115,0.1645,0.707,0.4366,0.3586,0.0701
2.125,0.1629,0.707,0.8809,0.3629,0.0979
2.135,0.1613,0.707,0.5517,0.3622,0.0799
2.145,0.1597,0.707,-0.2946,0.3678,0.0421
2.155,0.1582,0.707,-0.0365,0.3667,0.0378
2.165,0.1567,0.707,0.0543,0.3647,0.0162
2.175,0.1552,0.707,-0.2093,0.3591,0.0456
2.185,0.1537,0.707,-0.0893,0.3606,0.0564
2.195,0.1523,0.707,0.3531,0.3625,0.0452
2.205,0.1508,0.707,0.1089,0.3639,0.0351
2.215,0.1494,0.707,-0.133,0.3675,0.0273
2.225,0.148,0.707,0.052,0.3653,0.0598
2.235,0.1467,0.707,0.4678,0.3654,0.0894
2.245,0.1453,0.707,0.1059,0.3692,0.0246
2.255,0.144,0.707,0.1501,0.3709,0.0319
2.265,0.1427,0.707,0.0962,0.3671,0.0197
2.275,0.1414,0.707,-0.0571,0.3688,0.0235
2.285,0.1401,0.707,-0.32,0.3668,0.0763
2.295,0.1388,0.707,0.3769,0.3738,0.0505
2.305,0.1376,0.707,-0.0671,0.3859,0.0557
2.315,0.1364,0.707,0.1389,0.4031,0.0245
2.325,0.1352,0.707,0.2855,0.4114,0.04
2.335,0.134,0.707,-0.5023,0.4145,0.0595
2.345,0.1328,0.707,-0.1399,0.4141,0.0867
2.355,0.1316,0.707,0.0782,0.4128,0.0183
2.365,0.1305,0.707,0.5141,0.4077,0.0823
2.375,0.1293,0.707,0.4729,0.4086,0.0769
2.385,0.1282,0.707,0.4156,0.4086,0.0514
2.395,0.1271,0.707,-0.1037,0.4064,0.0425
2.405,0.126,0.707,0.0237,0.4075,0.0337
2.415,0.125,0.707,0.4803,0.4086,0.0681
2.425,0.1239,0.707,0.6961,0.4085,0.087
2.435,0.1229,0.707,0.1822,0.4109,0.0284
2.445,0.1218,0.707,-0.2743,0.4187,0.0435
2.455,0.1208,0.707,-0.2121,0.4239,0.0607
2.465,0.1198,0.707,-0.4331,0.4298,0.0543
2.475,0.1188,0.707,0.4905,0.4277,0.0827
2.485,0.1178,0.707,-0.5475,0.4319,0.0847
2.495,0.1169,0.707,-0.5576,0.4334,0.1082
2.505,0.1159,0.707,-0.5447,0.4349,0.0669
2.515,0.1149,0.707,0.0737,0.436,0.034
