W,x,Q2,g1/F1,dg1/F1(stat),dg1/F1(sys)
1.085,0.7052,0.707,-0.0425,1.0823,0.3427
1.095,0.6902,0.707,0.6723,0.8729,0.1991
1.105,0.6757,0.707,0.6357,0.7798,0.1374
1.115,0.6617,0.707,-0.5669,0.6937,0.1699
1.125,0.6481,0.707,-0.6202,0.6238,0.1635
1.135,0.6349,0.707,0.4699,0.5652,0.0827
1.145,0.6222,0.707,0.3643,0.5118,0.0832
1.155,0.6098,0.707,-0.733,0.4726,0.1208
1.165,0.5979,0.707,-0.4952,0.443,0.0735
1.175,0.5863,0.707,0.0821,0.4088,0.0951
1.185,0.575,0.707,-0.5263,0.3865,0.0842
1.195,0.5641,0.707,-0.4382,0.3668,0.0664
1.205,0.5535,0.707,0.327,0.3516,0.091
1.215,0.5432,0.707,0.0402,0.3451,0.0281
1.225,0.5332,0.707,-0.3643,0.3377,0.0667
1.235,0.5235,0.707,0.0043,0.3339,0.0268
1.245,0.5141,0.707,-0.1262,0.3418,0.0239
1.255,0.5049,0.707,-0.3809,0.3428,0.0576
1.265,0.496,0.707,0.2003,0.3488,0.066
1.275,0.4873,0.707,-0.6605,0.361,0.1203
1.285,0.4788,0.707,-0.1587,0.3683,0.0437
1.295,0.4706,0.707,-0.1451,0.3766,0.0716
1.305,0.4626,0.707,0.381,0.3834,0.0855
1.315,0.4548,0.707,-0.078,0.3888,0.056
1.325,0.4472,0.707,-0.1088,0.3951,0.0551
1.335,0.4398,0.707,0.0454,0.4019,0.0513
1.345,0.4326,0.707,0.1297,0.4053,0.0248
1.355,0.4256,0.707,0.8058,0.4035,0.1064
1.365,0.4187,0.707,-0.448,0.407,0.0775
1.375,0.412,0.707,0.0422,0.4119,0.0271
1.385,0.4055,0.707,0.0092,0.4126,0.0261
1.395,0.3991,0.707,0.2175,0.4075,0.0294
1.405,0.3929,0.707,0.6735,0.4014,0.1076
1.415,0.3869,0.707,0.4328,0.396,0.0613
1.425,0.3809,0.707,0.6288,0.3889,0.0895
1.435,0.3752,0.707,0.0517,0.3817,0.0617
1.445,0.3695,0.707,-0.327,0.3741,0.0471
1.455,0.364,0.707,-0.4966,0.3655,0.0628
1.465,0.3586,0.707,-0.0108,0.3638,0.0144
1.475,0.3533,0.707,0.4066,0.363,0.0627
1.485,0.3482,0.707,0.4073,0.3624,0.103
1.495,0.3432,0.707,0.3355,0.351,0.0846
1.505,0.3382,0.707,0.5474,0.3322,0.0774
1.515,0.3334,0.707,0.5403,0.3181,0.0636
1.525,0.3287,0.707,0.6482,0.3133,0.0752
1.535,0.3241,0.707,0.1193,0.3107,0.0408
1.545,0.3196,0.707,-0.0754,0.312,0.013
1.555,0.3152,0.707,0.3714,0.3117,0.0502
1.565,0.3108,0.707,0.3354,0.312,0.0417
1.575,0.3066,0.707,0.2773,0.3151,0.0479
1.585,0.3025,0.707,0.1325,0.3135,0.0362
1.595,0.2984,0.707,-0.2972,0.3133,0.0515
1.605,0.2944,0.707,-0.0005,0.3111,0.0199
1.615,0.2905,0.707,0.0197,0.3086,0.0479
1.625,0.2867,0.707,-0.1014,0.3066,0.0356
1.635,0.283,0.707,-0.1293,0.3052,0.0195
1.645,0.2793,0.707,0.9371,0.3026,0.1123
1.655,0.2757,0.707,-0.2155,0.3003,0.0296
1.665,0.2722,0.707,0.471,0.2999,0.0643
1.675,0.2687,0.707,0.1194,0.2995,0.0267
1.685,0.2653,0.707,-0.0065,0.2968,0.0175
1.695,0.262,0.707,-0.0201,0.2915,0.0108
1.705,0.2588,0.707,0.1457,0.2849,0.0544
1.715,0.2556,0.707,0.1923,0.2796,0.0326
1.725,0.2524,0.707,0.4549,0.2812,0.0578
1.735,0.2493,0.707,0.2083,0.2804,0.0264
1.745,0.2463,0.707,0.0124,0.2802,0.033
1.755,0.2433,0.707,0.1579,0.2829,0.0221
1.765,0.2404,0.707,0.4273,0.2848,0.0548
1.775,0.2376,0.707,-0.1963,0.2858,0.0435
1.785,0.2348,0.707,-0.0467,0.2879,0.0279
1.795,0.232,0.707,-0.0229,0.2887,0.0183
1.805,0.2293,0.707,-0.1357,0.2874,0.0277
1.815,0.2266,0.707,0.1698,0.2862,0.025
1.825,0.224,0.707,-0.1094,0.2815,0.0183
1.835,0.2215,0.707,0.6637,0.2808,0.0878
1.845,0.2189,0.707,0.0859,0.2793,0.0483
1.855,0.2165,0.707,0.416,0.2762,0.0603
1.865,0.214,0.707,-0.6894,0.274,0.0889
1.875,0.2116,0.707,0.3177,0.2736,0.064
1.885,0.2093,0.707,-0.1403,0.272,0.0318
1.895,0.2069,0.707,0.4252,0.2709,0.0549
1.905,0.2047,0.707,0.1583,0.2676,0.0227
1.915,0.2024,0.707,0.4124,0.2674,0.0531
1.925,0.2002,0.707,0.2844,0.2665,0.039
1.935,0.1981,0.707,-0.099,0.2643,0.0124
1.945,0.1959,0.707,-0.0478,0.2601,0.046
1.955,0.1938,0.707,0.1903,0.259,0.0254
1.965,0.1918,0.707,0.2946,0.258,0.0619
1.975,0.1898,0.707,0.1121,0.2564,0.0265
1.985,0.1878,0.707,0.0307,0.2538,0.0277
1.995,0.1858,0.707,0.2134,0.2503,0.0286
