Q2,X,W,Theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot),Experiment
4.504,0.773,1.4843,45.0,4.74,,-0.001,0.0.002,0.001,,0.002,0.001,0.001,0.0014,-0.023,0.025,0.007,0.026,-0.005,0.028,0.008,0.0291,-0.039,0.0224,,,,,,Flay
4.694,0.823,1.3747,45.0,4.74,,-0.001,0.001,0.001,0.0014,0.001,0.001,0.0,0.001,-0.032,0.032,0.006,0.0326,-0.041,0.037,0.007,0.0377,0.018,0.0275,,,,,,Flay
4.876,0.874,1.2583,45.0,4.74,,-0.001,0.001,0.001,0.0014,-0.002,0.001,0.001,0.0014,-0.035,0.041,0.009,0.042,0.004,0.048,0.01,0.049,-0.071,0.0334,,,,,,Flay
2.626,0.277,2.7811,45.0,5.89,,0.026,0.029,0.012,0.0314,0.046,0.047,0.019,0.0507,0.024,0.028,0.006,0.0286,0.02,0.029,0.006,0.0296,0.044,0.0447,,,,,,Flay
3.032,0.325,2.6791,45.0,5.89,,-0.013,0.010,0.003,0.0104,0.022,0.015,0.006,0.0162,-0.016,0.012,0.002,0.0122,-0.019,0.013,0.002,0.0132,0.026,0.0173,,,,,,Flay
3.421,0.374,2.5703,45.0,5.89,,-0.004,0.006,0.002,0.0063,0.0,0.008,0.002,0.0082,-0.006,0.009,0.001,0.0091,-0.006,0.01,0.001,0.01,-0.001,0.012,,,,,,Flay
3.802,0.424,2.4587,45.0,5.89,,-0.011,0.005,0.002,0.0054,-0.002,0.006,0.002,0.0063,-0.022,0.009,0.002,0.0092,-0.021,0.01,0.001,0.01,-0.005,0.0112,,,,,,Flay
4.169,0.474,2.3466,45.0,5.89,,-0.008,0.004,0.002,0.0045,0.003,0.004,0.002,0.0045,-0.021,0.01,0.003,0.0104,-0.022,0.011,0.003,0.0114,0.007,0.0112,,,,,,Flay
4.514,0.524,2.2318,45.0,5.89,,0.00,0.003,0.001,0.0032,0.0,0.003,0.001,0.0032,0.002,0.012,0.001,0.012,0.002,0.013,0.001,0.013,0.0,0.0122,,,,,,Flay
4.848,0.573,2.1197,45.0,5.89,,0.001,0.003,0.001,0.0032,0.001,0.003,0.001,0.0032,0.004,0.015,0.002,0.0151,0.003,0.016,0.002,0.0161,0.006,0.0132,,,,,,Flay
5.176,0.624,1.9998,45.0,5.89,,0.00,0.002,0.001,0.0022,-0.002,0.002,0.0,0.002,0.003,0.018,0.003,0.0182,0.006,0.02,0.003,0.0202,-0.011,0.015,,,,,,Flay
5.486,0.674,1.8798,45.0,5.89,,0.00,0.002,0.0,0.002,0.0,0.002,0.0,0.002,-0.004,0.022,0.002,0.0221,-0.003,0.024,0.003,0.0242,-0.003,0.0171,,,,,,Flay
5.777,0.723,1.7589,45.0,5.89,,0.00,0.002,0.0,0.002,-0.001,0.002,0.0,0.002,0.001,0.028,0.003,0.0282,0.004,0.031,0.003,0.0311,-0.01,0.0212,,,,,,Flay
6.059,0.773,1.6308,45.0,5.89,,0.00,0.002,0.0,0.002,0.0,0.001,0.0,0.001,0.008,0.035,0.004,0.0352,0.005,0.039,0.004,0.0392,0.007,0.0252,,,,,,Flay
6.325,0.823,1.4969,45.0,5.89,,0.00,0.002,0.0,0.002,-0.003,0.001,0.001,0.0014,0.009,0.047,0.013,0.0488,0.045,0.053,0.008,0.0536,-0.095,0.0324,,,,,,Flay
6.585,0.873,1.3558,45.0,5.89,,0.00,0.002,0.0,0.002,0.0,0.001,0.0,0.001,0.011,0.064,0.009,0.0646,0.02,0.072,0.009,0.0726,-0.02,0.0416,,,,,,Flay
1.2,0.782,1.103,,,,-0.0026,0.0019,0.0002,0.0019,-0.0013,0.0012,0.0001,0.0012,,,,,,,,,,,,,,,,Solvignon
1.2,0.6799,1.203,,,,-0.0094,0.00237,0.0009,0.0025,0.0038,0.0019,0.0005,0.002,,,,,,,,,,,,,,,,Solvignon
1.2,0.5954,1.303,,,,-0.0134,0.0036,0.0011,0.0038,0.011,0.0038,0.001,0.0039,,,,,,,,,,,,,,,,Solvignon
1.2,0.5249,1.403,,,,-0.0114,0.00426,0.001,0.0044,0.0095,0.0055,0.0006,0.0055,,,,,,,,,,,,,,,,Solvignon
1.2,0.4657,1.503,,,,-0.0047,0.00576,0.0005,0.0058,0.0114,0.0094,0.0025,0.0097,,,,,,,,,,,,,,,,Solvignon
1.2,0.4156,1.603,,,,0.0007,0.00767,0.0008,0.0077,0.0146,0.0175,0.0017,0.0176,,,,,,,,,,,,,,,,Solvignon
1.2,0.3729,1.703,,,,-0.0032,0.00994,0.0016,0.0101,0.0041,0.027,0.0027,0.0271,,,,,,,,,,,,,,,,Solvignon
1.2,0.3363,1.803,,,,-0.005,0.01222,0.003,0.0126,-0.0379,0.0379,0.0034,0.038,,,,,,,,,,,,,,,,Solvignon
1.9,0.85,1.103,,,,0.0001,0.00198,0.0002,0.002,-0.004,0.002,0.0007,0.0022,,,,,,,,,,,,,,,,Solvignon
1.9,0.7706,1.203,,,,-0.0044,0.00289,0.0005,0.0029,0.0008,0.0029,0.0002,0.0029,,,,,,,,,,,,,,,,Solvignon
1.9,0.6995,1.303,,,,-0.0067,0.00471,0.0004,0.0047,0.0056,0.0044,0.0002,0.0045,,,,,,,,,,,,,,,,Solvignon
1.9,0.6362,1.403,,,,-0.0093,0.00479,0.0009,0.0048,0.0097,0.006,0.0007,0.006,,,,,,,,,,,,,,,,Solvignon
1.9,0.5798,1.503,,,,-0.0071,0.00514,0.0002,0.0051,-0.007,0.0082,0.001,0.0082,,,,,,,,,,,,,,,,Solvignon
1.9,0.5296,1.603,,,,-0.0006,0.00602,0.0002,0.006,0.0052,0.0122,0.0012,0.0122,,,,,,,,,,,,,,,,Solvignon
1.9,0.4849,1.703,,,,-0.0012,0.00745,0.0018,0.0077,0.0197,0.0174,0.0028,0.0176,,,,,,,,,,,,,,,,Solvignon
1.9,0.4451,1.803,,,,-0.0065,0.00869,0.0021,0.0089,-0.0241,0.0231,0.0019,0.0232,,,,,,,,,,,,,,,,Solvignon
2.6,0.8857,1.103,,,,0.0001,0.00107,0.0001,0.0011,-0.0033,0.0013,0.0003,0.0013,,,,,,,,,,,,,,,,Solvignon
2.6,0.8212,1.203,,,,-0.0008,0.00134,0.0002,0.0013,-0.0004,0.0016,0.0002,0.0017,,,,,,,,,,,,,,,,Solvignon
2.6,0.761,1.303,,,,-0.0008,0.00189,0.0001,0.0019,0.0012,0.0025,0.0002,0.0025,,,,,,,,,,,,,,,,Solvignon
2.6,0.7052,1.403,,,,-0.001,0.00206,0.0001,0.0021,-0.0007,0.0034,0.0003,0.0034,,,,,,,,,,,,,,,,Solvignon
2.6,0.6537,1.503,,,,-0.0001,0.00246,0.0008,0.0025,0.001,0.0045,0.0004,0.0045,,,,,,,,,,,,,,,,Solvignon
2.6,0.6064,1.603,,,,0.0002,0.00292,0.0001,0.0029,0.0024,0.0057,0.0003,0.0057,,,,,,,,,,,,,,,,Solvignon
2.6,0.563,1.703,,,,-0.0089,0.0037,0.0017,0.0041,0.0075,0.0076,0.0023,0.008,,,,,,,,,,,,,,,,Solvignon
