Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
1.9,0.6362,1.403,,,,-0.0093,0.0048,0.0097,0.006,,,,,,,,,6
1.9,0.5798,1.503,,,,-0.0071,0.0051,-0.007,0.0082,,,,,,,,,6
1.9,0.5296,1.603,,,,-0.0006,0.006,0.0052,0.0122,,,,,,,,,6
1.9,0.4849,1.703,,,,-0.0012,0.0077,0.0197,0.0176,,,,,,,,,6
1.9,0.4451,1.803,,,,-0.0065,0.0089,-0.0241,0.0232,,,,,,,,,6
2.6,0.8857,1.103,,,,0.0001,0.0011,-0.0033,0.0013,,,,,,,,,6
2.6,0.8212,1.203,,,,-0.0008,0.0013,-0.0004,0.0017,,,,,,,,,6
2.6,0.761,1.303,,,,-0.0008,0.0019,0.0012,0.0025,,,,,,,,,6
2.6,0.7052,1.403,,,,-0.001,0.0021,-0.0007,0.0034,,,,,,,,,6
2.6,0.6537,1.503,,,,-0.0001,0.0025,0.001,0.0045,,,,,,,,,6
2.6,0.6064,1.603,,,,0.0002,0.0029,0.0024,0.0057,,,,,,,,,6
2.6,0.563,1.703,,,,-0.0089,0.0041,0.0075,0.008,,,,,,,,,6
2.6,0.5233,1.803,,,,-0.0043,0.0046,0.0056,0.0106,,,,,,,,,6
3.3,0.9077,1.103,,,,-0.0002,0.0005,-0.0024,0.0008,,,,,,,,,6
3.3,0.8536,1.203,,,,0.0008,0.0005,-0.0011,0.001,,,,,,,,,6
3.3,0.8016,1.303,,,,0.0012,0.0007,-0.0015,0.0015,,,,,,,,,6
3.3,0.7522,1.403,,,,0.0012,0.0011,-0.0038,0.0023,,,,,,,,,6
3.3,0.7055,1.503,,,,0.0003,0.0015,0.0007,0.0031,,,,,,,,,6
3.3,0.6616,1.603,,,,0.0008,0.002,0.0039,0.0043,,,,,,,,,6
3.3,0.6205,1.703,,,,0.0016,0.0028,-0.0058,0.007,,,,,,,,,6
3.3,0.5821,1.803,,,,0.0031,0.004,0.0235,0.0123,,,,,,,,,6
,0.1112,1.0535,,1.147,0.1376,-0.0484,0.0316,0.0078,0.0226,,,,,,,,,7
,0.1027,1.0624,,1.147,0.1475,-0.0305,0.0323,0.0221,0.025,,,,,,,,,7
,0.0952,1.0714,,1.147,0.1576,-0.0376,0.0348,0.0137,0.0276,,,,,,,,,7
,0.0886,1.0802,,1.147,0.1676,-0.0468,0.0348,-0.0362,0.031,,,,,,,,,7
,0.0829,1.0889,,1.147,0.1774,0.0028,0.036,-0.0156,0.0339,,,,,,,,,7
,0.0776,1.0976,,1.147,0.1874,-0.0539,0.0411,-0.0313,0.0393,,,,,,,,,7
,0.0732,1.1057,,1.147,0.1968,-0.0259,0.0477,-0.0215,0.0498,,,,,,,,,7
,0.0686,1.1149,,1.147,0.2075,-0.0869,0.5151,0.023,0.0808,,,,,,,,,7
,0.0648,1.1234,,1.147,0.2175,-0.0693,0.0478,0.1328,0.0729,,,,,,,,,7
,0.0613,1.1318,,1.147,0.2275,-0.1033,0.0496,0.0052,0.079,,,,,,,,,7
,0.0581,1.1403,,1.147,0.2375,-0.0578,0.0515,-0.041,0.0864,,,,,,,,,7
,0.0551,1.1486,,1.147,0.2475,-0.075,0.0539,0.1924,0.0953,,,,,,,,,7
,0.0524,1.1568,,1.147,0.2575,-0.1085,0.0564,0.1827,0.1041,,,,,,,,,7
,0.0499,1.1648,,1.147,0.2672,-0.2394,0.0731,0.1812,0.1004,,,,,,,,,7
,0.0475,1.1732,,1.147,0.2776,-0.2445,0.0629,0.5739,0.163,,,,,,,,,7
,0.0453,1.1813,,1.147,0.2875,-0.3136,0.066,0.3489,0.1745,,,,,,,,,7
,0.0433,1.1893,,1.147,0.2975,-0.4084,0.0694,0.517,0.1877,,,,,,,,,7
,0.0414,1.1973,,1.147,0.3075,-0.4217,0.0718,-0.0957,0.1997,,,,,,,,,7
,0.0396,1.2052,,1.147,0.3175,-0.4131,0.0727,-0.1786,0.2124,,,,,,,,,7
,0.0379,1.2132,,1.147,0.3276,-0.4153,0.0741,0.3252,0.2245,,,,,,,,,7
,0.0363,1.221,,1.147,0.3376,-0.4727,0.0918,0.4046,0.2691,,,,,,,,,7
,0.0349,1.2288,,1.147,0.3476,-0.381,0.0933,0.4509,0.2822,,,,,,,,,7
,0.0335,1.2365,,1.147,0.3576,-0.2944,0.0908,0.5886,0.2941,,,,,,,,,7
,0.0322,1.2441,,1.147,0.3675,-0.3407,0.0908,0.3957,0.3035,,,,,,,,,7
,0.0309,1.2518,,1.147,0.3776,-0.3411,0.0926,0.5042,0.3194,,,,,,,,,7
,0.0297,1.2593,,1.147,0.3874,-0.3901,0.1014,0.6522,0.3723,,,,,,,,,7
,0.0286,1.2669,,1.147,0.3976,-0.2195,0.0928,1.0034,0.3616,,,,,,,,,7
,0.0275,1.2744,,1.147,0.4075,-0.3569,0.0931,-0.33,0.3676,,,,,,,,,7
,0.0265,1.2819,,1.147,0.4176,-0.1493,0.0991,0.3256,0.3818,,,,,,,,,7
,0.0255,1.2892,,1.147,0.4275,-0.0251,0.0925,0.7234,0.3997,,,,,,,,,7
,0.0245,1.2971,,1.147,0.4382,-0.3913,0.0915,-0.2203,0.3766,,,,,,,,,7
,0.0236,1.3043,,1.147,0.4481,-0.2495,0.1081,0.1298,0.5129,,,,,,,,,7
,0.0228,1.3112,,1.147,0.4575,-0.2374,0.1022,-0.2131,0.5001,,,,,,,,,7
,0.022,1.3185,,1.147,0.4676,-0.075,0.1012,-0.3545,0.5163,,,,,,,,,7
,0.0213,1.3256,,1.147,0.4775,-0.2554,0.1043,0.4771,0.5403,,,,,,,,,7
,0.0205,1.3328,,1.147,0.4875,-0.122,0.1043,0.4023,0.563,,,,,,,,,7
,0.0199,1.3391,,1.147,0.4962,-0.2915,0.1251,-0.1044,0.5254,,,,,,,,,7
,0.0191,1.347,,1.147,0.5075,-0.1134,0.1372,-0.6112,0.7243,,,,,,,,,7
,0.0184,1.3541,,1.147,0.5175,-0.3274,0.1365,0.7206,0.7341,,,,,,,,,7
,0.0178,1.3611,,1.147,0.5275,-0.0271,0.1368,0.8344,0.7656,,,,,,,,,7
,0.0172,1.368,,1.147,0.5373,-0.2243,0.1471,0.8529,0.8306,,,,,,,,,7
,0.0166,1.3753,,1.147,0.5479,-0.1242,0.161,-0.0348,1.0102,,,,,,,,,7
,0.016,1.382,,1.147,0.5575,-0.0673,0.1527,0.6999,0.9873,,,,,,,,,7
,0.0155,1.3888,,1.147,0.5675,-0.0883,0.1517,-1.4446,1.0167,,,,,,,,,7
,0.0149,1.3957,,1.147,0.5776,0.0117,0.1555,-1.2011,1.0701,,,,,,,,,7
,0.0145,1.402,,1.147,0.5868,-0.0478,0.1837,0.8708,0.888,,,,,,,,,7
,0.0139,1.4092,,1.147,0.5975,-0.0239,0.178,1.2649,1.3458,,,,,,,,,7
,0.0135,1.416,,1.147,0.6075,-0.1412,0.1767,-0.1154,1.3691,,,,,,,,,7
,0.013,1.4227,,1.147,0.6176,-0.1681,0.1822,3.9662,1.47,,,,,,,,,7
,0.0125,1.4303,,1.147,0.629,-0.3817,0.1812,-0.4743,1.1052,,,,,,,,,7
,0.0121,1.4364,,1.147,0.638,-0.667,0.3282,4.5706,1.6534,,,,,,,,,7
,0.0117,1.4427,,1.147,0.6476,-0.3251,0.3032,-2.9582,1.5765,,,,,,,,,7
,0.0113,1.4492,,1.147,0.6575,-0.5589,0.3124,-1.0761,1.6612,,,,,,,,,7
,0.0108,1.4566,,1.147,0.6688,-0.3447,0.2674,-0.1657,1.2984,,,,,,,,,7
,0.0105,1.4623,,1.147,0.6775,-0.0594,0.2761,2.3127,2.0404,,,,,,,,,7
,0.0101,1.4689,,1.147,0.6876,-0.7566,0.2845,1.4362,2.0503,,,,,,,,,7
,0.0097,1.4759,,1.147,0.6985,0.2133,0.2531,-0.2066,1.9868,,,,,,,,,7
,0.1741,1.0528,,2.135,0.1471,-0.086,0.0303,0.0256,0.0211,,,,,,,,,7
,0.1622,1.0617,,2.135,0.1571,-0.0433,0.0312,0.0646,0.0237,,,,,,,,,7
,0.1517,1.0707,,2.135,0.1671,-0.0304,0.0322,0.0196,0.0258,,,,,,,,,7
,0.1425,1.0795,,2.135,0.177,-0.0694,0.034,0.1012,0.0291,,,,,,,,,7
,0.1342,1.0882,,2.135,0.187,0.0102,0.0355,-0.0216,0.032,,,,,,,,,7
,0.1265,1.0971,,2.135,0.1973,-0.0672,0.0185,0.0485,0.021,,,,,,,,,7
,0.12,1.1055,,2.135,0.207,-0.1014,0.0197,0.0633,0.0232,,,,,,,,,7
,0.1139,1.1141,,2.135,0.217,-0.0209,0.0195,0.0092,0.0252,,,,,,,,,7
,0.1083,1.1226,,2.135,0.227,-0.0244,0.0254,0.0565,0.0277,,,,,,,,,7
,0.1032,1.131,,2.135,0.237,-0.0594,0.0218,0.1351,0.0313,,,,,,,,,7
,0.0985,1.1394,,2.135,0.247,-0.0621,0.0228,0.1048,0.0336,,,,,,,,,7
,0.0941,1.1477,,2.135,0.257,-0.0768,0.024,0.0398,0.0363,,,,,,,,,7
,0.0901,1.1559,,2.135,0.267,-0.1049,0.0258,0.0603,0.0413,,,,,,,,,7
,0.0864,1.1641,,2.135,0.277,-0.0577,0.0267,0.1656,0.0445,,,,,,,,,7
,0.083,1.1723,,2.135,0.287,-0.1918,0.03,0.208,0.049,,,,,,,,,7
,0.0797,1.1804,,2.135,0.297,-0.2844,0.0334,0.1992,0.0526,,,,,,,,,7
,0.0767,1.1883,,2.135,0.3069,-0.2228,0.0338,0.1382,0.0575,,,,,,,,,7
,0.0739,1.1963,,2.135,0.3169,-0.3201,0.0378,0.2667,0.0637,,,,,,,,,7
,0.0714,1.2038,,2.135,0.3264,-0.3329,0.0442,0.3894,0.0786,,,,,,,,,7
,0.0686,1.2126,,2.135,0.3376,-0.3876,0.0436,0.4174,0.0795,,,,,,,,,7
,0.0664,1.22,,2.135,0.347,-0.3896,0.0421,0.5056,0.0787,,,,,,,,,7
