W,Theta,Eb,nu,g1,dg1(tot),g2,dg2(tot),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot)
1.4286,15.5,1.7169,0.687,-0.106,0.0945,0.4764,0.122,11.24,4.53,-13.71,5.82
1.4564,15.5,1.7169,0.727,-0.1126,0.0892,0.3631,0.164,6.652,4.96,-10.85,5.33
1.4836,15.5,1.7169,0.767,-0.0981,0.0685,0.5523,0.193,10.62,4.91,-10.9,4.1
1.5103,15.5,1.7169,0.807,-0.068,0.0791,0.5352,0.278,9.656,6.16,-7.985,4.59
1.5366,15.5,1.7169,0.847,-0.0369,0.0797,0.431,0.282,7.231,5.52,-4.816,4.26
1.5624,15.5,1.7169,0.887,-0.0573,0.0912,0.123,0.312,1.074,5.44,-3.309,4.5
1.5878,15.5,1.7169,0.927,-0.0598,0.0864,0.218,0.368,2.309,5.66,-3.654,4.14
0.7429,15.5,2.5805,0.0755,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002
0.7768,15.5,2.5805,0.1005,-0.0034,0.0013,0.0003,0.0002,-8.384,3.55,-7.39,4.26
0.8094,15.5,2.5805,0.1255,0.0027,0.0025,0.0007,0.0005,5.899,4.39,-5.962,5.17
0.8406,15.5,2.5805,0.1505,0.01,0.004,0.0,0.001,11.99,4.92,2.437,5.6
0.8708,15.5,2.5805,0.1755,-0.0007,0.0066,-0.0034,0.0021,-3.569,6.15,11.22,7.02
0.8999,15.5,2.5805,0.2005,-0.0172,0.0118,-0.0224,0.0046,-26.28,8.65,46.18,10.5
0.9282,15.5,2.5805,0.2255,-0.0367,0.0189,-0.0857,0.0101,-63.88,11.8,125.3,15.9
0.9556,15.5,2.5805,0.2505,-0.0297,0.0225,-0.1328,0.0144,-68.36,12.0,142.8,16.4
0.9822,15.5,2.5805,0.2755,-0.0131,0.0228,-0.1216,0.0142,-46.61,9.79,98.58,12.2
1.0081,15.5,2.5805,0.3005,0.0779,0.0218,-0.0814,0.0117,-1.007,7.29,61.63,7.89
1.0334,15.5,2.5805,0.3255,0.0796,0.0217,-0.0372,0.0113,10.4,6.05,27.97,6.15
1.0581,15.5,2.5805,0.3505,0.048,0.0253,-0.0211,0.0141,5.648,6.13,13.68,6.19
1.0822,15.5,2.5805,0.3755,0.0082,0.0177,0.0083,0.0118,3.009,3.95,-1.727,4.13
1.1197,15.5,2.5805,0.4155,-0.0469,0.0174,0.0632,0.0141,2.403,3.42,-18.81,3.6
1.156,15.5,2.5805,0.4555,-0.1146,0.0215,0.1324,0.0178,2.165,3.48,-32.35,3.55
1.1911,15.5,2.5805,0.4955,-0.231,0.031,0.2266,0.0246,-0.4541,4.06,-47.72,4.03
1.2253,15.5,2.5805,0.5355,-0.2985,0.0361,0.2705,0.0286,-2.415,3.96,-49.26,3.93
1.2586,15.5,2.5805,0.5755,-0.2857,0.0339,0.3014,0.0338,1.163,3.6,-43.59,3.56
1.2909,15.5,2.5805,0.6155,-0.2667,0.0323,0.2979,0.0369,1.995,3.21,-36.12,3.13
1.3225,15.5,2.5805,0.6555,-0.202,0.0284,0.3068,0.0376,5.858,2.72,-28.02,2.59
1.3534,15.5,2.5805,0.6955,-0.1236,0.0288,0.2698,0.0441,7.179,2.69,-18.42,2.48
1.3836,15.5,2.5805,0.7355,-0.093,0.0295,0.2226,0.0459,5.631,2.45,-12.78,2.26
1.4131,15.5,2.5805,0.7755,-0.0215,0.0294,0.137,0.0477,4.464,2.24,-5.08,2.05
1.442,15.5,2.5805,0.8155,-0.0087,0.0328,0.1608,0.0575,5.255,2.36,-4.349,2.13
1.4704,15.5,2.5805,0.8555,0.0076,0.0359,0.1965,0.0705,6.335,2.54,-3.705,2.22
1.4982,15.5,2.5805,0.8955,0.0293,0.0376,0.1244,0.0748,4.305,2.42,-0.8803,2.13
1.5255,15.5,2.5805,0.9355,-0.0024,0.0403,0.106,0.0828,2.628,2.4,-1.697,2.12
1.5523,15.5,2.5805,0.9755,-0.0035,0.0478,0.2442,0.1,5.543,2.63,-3.309,2.35
1.5787,15.5,2.5805,1.0155,-0.0328,0.0494,0.1683,0.106,2.844,2.51,-3.174,2.28
1.6984,15.5,2.5805,1.2055,-0.1645,0.0277,0.3402,0.105,2.453,1.58,-7.45,1.11
1.7872,15.5,2.5805,1.3555,-0.2953,0.0355,0.2466,0.145,-0.5074,1.6,-9.606,1.17
1.8718,15.5,2.5805,1.5055,-0.3327,0.0383,0.1401,0.207,-1.524,1.71,-9.155,1.13
1.9528,15.5,2.5805,1.6555,-0.3921,0.0569,0.2193,0.387,-1.049,2.43,-9.793,1.49
2.0305,15.5,2.5805,1.8055,-0.4604,0.118,0.1788,0.767,-1.316,3.68,-10.36,2.72
0.7669,15.5,3.3818,0.2543,0.0003,0.0001,-0.0001,0.0,0.1387,0.0374,0.1761,0.0235
0.8008,15.5,3.3818,0.2793,-0.0149,0.0025,0.0028,0.0007,-5.412,1.16,-6.007,1.01
0.8333,15.5,3.3818,0.3043,0.0005,0.0025,-0.0017,0.001,-0.4636,1.03,1.876,1.1
0.8645,15.5,3.3818,0.3293,0.0096,0.004,-0.0117,0.0021,-0.6626,1.5,10.97,1.8
0.8947,15.5,3.3818,0.3543,0.0129,0.0056,-0.037,0.0044,-6.592,2.15,26.17,3.04
0.9239,15.5,3.3818,0.3793,0.0112,0.0075,-0.0691,0.0079,-13.8,2.94,38.52,4.36
0.9522,15.5,3.3818,0.4043,0.0168,0.009,-0.1093,0.0109,-19.35,3.38,50.04,4.92
0.9796,15.5,3.3818,0.4293,0.027,0.0092,-0.1063,0.0095,-14.64,2.7,41.46,3.6
1.0063,15.5,3.3818,0.4543,0.0402,0.0086,-0.0861,0.0074,-7.528,1.99,29.93,2.39
1.0324,15.5,3.3818,0.4793,0.031,0.0074,-0.0574,0.0055,-3.877,1.41,17.44,1.56
1.0578,15.5,3.3818,0.5043,0.0143,0.0099,-0.0371,0.0073,-3.012,1.68,9.302,1.79
1.0825,15.5,3.3818,0.5293,0.0022,0.0104,-0.0201,0.0083,-2.136,1.65,3.96,1.76
1.1211,15.5,3.3818,0.5693,-0.0381,0.0126,0.0347,0.0113,-0.3496,1.8,-7.861,1.9
1.1583,15.5,3.3818,0.6093,-0.0798,0.0161,0.0761,0.0148,-0.3278,2.02,-14.39,2.07
1.1944,15.5,3.3818,0.6493,-0.1241,0.0199,0.1367,0.0186,0.981,2.18,-21.03,2.2
1.2294,15.5,3.3818,0.6893,-0.1481,0.0205,0.1628,0.0204,1.007,2.04,-21.73,2.03
1.2635,15.5,3.3818,0.7293,-0.1599,0.0221,0.1859,0.0222,1.573,1.94,-21.24,1.92
1.2967,15.5,3.3818,0.7693,-0.1307,0.0219,0.2034,0.0227,3.933,1.74,-18.24,1.71
1.329,15.5,3.3818,0.8093,-0.1287,0.0199,0.1663,0.0219,1.825,1.46,-14.27,1.43
1.3606,15.5,3.3818,0.8493,-0.1105,0.0193,0.13,0.0226,0.8531,1.32,-10.47,1.29
1.3914,15.5,3.3818,0.8893,-0.0884,0.0187,0.1677,0.0236,3.136,1.22,-9.809,1.17
1.4216,15.5,3.3818,0.9293,-0.045,0.0203,0.1529,0.028,3.875,1.28,-6.523,1.21
1.4511,15.5,3.3818,0.9693,-0.0221,0.024,0.1763,0.0356,5.049,1.45,-5.495,1.36
1.4801,15.5,3.3818,1.0093,-0.0261,0.0256,0.1162,0.0373,2.699,1.38,-3.664,1.32
1.5085,15.5,3.3818,1.0493,0.0417,0.0268,0.1277,0.0415,4.655,1.39,-0.9459,1.31
1.5364,15.5,3.3818,1.0893,0.0526,0.0249,0.1114,0.0413,4.146,1.25,-0.0126,1.16
1.5638,15.5,3.3818,1.1293,-0.0037,0.031,0.094,0.0555,2.103,1.52,-1.574,1.39
1.5907,15.5,3.3818,1.1693,0.0199,0.0312,0.0926,0.0622,2.424,1.55,-0.5778,1.36
1.7128,15.5,3.3818,1.3593,-0.1216,0.0205,0.0595,0.0479,-0.9466,0.816,-4.042,0.711
1.8033,15.5,3.3818,1.5093,-0.2279,0.0279,0.1922,0.0901,-0.4242,1.16,-7.057,0.882
1.8895,15.5,3.3818,1.6593,-0.2775,0.0795,0.3054,0.157,0.2631,1.64,-7.808,2.0
1.972,15.5,3.3818,1.8093,-0.3295,0.0387,0.4019,0.166,0.5488,1.33,-8.32,0.957
