W,x,Q2,A1,dA1(stat),dA1(sys),,,	
1.39,0.0744,0.0844,-0.0024,0.1097,0.0667,,,
1.41,0.0709,0.0844,0.0578,0.1045,0.0584,,,
1.43,0.0676,0.0844,-0.1135,0.0966,0.0508,,,
1.45,0.0647,0.0844,-0.0434,0.09,0.0459,,,
1.47,0.0619,0.0844,-0.2401,0.0772,0.0427,,,
1.49,0.0593,0.0844,-0.1242,0.0665,0.0378,,,
1.51,0.0569,0.0844,-0.1164,0.0628,0.0346,,,
1.53,0.0547,0.0844,-0.0401,0.067,0.0316,,,
1.55,0.0526,0.0844,0.0604,0.0748,0.0304,,,
1.57,0.0506,0.0844,0.1317,0.0781,0.0291,,,
1.59,0.0488,0.0844,-0.0447,0.0796,0.0227,,,
1.61,0.047,0.0844,0.0837,0.08,0.0217,,,
1.63,0.0454,0.0844,-0.0311,0.079,0.0187,,,
1.65,0.0438,0.0844,0.004,0.0763,0.0189,,,
1.11,0.2238,0.101,0.2934,0.8072,0.5743,,,
1.13,0.2036,0.101,0.1228,0.4061,0.3653,,,
1.15,0.1864,0.101,-0.1082,0.2361,0.2353,,,
1.17,0.1717,0.101,-0.0984,0.161,0.1451,,,
1.19,0.159,0.101,-0.4573,0.1114,0.1077,,,
1.21,0.1478,0.101,-0.2414,0.0902,0.0832,,,
1.23,0.1379,0.101,-0.3803,0.0813,0.0826,,,
1.25,0.1292,0.101,-0.2691,0.0846,0.0851,,,
1.27,0.1214,0.101,-0.2713,0.0928,0.0943,,,
1.29,0.1143,0.101,-0.0921,0.0979,0.098,,,
1.31,0.108,0.101,-0.0091,0.1106,0.0997,,,
1.33,0.1022,0.101,0.1359,0.112,0.0958,,,
1.35,0.097,0.101,-0.0239,0.1155,0.0887,,,
1.37,0.0921,0.101,-0.2712,0.1107,0.0797,,,
1.39,0.0877,0.101,0.0973,0.1098,0.0683,,,
1.41,0.0837,0.101,0.0803,0.1031,0.0588,,,
1.43,0.0799,0.101,-0.0116,0.094,0.0505,,,
1.45,0.0764,0.101,0.1392,0.0848,0.0448,,,
