Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
2.0,0.128,,0.022,0.054,0.015,0.056,,,,,,,,
2.0,0.144,,0.053,0.05,0.015,0.0522,,,,,,,,
2.0,0.162,,-0.095,0.047,0.012,0.0485,,,,,,,,
2.0,0.182,,0.061,0.044,0.016,0.0468,,,,,,,,
2.0,0.205,,-0.086,0.039,0.014,0.0414,,,,,,,,
2.0,0.23,,-0.047,0.038,0.014,0.0405,,,,,,,,
2.0,0.259,,-0.144,0.041,0.012,0.0427,,,,,,,,
2.0,0.292,,0.009,0.04,0.013,0.0421,,,,,,,,
2.0,0.329,,0.036,0.041,0.013,0.043,,,,,,,,
2.0,0.37,,0.031,0.04,0.012,0.0418,,,,,,,,
2.0,0.416,,-0.067,0.04,0.01,0.0412,,,,,,,,
2.0,0.468,,-0.018,0.04,0.009,0.041,,,,,,,,
2.0,0.526,,0.016,0.047,0.009,0.0479,,,,,,,,
2.0,0.592,,-0.018,0.051,0.007,0.0515,,,,,,,,
2.0,0.666,,-0.015,0.067,0.005,0.0672,,,,,,,,
2.0,0.749,,0.034,0.073,0.007,0.0733,,,,,,,,
3.0,0.031,,0.091,0.408,0.088,0.4174,,,,,,,,
3.0,0.035,,-0.437,0.262,0.072,0.2717,,,,,,,,
3.0,0.039,,0.164,0.212,0.06,0.2203,,,,,,,,
3.0,0.044,,-0.444,0.177,0.048,0.1834,,,,,,,,
3.0,0.049,,-0.44,0.151,0.039,0.156,,,,,,,,
3.0,0.056,,-0.24,0.13,0.03,0.1334,,,,,,,,
3.0,0.063,,-0.243,0.112,0.024,0.1145,,,,,,,,
3.0,0.071,,-0.19,0.099,0.021,0.1012,,,,,,,,
3.0,0.079,,-0.252,0.088,0.018,0.0898,,,,,,,,
3.0,0.09,,0.016,0.074,0.018,0.0762,,,,,,,,
3.0,0.101,,-0.131,0.067,0.016,0.0689,,,,,,,,
3.0,0.113,,-0.141,0.061,0.014,0.0626,,,,,,,,
3.0,0.128,,0.023,0.056,0.016,0.0582,,,,,,,,
3.0,0.144,,0.055,0.051,0.016,0.0535,,,,,,,,
3.0,0.162,,-0.098,0.048,0.012,0.0495,,,,,,,,
3.0,0.182,,0.062,0.045,0.016,0.0478,,,,,,,,
3.0,0.205,,-0.087,0.039,0.014,0.0414,,,,,,,,
3.0,0.23,,-0.047,0.038,0.014,0.0405,,,,,,,,
3.0,0.259,,-0.141,0.04,0.012,0.0418,,,,,,,,
3.0,0.292,,0.009,0.039,0.013,0.0411,,,,,,,,
3.0,0.329,,0.034,0.039,0.013,0.0411,,,,,,,,
3.0,0.37,,0.029,0.037,0.011,0.0386,,,,,,,,
3.0,0.416,,-0.06,0.036,0.009,0.0371,,,,,,,,
3.0,0.468,,-0.015,0.034,0.008,0.0349,,,,,,,,
3.0,0.526,,0.013,0.037,0.008,0.0379,,,,,,,,
3.0,0.592,,-0.012,0.036,0.005,0.0363,,,,,,,,
3.0,0.666,,-0.009,0.041,0.003,0.0411,,,,,,,,
3.0,0.749,,0.018,0.039,0.004,0.0392,,,,,,,,
5.0,0.031,,0.1,0.448,0.097,0.4584,,,,,,,,
5.0,0.035,,-0.479,0.287,0.08,0.2979,,,,,,,,
5.0,0.039,,0.18,0.232,0.066,0.2412,,,,,,,,
5.0,0.044,,-0.485,0.194,0.053,0.2011,,,,,,,,
5.0,0.049,,-0.48,0.164,0.043,0.1695,,,,,,,,
5.0,0.056,,-0.261,0.142,0.033,0.1458,,,,,,,,
5.0,0.063,,-0.264,0.122,0.027,0.125,,,,,,,,
5.0,0.071,,-0.206,0.107,0.022,0.1092,,,,,,,,
5.0,0.079,,-0.273,0.095,0.02,0.0971,,,,,,,,
5.0,0.09,,0.017,0.08,0.019,0.0822,,,,,,,,
5.0,0.101,,-0.141,0.072,0.017,0.074,,,,,,,,
5.0,0.113,,-0.151,0.065,0.015,0.0667,,,,,,,,
5.0,0.128,,0.024,0.059,0.017,0.0614,,,,,,,,
5.0,0.144,,0.058,0.054,0.016,0.0563,,,,,,,,
5.0,0.162,,-0.102,0.05,0.013,0.0517,,,,,,,,
5.0,0.182,,0.064,0.046,0.017,0.049,,,,,,,,
5.0,0.205,,-0.089,0.04,0.014,0.0424,,,,,,,,
5.0,0.23,,-0.047,0.038,0.014,0.0405,,,,,,,,
5.0,0.259,,-0.14,0.04,0.012,0.0418,,,,,,,,
5.0,0.292,,0.009,0.038,0.013,0.0402,,,,,,,,
5.0,0.329,,0.032,0.037,0.012,0.0389,,,,,,,,
5.0,0.37,,0.027,0.035,0.011,0.0367,,,,,,,,
5.0,0.416,,-0.054,0.032,0.009,0.0332,,,,,,,,
5.0,0.468,,-0.013,0.029,0.007,0.0298,,,,,,,,
5.0,0.526,,0.01,0.029,0.006,0.0296,,,,,,,,
5.0,0.592,,-0.009,0.026,0.004,0.0263,,,,,,,,
5.0,0.666,,-0.006,0.026,0.002,0.0261,,,,,,,,
5.0,0.749,,0.009,0.021,0.002,0.0211,,,,,,,,
0.51,0.024,16.2,-2.2575,1.6849,0.2533,1.7038,-0.205,0.153,0.023,0.1547,-0.205,0.153,0.023,0.1547
0.55,0.027,16.2,-1.3353,1.4882,0.2243,1.505,-0.131,0.146,0.022,0.1476,-0.131,0.146,0.022,0.1476
1.17,0.027,29.1,-1.2102,2.7504,0.2445,2.7612,-0.099,0.225,0.02,0.2259,-0.073,0.225,0.02,0.2259
0.59,0.031,16.2,-0.4451,1.3353,0.1855,1.3481,-0.048,0.144,0.02,0.1454,-0.048,0.144,0.02,0.1454
1.27,0.031,29.1,0.229,1.0361,0.2072,1.0566,0.021,0.095,0.019,0.0969,0.044,0.095,0.019,0.0969
0.31,0.035,9.7,1.0813,0.8396,0.1612,0.8549,0.161,0.125,0.024,0.1273,-0.159,0.125,0.024,0.1273
0.64,0.035,16.2,-0.8317,1.1919,0.1543,1.2018,-0.097,0.139,0.018,0.1402,-0.097,0.139,0.018,0.1402
1.4,0.035,29.1,-1.1353,0.6812,0.1678,0.7016,-0.115,0.069,0.017,0.0711,-0.126,0.069,0.017,0.0711
0.33,0.039,9.7,0.3148,0.7682,0.1511,0.7829,0.05,0.122,0.024,0.1243,0.053,0.122,0.024,0.1243
0.68,0.039,16.2,1.1157,1.0838,0.1355,1.0922,0.14,0.136,0.017,0.1371,0.14,0.136,0.017,0.1371
1.52,0.039,29.1,0.4428,0.5694,0.1446,0.5875,0.049,0.063,0.016,0.065,0.041,0.063,0.016,0.065
0.35,0.044,9.7,0.6352,0.7342,0.1399,0.7474,0.109,0.126,0.024,0.1283,-0.106,0.126,0.025,0.1285
0.73,0.044,16.2,-1.4021,0.8809,0.1248,0.8897,-0.191,0.12,0.017,0.1212,-0.191,0.12,0.017,0.1212
0.98,0.044,16.2,-17.0231,22.7077,0.1456,22.7082,-2.222,2.964,0.019,2.9641,-2.222,2.964,0.019,2.9641
1.65,0.044,29.1,-1.2251,0.49,0.1143,0.5032,-0.15,0.06,0.014,0.0616,-0.162,0.06,0.014,0.0616
0.36,0.049,9.7,0.0161,0.7213,0.1346,0.7338,0.003,0.134,0.025,0.1363,0.007,0.135,0.026,0.1375
0.78,0.049,16.2,0.3067,0.8247,0.1091,0.8319,0.045,0.121,0.016,0.1221,0.045,0.121,0.016,0.1221
1.06,0.049,16.2,-2.2881,4.6047,0.1283,4.6065,-0.321,0.646,0.018,0.6463,-0.321,0.646,0.018,0.6463
1.78,0.049,29.1,-1.2683,0.4379,0.0981,0.4488,-0.168,0.058,0.013,0.0594,-0.173,0.058,0.013,0.0594
0.38,0.056,9.7,1.0855,0.6925,0.1326,0.7051,0.221,0.141,0.027,0.1436,-0.217,0.141,0.027,0.1436
0.57,0.056,9.7,39.5201,5.4939,0.1125,5.4951,7.028,0.977,0.02,0.9772,7.031,5.978,0.02,5.978
0.83,0.056,16.2,-0.6549,0.7847,0.0989,0.7909,-0.106,0.127,0.016,0.128,-0.106,0.127,0.016,0.128
1.16,0.056,16.2,0.389,2.3144,0.1102,2.317,0.06,0.357,0.017,0.3574,0.061,0.358,0.017,0.3584
