Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.0707,0.0524,1.47,,,,,,,,,-0.1601,0.08,0.0467,0.0926
0.0707,0.0502,1.49,,,,,,,,,0.006,0.0689,0.0426,0.081
0.0707,0.0481,1.51,,,,,,,,,-0.0209,0.0667,0.0388,0.0772
0.0707,0.0462,1.53,,,,,,,,,0.0361,0.0697,0.0365,0.0787
0.0707,0.0444,1.55,,,,,,,,,0.078,0.0731,0.0346,0.0809
0.0707,0.0428,1.57,,,,,,,,,-0.0092,0.0809,0.0292,0.086
0.0707,0.0412,1.59,,,,,,,,,-0.1307,0.0794,0.0253,0.0833
0.0707,0.0397,1.61,,,,,,,,,-0.1987,0.082,0.0238,0.0854
0.0707,0.0383,1.63,,,,,,,,,-0.0135,0.0772,0.0192,0.0796
0.0707,0.037,1.65,,,,,,,,,-0.1093,0.0841,0.0205,0.0866
0.0844,0.1941,1.11,,,,,,,,,0.3039,0.9276,0.5626,1.0849
0.0844,0.176,1.13,,,,,,,,,0.511,0.452,0.3578,0.5765
0.0844,0.1607,1.15,,,,,,,,,-0.3449,0.2601,0.2402,0.354
0.0844,0.1477,1.17,,,,,,,,,-0.448,0.165,0.1505,0.2233
0.0844,0.1364,1.19,,,,,,,,,-0.2799,0.112,0.1038,0.1527
0.0844,0.1266,1.21,,,,,,,,,-0.4414,0.0896,0.0881,0.1257
0.0844,0.1179,1.23,,,,,,,,,-0.3122,0.0862,0.0802,0.1177
0.0844,0.1103,1.25,,,,,,,,,-0.3097,0.0882,0.0856,0.1229
0.0844,0.1035,1.27,,,,,,,,,-0.1227,0.0984,0.091,0.134
0.0844,0.0974,1.29,,,,,,,,,-0.2225,0.1088,0.0982,0.1466
0.0844,0.0919,1.31,,,,,,,,,-0.0832,0.1185,0.0984,0.154
0.0844,0.0869,1.33,,,,,,,,,-0.0655,0.1243,0.0946,0.1562
0.0844,0.0823,1.35,,,,,,,,,-0.0806,0.1233,0.0868,0.1508
0.0844,0.0782,1.37,,,,,,,,,0.0217,0.1171,0.0765,0.1399
0.0844,0.0744,1.39,,,,,,,,,-0.0024,0.1097,0.0667,0.1284
0.0844,0.0709,1.41,,,,,,,,,0.0578,0.1045,0.0584,0.1197
0.0844,0.0676,1.43,,,,,,,,,-0.1135,0.0966,0.0508,0.1091
0.0844,0.0647,1.45,,,,,,,,,-0.0434,0.09,0.0459,0.101
0.0844,0.0619,1.47,,,,,,,,,-0.2401,0.0772,0.0427,0.0882
0.0844,0.0593,1.49,,,,,,,,,-0.1242,0.0665,0.0378,0.0765
0.0844,0.0569,1.51,,,,,,,,,-0.1164,0.0628,0.0346,0.0717
0.0844,0.0547,1.53,,,,,,,,,-0.0401,0.067,0.0316,0.0741
0.0844,0.0526,1.55,,,,,,,,,0.0604,0.0748,0.0304,0.0807
0.0844,0.0506,1.57,,,,,,,,,0.1317,0.0781,0.0291,0.0833
0.0844,0.0488,1.59,,,,,,,,,-0.0447,0.0796,0.0227,0.0828
0.0844,0.047,1.61,,,,,,,,,0.0837,0.08,0.0217,0.0829
0.0844,0.0454,1.63,,,,,,,,,-0.0311,0.079,0.0187,0.0812
0.0844,0.0438,1.65,,,,,,,,,0.004,0.0763,0.0189,0.0786
