Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.86,0.128,9.7,,,,,0.146,0.059,0.01,0.0598,0.143,0.059,0.011,0.06
1.14,0.128,16.2,,,,,0.230,0.09,0.008,0.0904,0.229,0.09,0.008,0.0904
1.91,0.128,16.2,,,,,0.037,0.077,0.005,0.0772,0.037,0.077,0.005,0.0772
3.0,0.128,29.1,,,,,0.186,0.036,0.005,0.0363,0.187,0.037,0.006,0.0375
4.44,0.128,29.1,,,,,0.077,0.035,0.004,0.0352,0.080,0.035,0.005,0.0354
0.9,0.144,9.7,,,,,0.036,0.06,0.012,0.0612,0.033,0.06,0.012,0.0612
1.18,0.144,16.2,,,,,0.200,0.099,0.009,0.0994,0.199,0.099,0.009,0.0994
2.03,0.144,16.2,,,,,0.085,0.078,0.005,0.0782,0.085,0.078,0.006,0.0782
3.15,0.144,29.1,,,,,0.132,0.039,0.006,0.0395,0.141,0.041,0.007,0.0416
4.78,0.144,29.1,,,,,0.163,0.034,0.004,0.0342,0.171,0.035,0.005,0.0354
0.93,0.162,9.7,,,,,0.117,0.063,0.014,0.0645,0.115,0.063,0.014,0.0645
1.22,0.162,16.2,,,,,−0.107,0.108,0.011,0.1086,−0.108,0.108,0.011,0.1086
2.14,0.162,16.2,,,,,0.137,0.082,0.007,0.0823,0.137,0.082,0.007,0.0823
3.3,0.162,29.1,,,,,0.128,0.044,0.007,0.0446,0.109,0.045,0.008,0.0457
5.13,0.162,29.1,,,,,0.078,0.035,0.005,0.0354,0.084,0.035,0.005,0.0354
0.97,0.182,9.7,,,,,0.095,0.067,0.015,0.0687,0.094,0.067,0.016,0.0689
1.25,0.182,16.2,,,,,0.201,0.121,0.012,0.1216,0.200,0.121,0.012,0.1216
2.25,0.182,16.2,,,,,0.236,0.087,0.008,0.0874,0.237,0.087,0.008,0.0874
3.45,0.182,29.1,,,,,0.152,0.048,0.008,0.0487,0.175,0.051,0.009,0.0518
5.49,0.182,29.1,,,,,0.222,0.036,0.006,0.0365,0.214,0.037,0.006,0.0375
1.0,0.205,9.7,,,,,0.017,0.071,0.016,0.0728,0.017,0.071,0.016,0.0728
1.29,0.205,16.2,,,,,0.211,0.135,0.014,0.1357,0.213,0.135,0.014,0.1357
2.36,0.205,16.2,,,,,0.116,0.094,0.009,0.0944,0.117,0.094,0.01,0.0945
3.59,0.205,29.1,,,,,0.150,0.054,0.009,0.0547,0.159,0.057,0.01,0.0579
5.86,0.205,29.1,,,,,0.107,0.038,0.007,0.0386,0.132,0.039,0.008,0.0398
1.03,0.23,9.7,,,,,0.175,0.075,0.017,0.0769,0.178,0.075,0.017,0.0769
1.32,0.23,16.2,,,,,0.086,0.15,0.015,0.1507,0.090,0.15,0.015,0.1507
2.47,0.23,16.2,,,,,0.112,0.104,0.01,0.1045,0.116,0.104,0.011,0.1046
3.73,0.23,29.1,,,,,0.066,0.062,0.01,0.0628,0.061,0.067,0.011,0.0679
6.23,0.23,29.1,,,,,0.153,0.042,0.009,0.043,0.173,0.043,0.009,0.0439
1.35,0.259,16.2,,,,,0.130,0.169,0.015,0.1697,0.138,0.169,0.016,0.1698
2.57,0.259,16.2,,,,,0.121,0.114,0.012,0.1146,0.127,0.114,0.012,0.1146
3.85,0.259,29.1,,,,,0.089,0.071,0.011,0.0718,0.005,0.078,0.012,0.0789
6.6,0.259,29.1,,,,,0.105,0.046,0.01,0.0471,0.081,0.048,0.011,0.0492
