x,Q2,W,Eb,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),Experiment
0.1309,1.2,2.975,,,,,,,0.1216,0.0283,0.0245,0.0374,,,,,CLAS_EG1b
0.7895,1.44,1.125,,,,,,,0.0783,0.2515,0.0962,0.2693,,,,,CLAS_EG1b
0.7427,1.44,1.175,,,,,,,-0.2275,0.1094,0.0315,0.1138,,,,,CLAS_EG1b
0.6994,1.44,1.225,,,,,,,-0.0388,0.0778,0.0116,0.0787,,,,,CLAS_EG1b
0.6594,1.44,1.275,,,,,,,0.2245,0.0824,0.0185,0.0845,,,,,CLAS_EG1b
0.6223,1.44,1.325,,,,,,,0.1981,0.0872,0.0288,0.0918,,,,,CLAS_EG1b
0.588,1.44,1.375,,,,,,,0.1111,0.0907,0.0382,0.0984,,,,,CLAS_EG1b
0.5562,1.44,1.425,,,,,,,0.4224,0.0771,0.0395,0.0866,,,,,CLAS_EG1b
0.5267,1.44,1.475,,,,,,,0.6032,0.0696,0.0618,0.0931,,,,,CLAS_EG1b
0.4993,1.44,1.525,,,,,,,0.4658,0.056,0.0364,0.0668,,,,,CLAS_EG1b
0.4739,1.44,1.575,,,,,,,0.4805,0.055,0.0319,0.0636,,,,,CLAS_EG1b
0.4502,1.44,1.625,,,,,,,0.4328,0.0524,0.0304,0.0606,,,,,CLAS_EG1b
0.4281,1.44,1.675,,,,,,,0.3843,0.0513,0.0272,0.0581,,,,,CLAS_EG1b
0.4075,1.44,1.725,,,,,,,0.4789,0.0477,0.0309,0.0568,,,,,CLAS_EG1b
0.3883,1.44,1.775,,,,,,,0.3996,0.0478,0.0338,0.0585,,,,,CLAS_EG1b
0.3703,1.44,1.825,,,,,,,0.4388,0.0482,0.0417,0.0637,,,,,CLAS_EG1b
0.3535,1.44,1.875,,,,,,,0.2458,0.0447,0.0431,0.0621,,,,,CLAS_EG1b
0.3377,1.44,1.925,,,,,,,0.2682,0.0417,0.0444,0.0609,,,,,CLAS_EG1b
0.323,1.44,1.975,,,,,,,0.2877,0.0393,0.0455,0.0601,,,,,CLAS_EG1b
0.3091,1.44,2.025,,,,,,,0.3225,0.0385,0.031,0.0494,,,,,CLAS_EG1b
0.2961,1.44,2.075,,,,,,,0.304,0.0354,0.0391,0.0527,,,,,CLAS_EG1b
0.2838,1.44,2.125,,,,,,,0.2972,0.0359,0.0348,0.05,,,,,CLAS_EG1b
0.2723,1.44,2.175,,,,,,,0.332,0.0383,0.0326,0.0503,,,,,CLAS_EG1b
0.2614,1.44,2.225,,,,,,,0.3523,0.0388,0.0315,0.05,,,,,CLAS_EG1b
0.2511,1.44,2.275,,,,,,,0.3454,0.0357,0.0298,0.0465,,,,,CLAS_EG1b
0.2415,1.44,2.325,,,,,,,0.2513,0.0343,0.0292,0.045,,,,,CLAS_EG1b
0.2323,1.44,2.375,,,,,,,0.3296,0.0326,0.0288,0.0435,,,,,CLAS_EG1b
0.2236,1.44,2.425,,,,,,,0.2628,0.0317,0.0278,0.0422,,,,,CLAS_EG1b
0.2154,1.44,2.475,,,,,,,0.2731,0.0324,0.0268,0.042,,,,,CLAS_EG1b
0.2077,1.44,2.525,,,,,,,0.2461,0.0317,0.0266,0.0414,,,,,CLAS_EG1b
0.2003,1.44,2.575,,,,,,,0.3025,0.0323,0.0282,0.0429,,,,,CLAS_EG1b
0.1933,1.44,2.625,,,,,,,0.2805,0.0323,0.0287,0.0432,,,,,CLAS_EG1b
0.1867,1.44,2.675,,,,,,,0.2717,0.0312,0.0285,0.0423,,,,,CLAS_EG1b
0.1804,1.44,2.725,,,,,,,0.2992,0.0321,0.0289,0.0432,,,,,CLAS_EG1b
0.1744,1.44,2.775,,,,,,,0.2652,0.0298,0.0302,0.0424,,,,,CLAS_EG1b
0.1686,1.44,2.825,,,,,,,0.2665,0.0322,0.0351,0.0476,,,,,CLAS_EG1b
0.1632,1.44,2.875,,,,,,,0.2628,0.0291,0.0409,0.0502,,,,,CLAS_EG1b
0.158,1.44,2.925,,,,,,,0.2617,0.0358,0.0522,0.0633,,,,,CLAS_EG1b
0.8167,1.71,1.125,,,,,,,0.2085,0.315,0.1281,0.3401,,,,,CLAS_EG1b
0.7741,1.71,1.175,,,,,,,-0.342,0.1361,0.0397,0.1418,,,,,CLAS_EG1b
0.7343,1.71,1.225,,,,,,,-0.0562,0.0807,0.0119,0.0816,,,,,CLAS_EG1b
0.6969,1.71,1.275,,,,,,,0.1479,0.0794,0.02,0.0819,,,,,CLAS_EG1b
0.6618,1.71,1.325,,,,,,,0.1591,0.0825,0.0313,0.0882,,,,,CLAS_EG1b
0.6289,1.71,1.375,,,,,,,0.4748,0.0916,0.0405,0.1002,,,,,CLAS_EG1b
0.5981,1.71,1.425,,,,,,,0.3886,0.0801,0.0408,0.0899,,,,,CLAS_EG1b
0.5422,1.71,1.525,,,,,,,0.615,0.0587,0.0417,0.072,,,,,CLAS_EG1b
0.5168,1.71,1.575,,,,,,,0.3825,0.0575,0.0321,0.0659,,,,,CLAS_EG1b
0.493,1.71,1.625,,,,,,,0.4742,0.058,0.0344,0.0674,,,,,CLAS_EG1b
0.4706,1.71,1.675,,,,,,,0.4614,0.0548,0.0303,0.0626,,,,,CLAS_EG1b
0.4495,1.71,1.725,,,,,,,0.4568,0.0482,0.0327,0.0582,,,,,CLAS_EG1b
0.4298,1.71,1.775,,,,,,,0.5171,0.0487,0.0372,0.0613,,,,,CLAS_EG1b
0.4112,1.71,1.825,,,,,,,0.3595,0.0454,0.043,0.0625,,,,,CLAS_EG1b
0.3937,1.71,1.875,,,,,,,0.36,0.0429,0.047,0.0636,,,,,CLAS_EG1b
0.3772,1.71,1.925,,,,,,,0.3624,0.039,0.0469,0.061,,,,,CLAS_EG1b
0.3616,1.71,1.975,,,,,,,0.3297,0.0387,0.0473,0.0611,,,,,CLAS_EG1b
0.3469,1.71,2.025,,,,,,,0.3129,0.0363,0.0324,0.0487,,,,,CLAS_EG1b
0.3331,1.71,2.075,,,,,,,0.3317,0.0357,0.0427,0.0557,,,,,CLAS_EG1b
0.32,1.71,2.125,,,,,,,0.3558,0.0358,0.0375,0.0518,,,,,CLAS_EG1b
0.3076,1.71,2.175,,,,,,,0.3046,0.0352,0.0343,0.0491,,,,,CLAS_EG1b
0.2959,1.71,2.225,,,,,,,0.3384,0.0353,0.0333,0.0485,,,,,CLAS_EG1b
0.2848,1.71,2.275,,,,,,,0.3484,0.0345,0.0324,0.0473,,,,,CLAS_EG1b
0.2743,1.71,2.325,,,,,,,0.3261,0.0357,0.0328,0.0485,,,,,CLAS_EG1b
0.2643,1.71,2.375,,,,,,,0.3601,0.033,0.0316,0.0457,,,,,CLAS_EG1b
0.2549,1.71,2.425,,,,,,,0.2998,0.032,0.0314,0.0448,,,,,CLAS_EG1b
0.2459,1.71,2.475,,,,,,,0.2816,0.0299,0.031,0.0431,,,,,CLAS_EG1b
0.2374,1.71,2.525,,,,,,,0.3981,0.0308,0.0309,0.0436,,,,,CLAS_EG1b
0.2293,1.71,2.575,,,,,,,0.3125,0.031,0.0298,0.043,,,,,CLAS_EG1b
0.2215,1.71,2.625,,,,,,,0.3339,0.031,0.0304,0.0434,,,,,CLAS_EG1b
0.2142,1.71,2.675,,,,,,,0.2994,0.0302,0.0311,0.0434,,,,,CLAS_EG1b
0.2072,1.71,2.725,,,,,,,0.3256,0.0297,0.0343,0.0454,,,,,CLAS_EG1b
0.2005,1.71,2.775,,,,,,,0.2652,0.0287,0.0363,0.0463,,,,,CLAS_EG1b
0.1941,1.71,2.825,,,,,,,0.2752,0.0312,0.0436,0.0536,,,,,CLAS_EG1b
0.188,1.71,2.875,,,,,,,0.1964,0.0373,0.0445,0.0581,,,,,CLAS_EG1b
0.1822,1.71,2.925,,,,,,,0.2669,0.0648,0.0814,0.104,,,,,CLAS_EG1b
0.8043,2.05,1.175,,,,,,,-0.0857,0.1309,0.0261,0.1335,,,,,CLAS_EG1b
0.7681,2.05,1.225,,,,,,,0.0962,0.0922,0.0129,0.0931,,,,,CLAS_EG1b
0.7337,2.05,1.275,,,,,,,0.151,0.092,0.0236,0.095,,,,,CLAS_EG1b
0.7011,2.05,1.325,,,,,,,0.3314,0.0982,0.0381,0.1053,,,,,CLAS_EG1b
0.6702,2.05,1.375,,,,,,,0.5272,0.1136,0.0503,0.1242,,,,,CLAS_EG1b
0.6409,2.05,1.425,,,,,,,0.4717,0.0918,0.0427,0.1012,,,,,CLAS_EG1b
0.6131,2.05,1.475,,,,,,,0.5904,0.0794,0.0668,0.1038,,,,,CLAS_EG1b
0.5867,2.05,1.525,,,,,,,0.5637,0.0579,0.0434,0.0724,,,,,CLAS_EG1b
0.5618,2.05,1.575,,,,,,,0.4049,0.0539,0.0334,0.0634,,,,,CLAS_EG1b
0.5382,2.05,1.625,,,,,,,0.406,0.0531,0.0319,0.0619,,,,,CLAS_EG1b
0.5159,2.05,1.675,,,,,,,0.5831,0.0535,0.0304,0.0615,,,,,CLAS_EG1b
0.4947,2.05,1.725,,,,,,,0.5922,0.0525,0.0363,0.0638,,,,,CLAS_EG1b
0.4747,2.05,1.775,,,,,,,0.5368,0.0482,0.0371,0.0608,,,,,CLAS_EG1b
0.4557,2.05,1.825,,,,,,,0.3481,0.0479,0.0455,0.0661,,,,,CLAS_EG1b
0.4377,2.05,1.875,,,,,,,0.3053,0.0449,0.0488,0.0663,,,,,CLAS_EG1b
0.4206,2.05,1.925,,,,,,,0.3126,0.0441,0.049,0.0659,,,,,CLAS_EG1b
0.4044,2.05,1.975,,,,,,,0.4396,0.0443,0.0497,0.0666,,,,,CLAS_EG1b
0.3891,2.05,2.025,,,,,,,0.3569,0.0446,0.0363,0.0575,,,,,CLAS_EG1b
0.3745,2.05,2.075,,,,,,,0.4422,0.0424,0.0488,0.0646,,,,,CLAS_EG1b
0.3607,2.05,2.125,,,,,,,0.4429,0.0401,0.0427,0.0586,,,,,CLAS_EG1b
0.3475,2.05,2.175,,,,,,,0.4281,0.0398,0.0397,0.0562,,,,,CLAS_EG1b
0.335,2.05,2.225,,,,,,,0.397,0.0396,0.0387,0.0554,,,,,CLAS_EG1b
0.3231,2.05,2.275,,,,,,,0.3977,0.0362,0.036,0.0511,,,,,CLAS_EG1b
0.3118,2.05,2.325,,,,,,,0.3891,0.0353,0.0352,0.0499,,,,,CLAS_EG1b
0.3011,2.05,2.375,,,,,,,0.3315,0.0337,0.0337,0.0477,,,,,CLAS_EG1b
0.2908,2.05,2.425,,,,,,,0.4384,0.034,0.034,0.0481,,,,,CLAS_EG1b
0.2811,2.05,2.475,,,,,,,0.4016,0.0343,0.035,0.049,,,,,CLAS_EG1b
0.2717,2.05,2.525,,,,,,,0.3131,0.0329,0.0339,0.0472,,,,,CLAS_EG1b
0.2629,2.05,2.575,,,,,,,0.3589,0.0303,0.0349,0.0462,,,,,CLAS_EG1b
0.2544,2.05,2.625,,,,,,,0.3726,0.0283,0.0356,0.0455,,,,,CLAS_EG1b
0.2463,2.05,2.675,,,,,,,0.305,0.0282,0.0369,0.0464,,,,,CLAS_EG1b
0.2385,2.05,2.725,,,,,,,0.3169,0.0316,0.0419,0.0525,,,,,CLAS_EG1b
0.2311,2.05,2.775,,,,,,,0.2943,0.0368,0.0478,0.0603,,,,,CLAS_EG1b
0.2241,2.05,2.825,,,,,,,0.3758,0.0546,0.0745,0.0924,,,,,CLAS_EG1b
0.2173,2.05,2.875,,,,,,,0.1455,0.0762,0.0538,0.0933,,,,,CLAS_EG1b
0.8641,2.44,1.125,,,,,,,-0.2497,0.3963,0.1159,0.4129,,,,,CLAS_EG1b
0.8302,2.44,1.175,,,,,,,-0.0131,0.1679,0.0312,0.1708,,,,,CLAS_EG1b
0.7977,2.44,1.225,,,,,,,-0.2643,0.1087,0.0193,0.1104,,,,,CLAS_EG1b
0.7664,2.44,1.275,,,,,,,0.1545,0.1023,0.0307,0.1068,,,,,CLAS_EG1b
0.7363,2.44,1.325,,,,,,,0.3538,0.1171,0.0526,0.1284,,,,,CLAS_EG1b
0.7075,2.44,1.375,,,,,,,0.3941,0.1084,0.0517,0.1201,,,,,CLAS_EG1b
0.6799,2.44,1.425,,,,,,,0.5215,0.0939,0.0431,0.1033,,,,,CLAS_EG1b
0.6535,2.44,1.475,,,,,,,0.4799,0.0778,0.0533,0.0943,,,,,CLAS_EG1b
0.6282,2.44,1.525,,,,,,,0.5244,0.0657,0.0463,0.0804,,,,,CLAS_EG1b
0.6041,2.44,1.575,,,,,,,0.4963,0.0641,0.0395,0.0753,,,,,CLAS_EG1b
0.5811,2.44,1.625,,,,,,,0.5087,0.061,0.0361,0.0709,,,,,CLAS_EG1b
0.5591,2.44,1.675,,,,,,,0.4983,0.056,0.0309,0.064,,,,,CLAS_EG1b
0.5382,2.44,1.725,,,,,,,0.5123,0.0521,0.037,0.0639,,,,,CLAS_EG1b
0.5182,2.44,1.775,,,,,,,0.4503,0.0488,0.0362,0.0608,,,,,CLAS_EG1b
0.4991,2.44,1.825,,,,,,,0.3899,0.0468,0.0481,0.0671,,,,,CLAS_EG1b
0.4809,2.44,1.875,,,,,,,0.377,0.046,0.0514,0.069,,,,,CLAS_EG1b
0.4635,2.44,1.925,,,,,,,0.3458,0.0475,0.0507,0.0695,,,,,CLAS_EG1b
0.447,2.44,1.975,,,,,,,0.3823,0.0462,0.0495,0.0677,,,,,CLAS_EG1b
0.4312,2.44,2.025,,,,,,,0.3689,0.0421,0.0346,0.0545,,,,,CLAS_EG1b
0.4161,2.44,2.075,,,,,,,0.4662,0.0424,0.0516,0.0668,,,,,CLAS_EG1b
0.4017,2.44,2.125,,,,,,,0.4757,0.041,0.045,0.0609,,,,,CLAS_EG1b
0.388,2.44,2.175,,,,,,,0.4296,0.0424,0.0427,0.0602,,,,,CLAS_EG1b
0.3749,2.44,2.225,,,,,,,0.4866,0.04,0.0401,0.0566,,,,,CLAS_EG1b
0.3623,2.44,2.275,,,,,,,0.4174,0.0387,0.0387,0.0547,,,,,CLAS_EG1b
0.3504,2.44,2.325,,,,,,,0.4466,0.0361,0.0377,0.0522,,,,,CLAS_EG1b
0.3389,2.44,2.375,,,,,,,0.3751,0.0328,0.0353,0.0482,,,,,CLAS_EG1b
0.328,2.44,2.425,,,,,,,0.3643,0.0324,0.036,0.0484,,,,,CLAS_EG1b
0.3175,2.44,2.475,,,,,,,0.3362,0.0291,0.0344,0.0451,,,,,CLAS_EG1b
0.3075,2.44,2.525,,,,,,,0.3713,0.0293,0.0354,0.046,,,,,CLAS_EG1b
0.298,2.44,2.575,,,,,,,0.3257,0.0302,0.0358,0.0468,,,,,CLAS_EG1b
0.2888,2.44,2.625,,,,,,,0.4098,0.0363,0.0443,0.0573,,,,,CLAS_EG1b
0.28,2.44,2.675,,,,,,,0.3786,0.0407,0.0505,0.0649,,,,,CLAS_EG1b
0.2716,2.44,2.725,,,,,,,0.3794,0.0494,0.0661,0.0825,,,,,CLAS_EG1b
0.2635,2.44,2.775,,,,,,,0.2408,0.0643,0.0569,0.0859,,,,,CLAS_EG1b
0.2558,2.44,2.825,,,,,,,0.3176,0.1433,0.0999,0.1747,,,,,CLAS_EG1b
0.2484,2.44,2.875,,,,,,,-0.4126,0.4952,0.1196,0.5094,,,,,CLAS_EG1b
0.8838,2.92,1.125,,,,,,,-0.2928,0.3672,0.0948,0.3792,,,,,CLAS_EG1b
0.8541,2.92,1.175,,,,,,,-0.1137,0.2076,0.0404,0.2115,,,,,CLAS_EG1b
0.8251,2.92,1.225,,,,,,,-0.096,0.1538,0.0213,0.1553,,,,,CLAS_EG1b
0.797,2.92,1.275,,,,,,,-0.1399,0.1191,0.0367,0.1246,,,,,CLAS_EG1b
0.7697,2.92,1.325,,,,,,,0.2229,0.1062,0.0501,0.1174,,,,,CLAS_EG1b
0.7432,2.92,1.375,,,,,,,0.3149,0.0939,0.0528,0.1077,,,,,CLAS_EG1b
0.7176,2.92,1.425,,,,,,,0.3084,0.0829,0.0397,0.0919,,,,,CLAS_EG1b
0.6929,2.92,1.475,,,,,,,0.5439,0.082,0.0551,0.0988,,,,,CLAS_EG1b
0.6691,2.92,1.525,,,,,,,0.4855,0.0759,0.0501,0.0909,,,,,CLAS_EG1b
0.6462,2.92,1.575,,,,,,,0.5154,0.0753,0.0449,0.0877,,,,,CLAS_EG1b
0.6241,2.92,1.625,,,,,,,0.4996,0.0689,0.0378,0.0786,,,,,CLAS_EG1b
0.6028,2.92,1.675,,,,,,,0.5521,0.0615,0.0323,0.0695,,,,,CLAS_EG1b
0.5824,2.92,1.725,,,,,,,0.5443,0.0559,0.0392,0.0683,,,,,CLAS_EG1b
0.5627,2.92,1.775,,,,,,,0.4965,0.0547,0.0378,0.0665,,,,,CLAS_EG1b
0.5439,2.92,1.825,,,,,,,0.4795,0.055,0.0512,0.0751,,,,,CLAS_EG1b
0.5258,2.92,1.875,,,,,,,0.5372,0.0559,0.0551,0.0785,,,,,CLAS_EG1b
0.5084,2.92,1.925,,,,,,,0.4851,0.0555,0.0535,0.0771,,,,,CLAS_EG1b
0.4917,2.92,1.975,,,,,,,0.4057,0.052,0.052,0.0735,,,,,CLAS_EG1b
0.4757,2.92,2.025,,,,,,,0.4441,0.0471,0.0388,0.061,,,,,CLAS_EG1b
0.4603,2.92,2.075,,,,,,,0.5125,0.0442,0.0576,0.0726,,,,,CLAS_EG1b
0.4455,2.92,2.125,,,,,,,0.3975,0.0409,0.0477,0.0628,,,,,CLAS_EG1b
0.4314,2.92,2.175,,,,,,,0.4863,0.0406,0.0437,0.0596,,,,,CLAS_EG1b
0.4178,2.92,2.225,,,,,,,0.3955,0.0374,0.0399,0.0547,,,,,CLAS_EG1b
0.4048,2.92,2.275,,,,,,,0.4338,0.0372,0.0398,0.0545,,,,,CLAS_EG1b
0.3923,2.92,2.325,,,,,,,0.481,0.0363,0.0388,0.0531,,,,,CLAS_EG1b
0.3803,2.92,2.375,,,,,,,0.4113,0.0384,0.0412,0.0563,,,,,CLAS_EG1b
0.3687,2.92,2.425,,,,,,,0.4878,0.0412,0.0423,0.059,,,,,CLAS_EG1b
0.3577,2.92,2.475,,,,,,,0.4252,0.0438,0.0454,0.0631,,,,,CLAS_EG1b
0.347,2.92,2.525,,,,,,,0.3977,0.0508,0.0448,0.0677,,,,,CLAS_EG1b
0.3368,2.92,2.575,,,,,,,0.5137,0.0576,0.0612,0.084,,,,,CLAS_EG1b
0.327,2.92,2.625,,,,,,,0.7556,0.0745,0.0979,0.123,,,,,CLAS_EG1b
0.3176,2.92,2.675,,,,,,,0.4495,0.1132,0.0794,0.1383,,,,,CLAS_EG1b
0.3085,2.92,2.725,,,,,,,0.3303,0.2744,0.077,0.285,,,,,CLAS_EG1b
0.8746,3.48,1.175,,,,,,,-0.3692,0.2656,0.0568,0.2716,,,,,CLAS_EG1b
0.849,3.48,1.225,,,,,,,0.046,0.2268,0.0367,0.2298,,,,,CLAS_EG1b
0.8239,3.48,1.275,,,,,,,0.2497,0.1486,0.0472,0.1559,,,,,CLAS_EG1b
0.7993,3.48,1.325,,,,,,,0.4642,0.1756,0.0929,0.1987,,,,,CLAS_EG1b
0.7752,3.48,1.375,,,,,,,0.3795,0.1348,0.0708,0.1523,,,,,CLAS_EG1b
0.7518,3.48,1.425,,,,,,,0.6004,0.1241,0.0515,0.1344,,,,,CLAS_EG1b
0.7068,3.48,1.525,,,,,,,0.4527,0.0662,0.0443,0.0797,,,,,CLAS_EG1b
0.6852,3.48,1.575,,,,,,,0.3503,0.0596,0.0383,0.0708,,,,,CLAS_EG1b
0.6643,3.48,1.625,,,,,,,0.3374,0.0601,0.0358,0.07,,,,,CLAS_EG1b
0.644,3.48,1.675,,,,,,,0.4631,0.0663,0.0358,0.0753,,,,,CLAS_EG1b
0.6243,3.48,1.725,,,,,,,0.5524,0.0682,0.0397,0.0789,,,,,CLAS_EG1b
0.6053,3.48,1.775,,,,,,,0.4787,0.064,0.0383,0.0746,,,,,CLAS_EG1b
0.587,3.48,1.825,,,,,,,0.5232,0.0625,0.053,0.0819,,,,,CLAS_EG1b
0.5692,3.48,1.875,,,,,,,0.4507,0.0583,0.0561,0.0809,,,,,CLAS_EG1b
0.552,3.48,1.925,,,,,,,0.4177,0.055,0.0539,0.077,,,,,CLAS_EG1b
0.5355,3.48,1.975,,,,,,,0.3754,0.0488,0.0515,0.0709,,,,,CLAS_EG1b
0.5195,3.48,2.025,,,,,,,0.4781,0.0468,0.0394,0.0612,,,,,CLAS_EG1b
0.5041,3.48,2.075,,,,,,,0.516,0.0452,0.0626,0.0772,,,,,CLAS_EG1b
0.4892,3.48,2.125,,,,,,,0.5054,0.0481,0.0557,0.0736,,,,,CLAS_EG1b
0.4748,3.48,2.175,,,,,,,0.4639,0.0483,0.0509,0.0702,,,,,CLAS_EG1b
0.461,3.48,2.225,,,,,,,0.5234,0.046,0.0448,0.0642,,,,,CLAS_EG1b
0.4477,3.48,2.275,,,,,,,0.4031,0.0435,0.0406,0.0595,,,,,CLAS_EG1b
0.4348,3.48,2.325,,,,,,,0.4761,0.0496,0.0411,0.0644,,,,,CLAS_EG1b
0.4224,3.48,2.375,,,,,,,0.4851,0.0628,0.0467,0.0783,,,,,CLAS_EG1b
0.4104,3.48,2.425,,,,,,,0.5603,0.0744,0.048,0.0885,,,,,CLAS_EG1b
0.3989,3.48,2.475,,,,,,,0.4787,0.0797,0.0498,0.094,,,,,CLAS_EG1b
0.3878,3.48,2.525,,,,,,,0.2444,0.1117,0.0394,0.1184,,,,,CLAS_EG1b
0.3771,3.48,2.575,,,,,,,0.6318,0.1974,0.0855,0.2151,,,,,CLAS_EG1b
0.9155,4.16,1.125,,,,,,,-0.1569,0.3545,0.1066,0.3702,,,,,CLAS_EG1b
0.8929,4.16,1.175,,,,,,,-0.4426,0.2032,0.0841,0.2199,,,,,CLAS_EG1b
0.8705,4.16,1.225,,,,,,,0.19,0.1407,0.044,0.1474,,,,,CLAS_EG1b
0.8483,4.16,1.275,,,,,,,0.1834,0.1799,0.0473,0.186,,,,,CLAS_EG1b
0.8264,4.16,1.325,,,,,,,0.319,0.1889,0.058,0.1976,,,,,CLAS_EG1b
0.7836,4.16,1.425,,,,,,,0.3891,0.1541,0.0728,0.1704,,,,,CLAS_EG1b
0.7423,4.16,1.525,,,,,,,0.671,0.1239,0.0688,0.1417,,,,,CLAS_EG1b
0.7224,4.16,1.575,,,,,,,0.6241,0.1113,0.0649,0.1288,,,,,CLAS_EG1b
0.7028,4.16,1.625,,,,,,,0.5426,0.0942,0.048,0.1057,,,,,CLAS_EG1b
0.6838,4.16,1.675,,,,,,,0.7117,0.0836,0.0581,0.1018,,,,,CLAS_EG1b
0.6652,4.16,1.725,,,,,,,0.6846,0.0764,0.04,0.0862,,,,,CLAS_EG1b
0.6471,4.16,1.775,,,,,,,0.7198,0.0762,0.0461,0.0891,,,,,CLAS_EG1b
0.6295,4.16,1.825,,,,,,,0.6258,0.0739,0.0581,0.094,,,,,CLAS_EG1b
0.6123,4.16,1.875,,,,,,,0.5717,0.0736,0.059,0.0943,,,,,CLAS_EG1b
0.5957,4.16,1.925,,,,,,,0.5454,0.0678,0.056,0.0879,,,,,CLAS_EG1b
0.5795,4.16,1.975,,,,,,,0.3985,0.069,0.0534,0.0872,,,,,CLAS_EG1b
0.5638,4.16,2.025,,,,,,,0.4302,0.0677,0.0459,0.0818,,,,,CLAS_EG1b
0.5485,4.16,2.075,,,,,,,0.63,0.0694,0.0717,0.0998,,,,,CLAS_EG1b
0.5338,4.16,2.125,,,,,,,0.6182,0.0713,0.0555,0.0904,,,,,CLAS_EG1b
0.5194,4.16,2.175,,,,,,,0.4307,0.0772,0.0411,0.0875,,,,,CLAS_EG1b
0.5055,4.16,2.225,,,,,,,0.4877,0.0847,0.0394,0.0934,,,,,CLAS_EG1b
0.4921,4.16,2.275,,,,,,,0.6281,0.0979,0.0452,0.1078,,,,,CLAS_EG1b
0.479,4.16,2.325,,,,,,,0.5724,0.1373,0.0486,0.1456,,,,,CLAS_EG1b
0.4664,4.16,2.375,,,,,,,0.5348,0.2509,0.055,0.2569,,,,,CLAS_EG1b
0.9086,4.96,1.175,,,,,,,-0.2758,0.2461,0.2162,0.3276,,,,,CLAS_EG1b
0.8891,4.96,1.225,,,,,,,0.0012,0.2606,0.0683,0.2694,,,,,CLAS_EG1b
0.8696,4.96,1.275,,,,,,,0.4397,0.1841,0.3816,0.4237,,,,,CLAS_EG1b
0.8502,4.96,1.325,,,,,,,0.3016,0.1266,0.283,0.31,,,,,CLAS_EG1b
0.831,4.96,1.375,,,,,,,0.4375,0.1402,0.2793,0.3125,,,,,CLAS_EG1b
0.8119,4.96,1.425,,,,,,,0.2996,0.1374,0.1067,0.174,,,,,CLAS_EG1b
0.7931,4.96,1.475,,,,,,,0.4316,0.1162,0.0497,0.1264,,,,,CLAS_EG1b
0.7745,4.96,1.525,,,,,,,0.3765,0.1008,0.1051,0.1456,,,,,CLAS_EG1b
0.7562,4.96,1.575,,,,,,,0.2885,0.0943,0.0674,0.1159,,,,,CLAS_EG1b
0.7382,4.96,1.625,,,,,,,0.5978,0.0989,0.0741,0.1236,,,,,CLAS_EG1b
0.7205,4.96,1.675,,,,,,,0.5988,0.0939,0.0512,0.107,,,,,CLAS_EG1b
0.7032,4.96,1.725,,,,,,,0.5027,0.085,0.0484,0.0978,,,,,CLAS_EG1b
0.6861,4.96,1.775,,,,,,,0.5737,0.0963,0.0468,0.1071,,,,,CLAS_EG1b
0.6695,4.96,1.825,,,,,,,0.4364,0.1302,0.052,0.1402,,,,,CLAS_EG1b
0.6532,4.96,1.875,,,,,,,0.5831,0.1406,0.0552,0.151,,,,,CLAS_EG1b
0.6372,4.96,1.925,,,,,,,0.3989,0.1373,0.0528,0.1471,,,,,CLAS_EG1b
0.6216,4.96,1.975,,,,,,,0.3643,0.1446,0.0506,0.1532,,,,,CLAS_EG1b
0.5916,4.96,2.075,,,,,,,0.1238,0.2215,0.0693,0.2321,,,,,CLAS_EG1b
0.1115,0.0496,1.13,,,,,,,-0.058,0.3877,0.1329,0.4098,,,,,CLAS_EG1b
0.1011,0.0496,1.15,,,,,,,-0.3474,0.2391,0.1036,0.2606,,,,,CLAS_EG1b
0.0924,0.0496,1.17,,,,,,,-0.2005,0.1525,0.0753,0.1701,,,,,CLAS_EG1b
0.0849,0.0496,1.19,,,,,,,-0.1824,0.1108,0.0655,0.1287,,,,,CLAS_EG1b
0.0785,0.0496,1.21,,,,,,,-0.2622,0.086,0.0623,0.1062,,,,,CLAS_EG1b
0.0729,0.0496,1.23,,,,,,,-0.1483,0.0812,0.0617,0.102,,,,,CLAS_EG1b
0.0679,0.0496,1.25,,,,,,,-0.251,0.0861,0.0653,0.1081,,,,,CLAS_EG1b
0.0635,0.0496,1.27,,,,,,,-0.087,0.0991,0.0692,0.1209,,,,,CLAS_EG1b
0.0596,0.0496,1.29,,,,,,,0.0979,0.1077,0.0714,0.1292,,,,,CLAS_EG1b
0.0561,0.0496,1.31,,,,,,,-0.2286,0.1147,0.0739,0.1364,,,,,CLAS_EG1b
0.0529,0.0496,1.33,,,,,,,-0.1323,0.1131,0.0666,0.1313,,,,,CLAS_EG1b
0.0501,0.0496,1.35,,,,,,,-0.124,0.1163,0.0603,0.131,,,,,CLAS_EG1b
0.0475,0.0496,1.37,,,,,,,-0.1432,0.1144,0.0552,0.127,,,,,CLAS_EG1b
0.0451,0.0496,1.39,,,,,,,-0.1613,0.1161,0.0524,0.1274,,,,,CLAS_EG1b
0.0429,0.0496,1.41,,,,,,,-0.269,0.1115,0.0612,0.1272,,,,,CLAS_EG1b
