W,x,Q2,g1,dg1(stat),dg1(sys)
1.13,0.1115,0.0496,-0.022,0.1468,0.0503
1.15,0.1011,0.0496,-0.1851,0.1274,0.0552
1.17,0.0924,0.0496,-0.1567,0.1192,0.0588
1.19,0.0849,0.0496,-0.2138,0.1298,0.0768
1.21,0.0785,0.0496,-0.4258,0.1397,0.1011
1.23,0.0729,0.0496,-0.2627,0.1439,0.1093
1.25,0.0679,0.0496,-0.3793,0.1301,0.0987
1.27,0.0635,0.0496,-0.1028,0.1171,0.0818
1.29,0.0596,0.0496,0.0927,0.102,0.0677
1.31,0.0561,0.0496,-0.1836,0.0921,0.0594
1.33,0.0529,0.0496,-0.0953,0.0814,0.048
1.35,0.0501,0.0496,-0.0839,0.0787,0.0408
1.37,0.0475,0.0496,-0.0951,0.0759,0.0366
1.39,0.0451,0.0496,-0.1092,0.0786,0.0355
1.41,0.0429,0.0496,-0.1935,0.0802,0.044
1.43,0.0409,0.0496,-0.1122,0.0856,0.038
1.45,0.039,0.0496,-0.0209,0.089,0.045
1.47,0.0373,0.0496,0.0019,0.0964,0.0587
1.49,0.0357,0.0496,0.1029,0.1075,0.0736
1.51,0.0343,0.0496,-0.3797,0.1158,0.0805
1.53,0.0329,0.0496,-0.0742,0.108,0.0715
1.55,0.0316,0.0496,-0.1594,0.0999,0.0557
1.57,0.0304,0.0496,0.079,0.0957,0.0412
1.59,0.0292,0.0496,-0.0401,0.0957,0.0297
1.61,0.0282,0.0496,-0.0572,0.1004,0.0245
1.63,0.0272,0.0496,-0.1421,0.1111,0.0282
1.65,0.0262,0.0496,-0.3179,0.1224,0.0377
1.11,0.1445,0.0592,-0.0095,0.104,0.0507
1.13,0.1303,0.0592,0.1013,0.0782,0.0582
1.15,0.1184,0.0592,-0.0424,0.0711,0.0491
1.17,0.1084,0.0592,-0.1776,0.0739,0.0541
1.19,0.0997,0.0592,-0.218,0.0851,0.0664
1.21,0.0923,0.0592,-0.3412,0.1001,0.0857
1.23,0.0857,0.0592,-0.3668,0.1036,0.0907
1.25,0.08,0.0592,-0.0966,0.1009,0.067
1.27,0.0749,0.0592,-0.2966,0.0947,0.0531
1.29,0.0703,0.0592,-0.0686,0.0933,0.0479
1.31,0.0662,0.0592,-0.0107,0.086,0.0437
1.33,0.0626,0.0592,0.027,0.0785,0.0404
1.35,0.0592,0.0592,0.005,0.0752,0.0354
1.37,0.0562,0.0592,0.0106,0.0752,0.032
1.39,0.0534,0.0592,-0.0209,0.0754,0.0286
1.41,0.0508,0.0592,0.0494,0.0772,0.032
1.43,0.0484,0.0592,-0.0779,0.0761,0.0321
1.45,0.0463,0.0592,-0.1321,0.0806,0.0395
1.47,0.0442,0.0592,-0.0079,0.0873,0.0501
1.49,0.0424,0.0592,-0.1021,0.0992,0.0621
1.51,0.0406,0.0592,-0.1658,0.1089,0.0676
1.53,0.039,0.0592,-0.056,0.1103,0.0604
1.55,0.0375,0.0592,-0.1843,0.1037,0.0473
1.57,0.036,0.0592,-0.183,0.0964,0.0365
1.59,0.0347,0.0592,0.0991,0.0979,0.0272
1.61,0.0334,0.0592,-0.0869,0.0993,0.0231
1.63,0.0323,0.0592,-0.0509,0.0984,0.0233
1.65,0.0312,0.0592,-0.2702,0.1059,0.0332
1.11,0.1679,0.0707,0.0283,0.0832,0.0517
1.13,0.1518,0.0707,-0.1013,0.0737,0.0532
1.15,0.1382,0.0707,0.0683,0.0735,0.0461
1.17,0.1267,0.0707,-0.2062,0.0787,0.0409
1.19,0.1168,0.0707,-0.3521,0.088,0.0427
1.21,0.1083,0.0707,-0.6735,0.096,0.0577
1.23,0.1007,0.0707,-0.6201,0.1045,0.0677
1.25,0.0941,0.0707,-0.2998,0.0945,0.0539
1.27,0.0882,0.0707,-0.1386,0.0883,0.049
1.29,0.0829,0.0707,-0.1035,0.0806,0.0457
1.31,0.0781,0.0707,-0.095,0.0755,0.0419
1.33,0.0738,0.0707,-0.0441,0.0683,0.0371
1.35,0.0699,0.0707,-0.0092,0.0661,0.0331
1.37,0.0663,0.0707,0.0166,0.0666,0.0304
1.39,0.0631,0.0707,-0.1431,0.0653,0.0341
1.41,0.0601,0.0707,0.1082,0.0645,0.0359
1.43,0.0573,0.0707,-0.1122,0.0669,0.0291
1.45,0.0547,0.0707,-0.0138,0.0722,0.0325
1.47,0.0524,0.0707,-0.1581,0.0808,0.041
1.49,0.0502,0.0707,0.0135,0.0905,0.0504
1.51,0.0481,0.0707,-0.0246,0.1025,0.0541
1.53,0.0462,0.0707,0.0621,0.1022,0.0485
1.55,0.0444,0.0707,0.1084,0.0919,0.0383
1.57,0.0428,0.0707,0.0006,0.0897,0.0288
1.59,0.0412,0.0707,-0.1262,0.0837,0.0245
1.61,0.0397,0.0707,-0.2023,0.0885,0.0273
1.63,0.0383,0.0707,-0.0028,0.0916,0.0209
1.65,0.037,0.0707,-0.1341,0.1139,0.0269
1.11,0.1941,0.0844,-0.0045,0.094,0.0469
1.13,0.176,0.0844,0.0423,0.0707,0.0474
1.15,0.1607,0.0844,-0.1243,0.0629,0.0403
1.17,0.1477,0.0844,-0.2187,0.0634,0.0373
1.19,0.1364,0.0844,-0.2277,0.0692,0.0369
1.21,0.1266,0.0844,-0.4658,0.0814,0.0452
1.23,0.1179,0.0844,-0.3959,0.0902,0.0512
1.25,0.1103,0.0844,-0.3552,0.0826,0.0496
1.27,0.1035,0.0844,-0.1498,0.0754,0.0445
1.29,0.0974,0.0844,-0.1881,0.0695,0.0428
1.31,0.0919,0.0844,-0.0838,0.0664,0.0386
1.33,0.0869,0.0844,-0.0632,0.0644,0.0348
1.35,0.0823,0.0844,-0.0629,0.0617,0.0308
1.37,0.0782,0.0844,-0.0058,0.0587,0.0271
1.39,0.0744,0.0844,-0.0129,0.0572,0.024
1.41,0.0709,0.0844,0.0253,0.0589,0.0247
1.43,0.0676,0.0844,-0.0756,0.0614,0.0235
1.45,0.0647,0.0844,-0.0331,0.0684,0.0266
1.47,0.0619,0.0844,-0.2287,0.0745,0.0336
1.49,0.0593,0.0844,-0.1503,0.0832,0.0397
1.51,0.0569,0.0844,-0.1634,0.092,0.0426
1.53,0.0547,0.0844,-0.0469,0.0939,0.038
1.55,0.0526,0.0844,0.0836,0.0903,0.0308
1.57,0.0506,0.0844,0.152,0.0834,0.0249
1.59,0.0488,0.0844,-0.0331,0.0808,0.0198
1.61,0.047,0.0844,0.1006,0.0834,0.0207
1.63,0.0454,0.0844,-0.0213,0.0905,0.0199
1.65,0.0438,0.0844,0.0205,0.0999,0.0239
1.11,0.2238,0.101,-0.0061,0.0747,0.0438
1.13,0.2036,0.101,-0.0177,0.058,0.0406
1.15,0.1864,0.101,-0.0621,0.0522,0.0366
1.17,0.1717,0.101,-0.0779,0.0565,0.0326
1.19,0.159,0.101,-0.3096,0.063,0.0326
1.21,0.1478,0.101,-0.262,0.0751,0.0366
1.23,0.1379,0.101,-0.4315,0.0782,0.0471
1.25,0.1292,0.101,-0.2946,0.0732,0.0437
1.27,0.1214,0.101,-0.2473,0.0659,0.041
1.29,0.1143,0.101,-0.1011,0.0582,0.0378
1.31,0.108,0.101,-0.0433,0.058,0.0352
1.33,0.1022,0.101,0.0349,0.0545,0.0341
1.35,0.097,0.101,-0.0359,0.0544,0.0282
1.37,0.0921,0.101,-0.1474,0.0525,0.0316
1.39,0.0877,0.101,0.0343,0.0542,0.025
1.41,0.0837,0.101,0.0337,0.0551,0.0229
1.43,0.0799,0.101,-0.0121,0.0567,0.0201
1.45,0.0764,0.101,0.0989,0.0611,0.026
1.47,0.0732,0.101,-0.0294,0.0719,0.0259
