X,W,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err
0.0526,2.2344,4.404,2.3131,-0.1674,0.0986,0.112,0.8577
0.0521,2.2388,4.404,2.323,-0.08,0.0995,-0.3508,0.8788
0.0516,2.2435,4.404,2.3335,-0.1879,0.0752,0.1478,0.8271
0.0512,2.2473,4.404,2.342,-0.1454,0.0611,0.394,0.7754
0.0507,2.2521,4.404,2.353,-0.101,0.1039,0.5796,1.0625
0.0503,2.2565,4.404,2.3629,0.0643,0.103,0.2344,1.0629
0.0498,2.2609,4.404,2.3729,-0.1398,0.1832,-0.5876,1.0815
0.0493,2.2653,4.404,2.3829,-0.0846,0.1041,0.3096,1.0925
0.0489,2.2697,4.404,2.3931,-0.2201,0.1045,0.1451,1.0949
0.0484,2.274,4.404,2.403,-0.1899,0.1055,0.1421,1.1159
0.048,2.2784,4.404,2.4131,-0.2466,0.1051,-0.2499,1.1141
0.0476,2.2827,4.404,2.423,-0.2247,0.1054,1.0993,1.1294
0.0471,2.2871,4.404,2.433,-0.1433,0.1041,-0.5267,1.1279
0.0467,2.2914,4.404,2.4429,-0.2689,0.1055,-1.1494,1.149
0.0463,2.2957,4.404,2.4529,-0.1652,0.1082,1.5763,1.1927
0.0459,2.3001,4.404,2.463,-0.1751,0.1072,0.2723,1.1889
0.0454,2.3044,4.404,2.473,0.0034,0.1095,0.0038,1.2329
0.045,2.3091,4.404,2.4838,-0.1896,0.0848,-0.6328,1.1126
0.0446,2.3126,4.404,2.492,-0.1448,0.0664,0.6289,0.9461
0.0442,2.3173,4.404,2.5031,-0.218,0.105,2.7348,1.2846
0.0438,2.3216,4.404,2.5131,-0.1634,0.1054,0.2424,1.3022
0.0434,2.3258,4.404,2.523,-0.1599,0.1045,0.0421,1.2934
0.043,2.3301,4.404,2.533,-0.2322,0.107,-2.4388,1.337
0.0426,2.3344,4.404,2.5431,-0.1903,0.1041,0.1413,1.3092
0.0422,2.3386,4.404,2.553,-0.1541,0.1034,1.0961,1.3182
0.0418,2.3428,4.404,2.563,-0.1697,0.1056,0.1335,1.3502
0.0414,2.3471,4.404,2.5729,-0.1565,0.1053,0.215,1.3575
0.041,2.3514,4.404,2.5831,-0.1947,0.1053,-2.1283,1.3707
0.0406,2.3555,4.404,2.593,-0.2403,0.1066,0.5158,1.3796
0.0403,2.3597,4.404,2.6029,-0.0255,0.1069,4.9846,1.4503
0.0399,2.364,4.404,2.6131,-0.1621,0.1072,2.1406,1.4361
0.0395,2.3685,4.404,2.6238,-0.0659,0.088,0.2709,1.3114
0.0392,2.3717,4.404,2.6316,-0.2213,0.083,-0.3276,1.3019
0.0388,2.3766,4.404,2.6431,-0.0316,0.1329,2.1426,1.7909
0.0384,2.3807,4.404,2.653,-0.2363,0.1333,-0.9139,1.7936
0.038,2.3848,4.404,2.663,-0.2658,0.1329,-0.774,1.8076
0.0377,2.389,4.404,2.673,-0.2198,0.1318,0.9372,1.8077
0.0373,2.3932,4.404,2.6831,-0.2289,0.132,-0.1184,1.8169
0.037,2.3973,4.404,2.693,-0.3922,0.1323,-1.0097,1.834
0.0366,2.4014,4.404,2.7029,-0.0944,0.1314,3.3067,1.8704
0.0363,2.4056,4.404,2.7129,-0.1566,0.1324,-0.5015,1.8773
0.0359,2.4097,4.404,2.7229,-0.1611,0.1346,0.1677,1.9181
0.0356,2.4138,4.404,2.733,-0.4202,0.1389,1.8932,1.9776
0.0352,2.4179,4.404,2.7429,0.0555,0.1365,2.1977,1.9938
0.0348,2.4226,4.404,2.7543,-0.1991,0.087,-1.215,1.503
0.0346,2.4256,4.404,2.7616,-0.1846,0.0805,-0.5816,1.426
0.0342,2.4303,4.404,2.7731,-0.274,0.1555,0.0093,2.3543
0.0339,2.4342,4.404,2.7829,-0.2077,0.1576,3.9077,2.4354
0.0336,2.4384,4.404,2.7931,-0.0821,0.1537,3.7167,2.4047
0.0332,2.4424,4.404,2.803,-0.4014,0.1593,0.5469,2.4557
0.0329,2.4465,4.404,2.8129,-0.0808,0.1588,1.3646,2.4901
0.0326,2.4506,4.404,2.823,-0.0959,0.158,3.3936,2.5059
0.0323,2.4546,4.404,2.833,-0.1728,0.1579,1.5094,2.5164
0.0319,2.4587,4.404,2.8431,-0.3577,0.1573,0.6629,2.509
0.0316,2.4627,4.404,2.8529,-0.1267,0.163,2.1741,2.6504
0.0313,2.4667,4.404,2.863,-0.1014,0.1621,3.6528,2.6628
0.031,2.4707,4.404,2.8729,-0.1906,0.1656,2.3226,2.744
0.0308,2.474,4.404,2.8812,-0.2373,0.0982,-0.432,1.8951
0.0304,2.4788,4.404,2.893,-0.1162,0.1744,-0.2268,2.9282
0.0301,2.4827,4.404,2.903,-0.1564,0.1733,-0.0197,2.9339
0.0298,2.4867,4.404,2.913,-0.1458,0.1736,-0.8457,2.9588
0.0295,2.4908,4.404,2.923,-0.2534,0.1705,-2.3731,2.9168
0.0292,2.4948,4.404,2.9332,-0.0986,0.1732,2.6463,3.0228
0.0289,2.4987,4.404,2.943,0.1376,0.1742,-1.4101,3.0597
0.0286,2.5027,4.404,2.953,-0.1856,0.1762,0.338,3.1055
0.0283,2.5066,4.404,2.963,-0.2333,0.2209,2.6449,3.1308
0.028,2.5106,4.404,2.9731,-0.3669,0.18,-4.7956,3.2431
0.0277,2.5141,4.404,2.9819,-0.2332,0.2025,-1.1182,3.6695
