Q2,x,W,g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
2.433,,1.776,0.534,0.014,0.028,0.0313
2.429,,1.825,0.494,0.013,0.027,0.03
2.436,,1.876,0.468,0.012,0.027,0.0295
2.432,,1.925,0.433,0.011,0.026,0.0282
2.431,,1.975,0.432,0.01,0.026,0.0279
2.431,,2.025,0.464,0.01,0.026,0.0279
2.434,,2.074,0.464,0.009,0.025,0.0266
2.43,,2.126,0.47,0.009,0.024,0.0256
2.436,,2.176,0.456,0.009,0.024,0.0256
2.42,,2.225,0.448,0.008,0.023,0.0244
2.424,,2.276,0.422,0.008,0.022,0.0234
2.424,,2.326,0.407,0.007,0.022,0.0231
2.428,,2.375,0.403,0.007,0.021,0.0221
2.428,,2.425,0.375,0.007,0.02,0.0212
2.427,,2.475,0.392,0.007,0.019,0.0202
2.421,,2.525,0.396,0.007,0.018,0.0193
2.425,,2.574,0.381,0.007,0.018,0.0193
2.43,,2.625,0.371,0.007,0.017,0.0184
2.411,,2.673,0.373,0.007,0.018,0.0193
2.317,,2.715,0.318,0.012,0.018,0.0216
2.903,,1.175,0.183,0.055,0.027,0.0613
2.906,,1.276,0.236,0.034,0.027,0.0434
2.869,,1.326,0.397,0.031,0.029,0.0424
2.913,,1.377,0.486,0.027,0.03,0.0404
2.903,,1.427,0.553,0.025,0.03,0.0391
2.876,,1.474,0.531,0.02,0.029,0.0352
2.903,,1.523,0.582,0.016,0.029,0.0331
2.903,,1.575,0.567,0.017,0.029,0.0336
2.9,,1.625,0.556,0.016,0.028,0.0322
2.901,,1.675,0.548,0.013,0.028,0.0309
2.896,,1.725,0.559,0.012,0.027,0.0295
2.883,,1.775,0.551,0.012,0.027,0.0295
2.885,,1.825,0.534,0.012,0.027,0.0295
2.894,,1.875,0.465,0.012,0.026,0.0286
2.883,,1.924,0.471,0.011,0.025,0.0273
2.878,,1.976,0.465,0.01,0.025,0.0269
2.898,,2.025,0.491,0.01,0.025,0.0269
2.884,,2.075,0.484,0.009,0.024,0.0256
2.888,,2.125,0.484,0.009,0.023,0.0247
2.889,,2.175,0.505,0.009,0.023,0.0247
2.885,,2.224,0.476,0.009,0.022,0.0238
2.882,,2.274,0.464,0.008,0.021,0.0225
2.893,,2.325,0.436,0.008,0.021,0.0225
2.894,,2.375,0.441,0.008,0.02,0.0215
2.89,,2.425,0.43,0.008,0.019,0.0206
2.891,,2.475,0.406,0.008,0.018,0.0197
2.886,,2.525,0.433,0.008,0.018,0.0197
2.881,,2.573,0.417,0.008,0.019,0.0206
2.771,,2.621,0.412,0.011,0.02,0.0228
2.695,,2.657,0.378,0.038,0.019,0.0425
3.439,,1.175,-0.146,0.015,0.025,0.0292
3.431,,1.227,0.161,0.043,0.025,0.0497
3.447,,1.276,0.308,0.039,0.027,0.0474
3.423,,1.326,0.465,0.035,0.028,0.0448
3.45,,1.374,0.53,0.031,0.029,0.0424
3.453,,1.424,0.568,0.026,0.029,0.0389
3.434,,1.473,0.605,0.022,0.029,0.0364
3.431,,1.525,0.589,0.017,0.029,0.0336
3.435,,1.576,0.597,0.019,0.028,0.0338
3.441,,1.626,0.591,0.017,0.027,0.0319
3.443,,1.676,0.566,0.014,0.027,0.0304
3.435,,1.725,0.556,0.013,0.026,0.0291
3.439,,1.775,0.56,0.014,0.026,0.0295
3.437,,1.825,0.524,0.013,0.025,0.0282
3.447,,1.876,0.483,0.013,0.025,0.0282
3.44,,1.926,0.49,0.012,0.024,0.0268
3.435,,1.975,0.493,0.011,0.024,0.0264
3.44,,2.026,0.484,0.011,0.023,0.0255
3.452,,2.074,0.516,0.011,0.023,0.0255
3.446,,2.124,0.52,0.01,0.022,0.0242
3.435,,2.175,0.534,0.01,0.022,0.0242
3.433,,2.225,0.515,0.01,0.021,0.0233
3.441,,2.275,0.5,0.01,0.02,0.0224
3.453,,2.325,0.471,0.009,0.019,0.021
3.454,,2.374,0.465,0.009,0.019,0.021
3.427,,2.425,0.467,0.01,0.019,0.0215
3.376,,2.474,0.457,0.011,0.019,0.022
3.287,,2.521,0.458,0.015,0.02,0.025
3.212,,2.557,0.473,0.041,0.021,0.0461
4.115,,1.229,0.249,0.064,0.024,0.0684
4.095,,1.279,0.526,0.05,0.026,0.0564
