Unnamed: 0,Q2,x,W,Eb,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),Experiment
65,1.708,,2.325,,,,,,,0.138,0.026,0.024,0.0354,,,,,CLAS_EG1
66,1.695,,2.375,,,,,,,0.118,0.025,0.023,0.034,,,,,CLAS_EG1
67,1.709,,2.425,,,,,,,0.119,0.025,0.022,0.0333,,,,,CLAS_EG1
68,1.717,,2.475,,,,,,,0.141,0.023,0.021,0.0311,,,,,CLAS_EG1
69,1.715,,2.525,,,,,,,0.145,0.022,0.02,0.0297,,,,,CLAS_EG1
70,1.703,,2.576,,,,,,,0.118,0.021,0.019,0.0283,,,,,CLAS_EG1
71,1.711,,2.627,,,,,,,0.117,0.021,0.018,0.0277,,,,,CLAS_EG1
72,1.699,,2.675,,,,,,,0.109,0.021,0.017,0.027,,,,,CLAS_EG1
73,1.713,,2.724,,,,,,,0.128,0.02,0.016,0.0256,,,,,CLAS_EG1
74,1.675,,2.771,,,,,,,0.098,0.022,0.015,0.0266,,,,,CLAS_EG1
75,1.589,,2.806,,,,,,,0.157,0.097,0.015,0.0982,,,,,CLAS_EG1
76,2.063,,1.325,,,,,,,0.239,0.097,0.031,0.1018,,,,,CLAS_EG1
77,2.047,,1.377,,,,,,,0.245,0.086,0.035,0.0928,,,,,CLAS_EG1
78,2.049,,1.428,,,,,,,0.272,0.08,0.038,0.0886,,,,,CLAS_EG1
79,2.04,,1.477,,,,,,,0.412,0.073,0.039,0.0828,,,,,CLAS_EG1
80,2.044,,1.526,,,,,,,0.433,0.067,0.039,0.0775,,,,,CLAS_EG1
81,2.033,,1.575,,,,,,,0.402,0.061,0.038,0.0719,,,,,CLAS_EG1
82,2.029,,1.624,,,,,,,0.376,0.055,0.037,0.0663,,,,,CLAS_EG1
83,2.053,,1.676,,,,,,,0.373,0.05,0.036,0.0616,,,,,CLAS_EG1
84,2.026,,1.727,,,,,,,0.406,0.049,0.035,0.0602,,,,,CLAS_EG1
85,2.04,,1.776,,,,,,,0.274,0.049,0.034,0.0596,,,,,CLAS_EG1
86,2.047,,1.826,,,,,,,0.365,0.045,0.032,0.0552,,,,,CLAS_EG1
87,2.041,,1.877,,,,,,,0.247,0.044,0.031,0.0538,,,,,CLAS_EG1
88,2.043,,1.925,,,,,,,0.306,0.041,0.03,0.0508,,,,,CLAS_EG1
89,2.045,,1.975,,,,,,,0.259,0.037,0.03,0.0476,,,,,CLAS_EG1
90,2.036,,2.027,,,,,,,0.258,0.035,0.029,0.0455,,,,,CLAS_EG1
91,2.044,,2.076,,,,,,,0.268,0.033,0.029,0.0439,,,,,CLAS_EG1
92,2.038,,2.127,,,,,,,0.251,0.031,0.028,0.0418,,,,,CLAS_EG1
93,2.043,,2.175,,,,,,,0.265,0.03,0.027,0.0404,,,,,CLAS_EG1
94,2.02,,2.225,,,,,,,0.208,0.028,0.027,0.0389,,,,,CLAS_EG1
95,2.05,,2.276,,,,,,,0.207,0.028,0.025,0.0375,,,,,CLAS_EG1
96,2.033,,2.324,,,,,,,0.177,0.026,0.025,0.0361,,,,,CLAS_EG1
97,2.034,,2.375,,,,,,,0.173,0.024,0.024,0.0339,,,,,CLAS_EG1
98,2.036,,2.425,,,,,,,0.210,0.024,0.022,0.0326,,,,,CLAS_EG1
99,2.036,,2.476,,,,,,,0.185,0.024,0.021,0.0319,,,,,CLAS_EG1
100,2.039,,2.525,,,,,,,0.180,0.023,0.02,0.0305,,,,,CLAS_EG1
101,2.038,,2.575,,,,,,,0.160,0.023,0.019,0.0298,,,,,CLAS_EG1
102,2.03,,2.624,,,,,,,0.186,0.023,0.018,0.0292,,,,,CLAS_EG1
103,2.032,,2.674,,,,,,,0.156,0.021,0.017,0.027,,,,,CLAS_EG1
104,1.977,,2.72,,,,,,,0.153,0.029,0.016,0.0331,,,,,CLAS_EG1
105,2.46,,1.278,,,,,,,0.067,0.099,0.028,0.1029,,,,,CLAS_EG1
106,2.41,,1.324,,,,,,,0.179,0.093,0.031,0.098,,,,,CLAS_EG1
107,2.432,,1.375,,,,,,,0.342,0.081,0.035,0.0882,,,,,CLAS_EG1
108,2.433,,1.428,,,,,,,0.078,0.076,0.038,0.085,,,,,CLAS_EG1
109,2.433,,1.48,,,,,,,0.256,0.072,0.04,0.0824,,,,,CLAS_EG1
110,2.44,,1.531,,,,,,,0.367,0.065,0.04,0.0763,,,,,CLAS_EG1
111,2.425,,1.579,,,,,,,0.384,0.061,0.039,0.0724,,,,,CLAS_EG1
112,2.437,,1.627,,,,,,,0.403,0.054,0.038,0.066,,,,,CLAS_EG1
113,2.436,,1.676,,,,,,,0.325,0.049,0.037,0.0614,,,,,CLAS_EG1
114,2.419,,1.725,,,,,,,0.281,0.046,0.036,0.0584,,,,,CLAS_EG1
115,2.425,,1.775,,,,,,,0.339,0.044,0.035,0.0562,,,,,CLAS_EG1
116,2.425,,1.826,,,,,,,0.346,0.044,0.033,0.055,,,,,CLAS_EG1
117,2.427,,1.876,,,,,,,0.285,0.043,0.032,0.0536,,,,,CLAS_EG1
118,2.427,,1.925,,,,,,,0.359,0.043,0.031,0.053,,,,,CLAS_EG1
119,2.43,,1.975,,,,,,,0.231,0.037,0.031,0.0483,,,,,CLAS_EG1
120,2.42,,2.026,,,,,,,0.256,0.037,0.03,0.0476,,,,,CLAS_EG1
121,2.426,,2.075,,,,,,,0.274,0.034,0.03,0.0453,,,,,CLAS_EG1
122,2.42,,2.124,,,,,,,0.274,0.033,0.029,0.0439,,,,,CLAS_EG1
123,2.434,,2.175,,,,,,,0.273,0.03,0.028,0.041,,,,,CLAS_EG1
124,2.411,,2.226,,,,,,,0.235,0.029,0.027,0.0396,,,,,CLAS_EG1
125,2.43,,2.275,,,,,,,0.199,0.029,0.026,0.0389,,,,,CLAS_EG1
126,2.433,,2.325,,,,,,,0.220,0.028,0.025,0.0375,,,,,CLAS_EG1
127,2.427,,2.375,,,,,,,0.278,0.027,0.024,0.0361,,,,,CLAS_EG1
128,2.426,,2.426,,,,,,,0.207,0.026,0.023,0.0347,,,,,CLAS_EG1
129,2.42,,2.475,,,,,,,0.265,0.026,0.022,0.0341,,,,,CLAS_EG1
130,2.425,,2.525,,,,,,,0.200,0.026,0.021,0.0334,,,,,CLAS_EG1
131,2.425,,2.575,,,,,,,0.195,0.025,0.02,0.032,,,,,CLAS_EG1
132,2.396,,2.624,,,,,,,0.188,0.027,0.019,0.033,,,,,CLAS_EG1
133,2.31,,2.665,,,,,,,0.210,0.048,0.019,0.0516,,,,,CLAS_EG1
134,2.87,,1.372,,,,,,,0.352,0.09,0.036,0.0969,,,,,CLAS_EG1
135,2.891,,1.428,,,,,,,0.318,0.076,0.039,0.0854,,,,,CLAS_EG1
136,2.851,,1.478,,,,,,,0.509,0.082,0.04,0.0912,,,,,CLAS_EG1
137,2.919,,1.525,,,,,,,0.482,0.071,0.04,0.0815,,,,,CLAS_EG1
138,2.875,,1.575,,,,,,,0.372,0.062,0.039,0.0732,,,,,CLAS_EG1
139,2.888,,1.624,,,,,,,0.399,0.058,0.038,0.0693,,,,,CLAS_EG1
140,2.888,,1.674,,,,,,,0.436,0.051,0.037,0.063,,,,,CLAS_EG1
141,2.881,,1.726,,,,,,,0.445,0.05,0.036,0.0616,,,,,CLAS_EG1
142,2.902,,1.776,,,,,,,0.359,0.047,0.035,0.0586,,,,,CLAS_EG1
143,2.901,,1.826,,,,,,,0.416,0.046,0.034,0.0572,,,,,CLAS_EG1
144,2.9,,1.877,,,,,,,0.346,0.044,0.033,0.055,,,,,CLAS_EG1
145,2.893,,1.925,,,,,,,0.375,0.043,0.032,0.0536,,,,,CLAS_EG1
146,2.898,,1.975,,,,,,,0.302,0.041,0.032,0.052,,,,,CLAS_EG1
147,2.876,,2.025,,,,,,,0.229,0.037,0.031,0.0483,,,,,CLAS_EG1
148,2.871,,2.074,,,,,,,0.286,0.038,0.031,0.049,,,,,CLAS_EG1
149,2.874,,2.124,,,,,,,0.291,0.033,0.03,0.0446,,,,,CLAS_EG1
150,2.895,,2.176,,,,,,,0.295,0.034,0.029,0.0447,,,,,CLAS_EG1
151,2.889,,2.225,,,,,,,0.343,0.032,0.028,0.0425,,,,,CLAS_EG1
152,2.895,,2.275,,,,,,,0.260,0.031,0.027,0.0411,,,,,CLAS_EG1
153,2.88,,2.325,,,,,,,0.216,0.031,0.026,0.0405,,,,,CLAS_EG1
154,2.891,,2.376,,,,,,,0.262,0.03,0.025,0.0391,,,,,CLAS_EG1
155,2.879,,2.425,,,,,,,0.265,0.031,0.024,0.0392,,,,,CLAS_EG1
156,2.879,,2.475,,,,,,,0.222,0.03,0.023,0.0378,,,,,CLAS_EG1
157,2.853,,2.523,,,,,,,0.238,0.033,0.022,0.0397,,,,,CLAS_EG1
158,2.766,,2.57,,,,,,,0.192,0.049,0.022,0.0537,,,,,CLAS_EG1
159,3.45,,1.375,,,,,,,0.369,0.096,0.038,0.1032,,,,,CLAS_EG1
160,3.453,,1.426,,,,,,,0.425,0.098,0.04,0.1058,,,,,CLAS_EG1
161,3.42,,1.475,,,,,,,0.489,0.083,0.041,0.0926,,,,,CLAS_EG1
162,3.457,,1.525,,,,,,,0.459,0.083,0.041,0.0926,,,,,CLAS_EG1
163,3.424,,1.575,,,,,,,0.469,0.068,0.04,0.0789,,,,,CLAS_EG1
164,3.444,,1.625,,,,,,,0.433,0.065,0.039,0.0758,,,,,CLAS_EG1
165,3.433,,1.675,,,,,,,0.362,0.059,0.038,0.0702,,,,,CLAS_EG1
166,3.425,,1.724,,,,,,,0.347,0.054,0.037,0.0655,,,,,CLAS_EG1
167,3.459,,1.775,,,,,,,0.287,0.055,0.036,0.0657,,,,,CLAS_EG1
168,3.447,,1.826,,,,,,,0.353,0.052,0.035,0.0627,,,,,CLAS_EG1
169,3.467,,1.876,,,,,,,0.382,0.052,0.034,0.0621,,,,,CLAS_EG1
170,3.465,,1.926,,,,,,,0.368,0.048,0.033,0.0582,,,,,CLAS_EG1
171,3.445,,1.976,,,,,,,0.294,0.047,0.033,0.0574,,,,,CLAS_EG1
172,3.431,,2.026,,,,,,,0.313,0.043,0.032,0.0536,,,,,CLAS_EG1
173,3.436,,2.076,,,,,,,0.314,0.043,0.032,0.0536,,,,,CLAS_EG1
174,3.44,,2.126,,,,,,,0.317,0.039,0.031,0.0498,,,,,CLAS_EG1
175,3.436,,2.175,,,,,,,0.267,0.039,0.03,0.0492,,,,,CLAS_EG1
176,3.44,,2.225,,,,,,,0.403,0.038,0.029,0.0478,,,,,CLAS_EG1
177,3.437,,2.276,,,,,,,0.292,0.038,0.028,0.0472,,,,,CLAS_EG1
178,3.425,,2.325,,,,,,,0.228,0.038,0.027,0.0466,,,,,CLAS_EG1
179,3.433,,2.374,,,,,,,0.253,0.039,0.026,0.0469,,,,,CLAS_EG1
180,3.383,,2.423,,,,,,,0.207,0.044,0.026,0.0511,,,,,CLAS_EG1
181,3.275,,2.472,,,,,,,0.340,0.063,0.025,0.0678,,,,,CLAS_EG1
182,4.111,,1.525,,,,,,,0.548,0.098,0.041,0.1062,,,,,CLAS_EG1
183,4.095,,1.576,,,,,,,0.509,0.085,0.04,0.0939,,,,,CLAS_EG1
184,4.116,,1.627,,,,,,,0.353,0.077,0.039,0.0863,,,,,CLAS_EG1
185,4.094,,1.677,,,,,,,0.300,0.07,0.039,0.0801,,,,,CLAS_EG1
186,4.076,,1.725,,,,,,,0.297,0.069,0.038,0.0788,,,,,CLAS_EG1
187,4.124,,1.774,,,,,,,0.392,0.063,0.037,0.0731,,,,,CLAS_EG1
188,4.107,,1.826,,,,,,,0.509,0.061,0.036,0.0708,,,,,CLAS_EG1
189,4.111,,1.877,,,,,,,0.373,0.061,0.035,0.0703,,,,,CLAS_EG1
190,4.132,,1.925,,,,,,,0.369,0.059,0.035,0.0686,,,,,CLAS_EG1
191,4.094,,1.975,,,,,,,0.374,0.057,0.034,0.0664,,,,,CLAS_EG1
192,4.086,,2.025,,,,,,,0.379,0.054,0.033,0.0633,,,,,CLAS_EG1
193,4.069,,2.076,,,,,,,0.385,0.052,0.033,0.0616,,,,,CLAS_EG1
194,4.083,,2.126,,,,,,,0.332,0.055,0.032,0.0636,,,,,CLAS_EG1
195,4.053,,2.175,,,,,,,0.299,0.057,0.031,0.0649,,,,,CLAS_EG1
196,3.999,,2.225,,,,,,,0.278,0.063,0.03,0.0698,,,,,CLAS_EG1
197,3.945,,2.274,,,,,,,0.356,0.072,0.03,0.078,,,,,CLAS_EG1
198,3.891,,2.321,,,,,,,0.362,0.088,0.029,0.0927,,,,,CLAS_EG1
199,4.87,,1.676,,,,,,,0.445,0.092,0.04,0.1003,,,,,CLAS_EG1
200,4.854,,1.726,,,,,,,0.323,0.089,0.039,0.0972,,,,,CLAS_EG1
201,4.827,,1.775,,,,,,,0.366,0.093,0.038,0.1005,,,,,CLAS_EG1
202,4.821,,1.824,,,,,,,0.475,0.094,0.038,0.1014,,,,,CLAS_EG1
203,1.064,0.158,,,,,,,,0.072,0.025,0.02,0.032,,,,,CLAS_EG1
204,1.214,0.17,,,,,,,,0.087,0.009,0.018,0.0201,,,,,CLAS_EG1
205,1.415,0.18,,,,,,,,0.093,0.009,0.016,0.0184,,,,,CLAS_EG1
206,1.616,0.193,,,,,,,,0.108,0.021,0.015,0.0258,,,,,CLAS_EG1
207,1.265,0.214,,,,,,,,0.097,0.024,0.023,0.0332,,,,,CLAS_EG1
208,1.441,0.223,,,,,,,,0.123,0.01,0.022,0.0242,,,,,CLAS_EG1
209,1.705,0.224,,,,,,,,0.122,0.009,0.018,0.0201,,,,,CLAS_EG1
210,1.956,0.238,,,,,,,,0.151,0.016,0.017,0.0233,,,,,CLAS_EG1
211,1.471,0.271,,,,,,,,0.176,0.018,0.026,0.0316,,,,,CLAS_EG1
212,1.714,0.273,,,,,,,,0.153,0.012,0.024,0.0268,,,,,CLAS_EG1
213,2.039,0.274,,,,,,,,0.183,0.01,0.021,0.0233,,,,,CLAS_EG1
214,2.34,0.285,,,,,,,,0.188,0.018,0.02,0.0269,,,,,CLAS_EG1
215,1.515,0.316,,,,,,,,0.191,0.045,0.028,0.053,,,,,CLAS_EG1
216,1.712,0.323,,,,,,,,0.209,0.017,0.028,0.0328,,,,,CLAS_EG1
217,2.043,0.324,,,,,,,,0.21,0.013,0.026,0.0291,,,,,CLAS_EG1
218,2.429,0.324,,,,,,,,0.236,0.012,0.023,0.0259,,,,,CLAS_EG1
219,2.764,0.335,,,,,,,,0.2,0.025,0.022,0.0333,,,,,CLAS_EG1
220,1.727,0.373,,,,,,,,0.21,0.024,0.029,0.0376,,,,,CLAS_EG1
221,2.046,0.373,,,,,,,,0.259,0.018,0.029,0.0341,,,,,CLAS_EG1
222,2.432,0.374,,,,,,,,0.228,0.015,0.027,0.0309,,,,,CLAS_EG1
223,2.878,0.375,,,,,,,,0.255,0.015,0.025,0.0292,,,,,CLAS_EG1
224,3.254,0.389,,,,,,,,0.239,0.045,0.025,0.0515,,,,,CLAS_EG1
225,1.762,0.423,,,,,,,,0.267,0.035,0.032,0.0474,,,,,CLAS_EG1
226,2.054,0.423,,,,,,,,0.281,0.024,0.03,0.0384,,,,,CLAS_EG1
227,2.436,0.424,,,,,,,,0.27,0.019,0.03,0.0355,,,,,CLAS_EG1
228,2.896,0.425,,,,,,,,0.303,0.017,0.028,0.0328,,,,,CLAS_EG1
229,3.393,0.426,,,,,,,,0.271,0.021,0.027,0.0342,,,,,CLAS_EG1
230,1.797,0.473,,,,,,,,0.291,0.05,0.035,0.061,,,,,CLAS_EG1
231,2.05,0.473,,,,,,,,0.333,0.029,0.034,0.0447,,,,,CLAS_EG1
232,2.434,0.474,,,,,,,,0.321,0.025,0.032,0.0406,,,,,CLAS_EG1
233,2.892,0.474,,,,,,,,0.276,0.022,0.031,0.038,,,,,CLAS_EG1
234,3.448,0.474,,,,,,,,0.321,0.021,0.03,0.0366,,,,,CLAS_EG1
235,3.917,0.48,,,,,,,,0.29,0.042,0.03,0.0516,,,,,CLAS_EG1
236,1.818,0.523,,,,,,,,0.368,0.082,0.037,0.09,,,,,CLAS_EG1
237,2.04,0.524,,,,,,,,0.365,0.035,0.037,0.0509,,,,,CLAS_EG1
238,2.437,0.524,,,,,,,,0.322,0.029,0.035,0.0455,,,,,CLAS_EG1
239,2.91,0.524,,,,,,,,0.389,0.027,0.033,0.0426,,,,,CLAS_EG1
240,3.456,0.523,,,,,,,,0.292,0.025,0.032,0.0406,,,,,CLAS_EG1
241,4.032,0.526,,,,,,,,0.359,0.032,0.032,0.0453,,,,,CLAS_EG1
242,2.053,0.574,,,,,,,,0.445,0.045,0.039,0.0595,,,,,CLAS_EG1
243,2.446,0.573,,,,,,,,0.363,0.035,0.037,0.0509,,,,,CLAS_EG1
244,2.911,0.573,,,,,,,,0.399,0.031,0.036,0.0475,,,,,CLAS_EG1
245,3.469,0.574,,,,,,,,0.368,0.031,0.034,0.046,,,,,CLAS_EG1
246,4.115,0.574,,,,,,,,0.362,0.032,0.034,0.0467,,,,,CLAS_EG1
247,0.0496,0.1437,1.085,,,,,,,,,,,-4.0897,3.2359,6.7112,7.4506,CLAS_EG1b
248,0.0496,0.1352,1.095,,,,,,,,,,,0.8676,2.3378,0.366,2.3663,CLAS_EG1b
249,0.0496,0.1275,1.105,,,,,,,,,,,0.0935,1.7699,0.3179,1.7982,CLAS_EG1b
250,0.0496,0.1207,1.115,,,,,,,,,,,1.0428,1.4214,0.3998,1.4766,CLAS_EG1b
251,0.0496,0.1144,1.125,,,,,,,,,,,0.0396,1.042,0.2135,1.0636,CLAS_EG1b
252,0.0496,0.1087,1.135,,,,,,,,,,,-1.9087,0.8828,0.7649,1.1681,CLAS_EG1b
253,0.0496,0.1036,1.145,,,,,,,,,,,1.1177,0.7273,0.2379,0.7652,CLAS_EG1b
254,0.0496,0.0988,1.155,,,,,,,,,,,-0.0296,0.6177,0.1041,0.6264,CLAS_EG1b
255,0.0496,0.0945,1.165,,,,,,,,,,,-0.8282,0.5177,0.1428,0.537,CLAS_EG1b
256,0.0496,0.0904,1.175,,,,,,,,,,,-0.2237,0.4405,0.0586,0.4444,CLAS_EG1b
257,0.0496,0.0867,1.185,,,,,,,,,,,0.0705,0.3825,0.0511,0.3859,CLAS_EG1b
258,0.0496,0.0832,1.195,,,,,,,,,,,0.0339,0.3397,0.0421,0.3423,CLAS_EG1b
259,0.0496,0.08,1.205,,,,,,,,,,,-0.5676,0.3054,0.081,0.316,CLAS_EG1b
260,0.0496,0.077,1.215,,,,,,,,,,,-0.5017,0.2846,0.0793,0.2954,CLAS_EG1b
261,0.0496,0.0742,1.225,,,,,,,,,,,-0.1828,0.2731,0.043,0.2765,CLAS_EG1b
262,0.0496,0.0716,1.235,,,,,,,,,,,-0.2202,0.2713,0.0445,0.2749,CLAS_EG1b
263,0.0496,0.0691,1.245,,,,,,,,,,,0.2131,0.2752,0.0399,0.2781,CLAS_EG1b
264,0.0496,0.0668,1.255,,,,,,,,,,,0.0313,0.2867,0.0354,0.2889,CLAS_EG1b
265,0.0496,0.0646,1.265,,,,,,,,,,,0.0813,0.3031,0.035,0.3051,CLAS_EG1b
266,0.0496,0.0625,1.275,,,,,,,,,,,-0.4367,0.3156,0.0705,0.3234,CLAS_EG1b
267,0.0496,0.0606,1.285,,,,,,,,,,,-0.0132,0.3251,0.0348,0.327,CLAS_EG1b
268,0.0496,0.0587,1.295,,,,,,,,,,,-0.3144,0.3319,0.062,0.3376,CLAS_EG1b
269,0.0496,0.057,1.305,,,,,,,,,,,-0.1785,0.3279,0.0438,0.3308,CLAS_EG1b
270,0.0496,0.0553,1.315,,,,,,,,,,,-0.5992,0.3193,0.0645,0.3257,CLAS_EG1b
271,0.0496,0.0537,1.325,,,,,,,,,,,0.3621,0.3133,0.053,0.3178,CLAS_EG1b
272,0.0496,0.0522,1.335,,,,,,,,,,,-0.3152,0.3115,0.0401,0.3141,CLAS_EG1b
273,0.0496,0.0508,1.345,,,,,,,,,,,0.4493,0.3025,0.036,0.3046,CLAS_EG1b
274,0.0496,0.0494,1.355,,,,,,,,,,,-0.1693,0.2988,0.0269,0.3,CLAS_EG1b
275,0.0496,0.0481,1.365,,,,,,,,,,,-0.0557,0.3011,0.0271,0.3023,CLAS_EG1b
276,0.0496,0.0469,1.375,,,,,,,,,,,-0.6124,0.3001,0.0589,0.3058,CLAS_EG1b
277,0.0496,0.0457,1.385,,,,,,,,,,,-0.0319,0.2957,0.0205,0.2964,CLAS_EG1b
278,0.0496,0.0445,1.395,,,,,,,,,,,-0.285,0.2928,0.0288,0.2942,CLAS_EG1b
279,0.0496,0.0434,1.405,,,,,,,,,,,-0.5422,0.2847,0.0672,0.2925,CLAS_EG1b
280,0.0496,0.0424,1.415,,,,,,,,,,,0.0675,0.2777,0.018,0.2783,CLAS_EG1b
281,0.0496,0.0414,1.425,,,,,,,,,,,-0.4619,0.2669,0.0358,0.2693,CLAS_EG1b
282,0.0496,0.0404,1.435,,,,,,,,,,,0.2511,0.2586,0.025,0.2598,CLAS_EG1b
283,0.0496,0.0395,1.445,,,,,,,,,,,-0.1567,0.2487,0.0182,0.2494,CLAS_EG1b
284,0.0496,0.0386,1.455,,,,,,,,,,,-0.2526,0.2382,0.0527,0.244,CLAS_EG1b
