Unnamed: 0,Q2,x,W,Eb,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),Experiment
791,0.292,0.432,1.125,,,,,,,,,,,0.4191,0.3625,0.2502,0.4405,CLAS_EG1b
792,0.292,0.418,1.135,,,,,,,,,,,-0.0657,0.3078,0.1877,0.3605,CLAS_EG1b
793,0.292,0.4048,1.145,,,,,,,,,,,-0.4965,0.2666,0.1824,0.323,CLAS_EG1b
794,0.292,0.3923,1.155,,,,,,,,,,,0.1385,0.2441,0.1333,0.2781,CLAS_EG1b
795,0.292,0.3805,1.165,,,,,,,,,,,-0.3977,0.209,0.127,0.2446,CLAS_EG1b
796,0.292,0.3692,1.175,,,,,,,,,,,-0.3636,0.1813,0.1116,0.2129,CLAS_EG1b
797,0.292,0.3585,1.185,,,,,,,,,,,-0.5779,0.1624,0.1494,0.2207,CLAS_EG1b
798,0.292,0.3483,1.195,,,,,,,,,,,-0.4312,0.1437,0.1133,0.183,CLAS_EG1b
799,0.292,0.3386,1.205,,,,,,,,,,,-0.3168,0.134,0.0857,0.1591,CLAS_EG1b
800,0.292,0.3294,1.215,,,,,,,,,,,-0.3354,0.1226,0.0869,0.1503,CLAS_EG1b
801,0.292,0.3206,1.225,,,,,,,,,,,-0.5711,0.1191,0.1385,0.1827,CLAS_EG1b
802,0.292,0.3121,1.235,,,,,,,,,,,-0.4567,0.1188,0.1116,0.163,CLAS_EG1b
803,0.292,0.3041,1.245,,,,,,,,,,,-0.5829,0.1181,0.1401,0.1832,CLAS_EG1b
804,0.292,0.2964,1.255,,,,,,,,,,,-0.4407,0.1177,0.1085,0.1601,CLAS_EG1b
805,0.292,0.289,1.265,,,,,,,,,,,-0.3289,0.1221,0.0844,0.1484,CLAS_EG1b
806,0.292,0.2819,1.275,,,,,,,,,,,-0.3637,0.1214,0.0916,0.1521,CLAS_EG1b
807,0.292,0.2751,1.285,,,,,,,,,,,-0.4113,0.1284,0.1016,0.1637,CLAS_EG1b
808,0.292,0.2686,1.295,,,,,,,,,,,-0.2928,0.1289,0.074,0.1486,CLAS_EG1b
809,0.292,0.2623,1.305,,,,,,,,,,,0.009,0.1307,0.0404,0.1368,CLAS_EG1b
810,0.292,0.2563,1.315,,,,,,,,,,,0.0058,0.131,0.0383,0.1365,CLAS_EG1b
811,0.292,0.2504,1.325,,,,,,,,,,,-0.2307,0.1316,0.0591,0.1443,CLAS_EG1b
812,0.292,0.2449,1.335,,,,,,,,,,,-0.1077,0.1344,0.0423,0.1409,CLAS_EG1b
813,0.292,0.2395,1.345,,,,,,,,,,,-0.0446,0.1305,0.0375,0.1358,CLAS_EG1b
814,0.292,0.2343,1.355,,,,,,,,,,,-0.2541,0.1306,0.0616,0.1444,CLAS_EG1b
815,0.292,0.2293,1.365,,,,,,,,,,,-0.2121,0.1282,0.0508,0.1379,CLAS_EG1b
816,0.292,0.2245,1.375,,,,,,,,,,,0.2456,0.1284,0.0534,0.1391,CLAS_EG1b
817,0.292,0.2198,1.385,,,,,,,,,,,0.0413,0.1277,0.0295,0.1311,CLAS_EG1b
818,0.292,0.2153,1.395,,,,,,,,,,,-0.0228,0.1231,0.0288,0.1264,CLAS_EG1b
819,0.292,0.2109,1.405,,,,,,,,,,,0.0704,0.1163,0.0304,0.1202,CLAS_EG1b
820,0.292,0.2067,1.415,,,,,,,,,,,-0.1151,0.115,0.0332,0.1197,CLAS_EG1b
821,0.292,0.2027,1.425,,,,,,,,,,,0.026,0.1112,0.0286,0.1148,CLAS_EG1b
822,0.292,0.1987,1.435,,,,,,,,,,,0.207,0.1056,0.0418,0.1136,CLAS_EG1b
823,0.292,0.1949,1.445,,,,,,,,,,,-0.1079,0.1028,0.0329,0.1079,CLAS_EG1b
824,0.292,0.1912,1.455,,,,,,,,,,,0.0684,0.0985,0.0309,0.1032,CLAS_EG1b
825,0.292,0.1876,1.465,,,,,,,,,,,0.2568,0.0942,0.0443,0.1041,CLAS_EG1b
826,0.292,0.1841,1.475,,,,,,,,,,,-0.0638,0.0922,0.0235,0.0951,CLAS_EG1b
827,0.292,0.1807,1.485,,,,,,,,,,,0.2084,0.0869,0.0324,0.0927,CLAS_EG1b
828,0.292,0.1775,1.495,,,,,,,,,,,-0.0224,0.0816,0.0206,0.0842,CLAS_EG1b
829,0.292,0.1743,1.505,,,,,,,,,,,0.1582,0.0785,0.027,0.083,CLAS_EG1b
830,0.292,0.1712,1.515,,,,,,,,,,,0.1295,0.0756,0.0252,0.0797,CLAS_EG1b
831,0.292,0.1682,1.525,,,,,,,,,,,0.2811,0.0742,0.0361,0.0825,CLAS_EG1b
832,0.292,0.1653,1.535,,,,,,,,,,,0.1425,0.0766,0.0276,0.0814,CLAS_EG1b
833,0.292,0.1625,1.545,,,,,,,,,,,0.2059,0.0796,0.0304,0.0852,CLAS_EG1b
834,0.292,0.1597,1.555,,,,,,,,,,,0.1019,0.0765,0.0247,0.0804,CLAS_EG1b
835,0.292,0.157,1.565,,,,,,,,,,,0.0531,0.078,0.0235,0.0815,CLAS_EG1b
836,0.292,0.1544,1.575,,,,,,,,,,,0.1362,0.0818,0.0272,0.0862,CLAS_EG1b
837,0.292,0.1519,1.585,,,,,,,,,,,-0.0535,0.0847,0.0211,0.0873,CLAS_EG1b
838,0.292,0.1494,1.595,,,,,,,,,,,-0.0301,0.0806,0.0205,0.0832,CLAS_EG1b
839,0.292,0.147,1.605,,,,,,,,,,,0.1322,0.0813,0.0257,0.0853,CLAS_EG1b
840,0.292,0.1447,1.615,,,,,,,,,,,0.0999,0.0817,0.0234,0.085,CLAS_EG1b
841,0.292,0.1424,1.625,,,,,,,,,,,0.0334,0.0795,0.0202,0.082,CLAS_EG1b
842,0.292,0.1401,1.635,,,,,,,,,,,0.0269,0.0847,0.0195,0.0869,CLAS_EG1b
843,0.292,0.138,1.645,,,,,,,,,,,0.0859,0.0795,0.0207,0.0822,CLAS_EG1b
844,0.292,0.1359,1.655,,,,,,,,,,,0.1209,0.0788,0.0214,0.0817,CLAS_EG1b
845,0.292,0.1338,1.665,,,,,,,,,,,0.0708,0.0789,0.0183,0.081,CLAS_EG1b
846,0.292,0.1318,1.675,,,,,,,,,,,0.0406,0.0754,0.0165,0.0772,CLAS_EG1b
847,0.292,0.1298,1.685,,,,,,,,,,,-0.062,0.0777,0.0148,0.0791,CLAS_EG1b
848,0.292,0.1279,1.695,,,,,,,,,,,0.0183,0.0785,0.0153,0.08,CLAS_EG1b
849,0.292,0.126,1.705,,,,,,,,,,,-0.0161,0.0781,0.0143,0.0794,CLAS_EG1b
850,0.348,0.5408,1.085,,,,,,,,,,,0.2942,0.5951,1.5749,1.6836,CLAS_EG1b
851,0.348,0.5231,1.095,,,,,,,,,,,1.0074,0.4889,0.4284,0.65,CLAS_EG1b
852,0.348,0.5063,1.105,,,,,,,,,,,0.1881,0.4549,0.4712,0.655,CLAS_EG1b
853,0.348,0.4905,1.115,,,,,,,,,,,0.0828,0.3768,0.3325,0.5025,CLAS_EG1b
854,0.348,0.4755,1.125,,,,,,,,,,,-0.5318,0.362,0.2941,0.4664,CLAS_EG1b
855,0.348,0.4612,1.135,,,,,,,,,,,-0.2184,0.3075,0.1865,0.3596,CLAS_EG1b
856,0.348,0.4477,1.145,,,,,,,,,,,0.4213,0.2644,0.1863,0.3234,CLAS_EG1b
857,0.348,0.4348,1.155,,,,,,,,,,,-0.0821,0.2361,0.1114,0.2611,CLAS_EG1b
858,0.348,0.4226,1.165,,,,,,,,,,,-0.2466,0.2085,0.0998,0.2312,CLAS_EG1b
859,0.348,0.4109,1.175,,,,,,,,,,,-0.4878,0.176,0.123,0.2147,CLAS_EG1b
860,0.348,0.3998,1.185,,,,,,,,,,,-0.3296,0.1603,0.0906,0.1841,CLAS_EG1b
861,0.348,0.3891,1.195,,,,,,,,,,,-0.7336,0.1451,0.1646,0.2194,CLAS_EG1b
862,0.348,0.379,1.205,,,,,,,,,,,-0.6051,0.1298,0.1331,0.1859,CLAS_EG1b
863,0.348,0.3692,1.215,,,,,,,,,,,-0.5462,0.123,0.1192,0.1713,CLAS_EG1b
864,0.348,0.3599,1.225,,,,,,,,,,,-0.4914,0.1153,0.106,0.1566,CLAS_EG1b
865,0.348,0.351,1.235,,,,,,,,,,,-0.62,0.1147,0.1325,0.1752,CLAS_EG1b
866,0.348,0.3424,1.245,,,,,,,,,,,-0.4516,0.1136,0.0996,0.1511,CLAS_EG1b
867,0.348,0.3342,1.255,,,,,,,,,,,-0.4682,0.1145,0.1063,0.1562,CLAS_EG1b
868,0.348,0.3263,1.265,,,,,,,,,,,-0.2111,0.1181,0.0569,0.1311,CLAS_EG1b
869,0.348,0.3187,1.275,,,,,,,,,,,-0.2998,0.1229,0.0738,0.1434,CLAS_EG1b
870,0.348,0.3114,1.285,,,,,,,,,,,-0.3273,0.1239,0.0763,0.1455,CLAS_EG1b
871,0.348,0.3044,1.295,,,,,,,,,,,-0.3089,0.1259,0.0731,0.1456,CLAS_EG1b
872,0.348,0.2976,1.305,,,,,,,,,,,-0.1002,0.1252,0.0407,0.1316,CLAS_EG1b
873,0.348,0.2911,1.315,,,,,,,,,,,-0.1986,0.1268,0.0506,0.1365,CLAS_EG1b
874,0.348,0.2848,1.325,,,,,,,,,,,-0.0238,0.1277,0.0375,0.1331,CLAS_EG1b
875,0.348,0.2787,1.335,,,,,,,,,,,-0.0354,0.1314,0.0372,0.1366,CLAS_EG1b
876,0.348,0.2729,1.345,,,,,,,,,,,0.0828,0.1305,0.0373,0.1357,CLAS_EG1b
877,0.348,0.2672,1.355,,,,,,,,,,,0.1093,0.1298,0.0361,0.1347,CLAS_EG1b
878,0.348,0.2618,1.365,,,,,,,,,,,0.0248,0.1262,0.0293,0.1296,CLAS_EG1b
879,0.348,0.2565,1.375,,,,,,,,,,,0.2291,0.1229,0.0477,0.1318,CLAS_EG1b
880,0.348,0.2514,1.385,,,,,,,,,,,0.3082,0.1214,0.0564,0.1339,CLAS_EG1b
881,0.348,0.2464,1.395,,,,,,,,,,,-0.0562,0.1179,0.0297,0.1216,CLAS_EG1b
882,0.348,0.2416,1.405,,,,,,,,,,,0.4148,0.1169,0.0695,0.136,CLAS_EG1b
883,0.348,0.237,1.415,,,,,,,,,,,-0.0549,0.1129,0.0297,0.1167,CLAS_EG1b
884,0.348,0.2325,1.425,,,,,,,,,,,0.1628,0.1081,0.0381,0.1146,CLAS_EG1b
885,0.348,0.2281,1.435,,,,,,,,,,,0.224,0.1065,0.0459,0.116,CLAS_EG1b
886,0.348,0.2239,1.445,,,,,,,,,,,0.0084,0.0996,0.0299,0.104,CLAS_EG1b
887,0.348,0.2198,1.455,,,,,,,,,,,0.069,0.0983,0.0312,0.1031,CLAS_EG1b
888,0.348,0.2158,1.465,,,,,,,,,,,0.0908,0.0948,0.0295,0.0993,CLAS_EG1b
889,0.348,0.2119,1.475,,,,,,,,,,,0.2249,0.0911,0.0384,0.0989,CLAS_EG1b
890,0.348,0.2082,1.485,,,,,,,,,,,0.1034,0.086,0.0243,0.0894,CLAS_EG1b
891,0.348,0.2045,1.495,,,,,,,,,,,0.1198,0.0862,0.0248,0.0897,CLAS_EG1b
892,0.348,0.201,1.505,,,,,,,,,,,0.2138,0.081,0.0313,0.0868,CLAS_EG1b
893,0.348,0.1976,1.515,,,,,,,,,,,0.1969,0.0761,0.0286,0.0813,CLAS_EG1b
894,0.348,0.1942,1.525,,,,,,,,,,,0.2313,0.0771,0.0327,0.0837,CLAS_EG1b
895,0.348,0.1909,1.535,,,,,,,,,,,0.0676,0.0779,0.0247,0.0817,CLAS_EG1b
896,0.348,0.1878,1.545,,,,,,,,,,,0.0155,0.0871,0.0231,0.0901,CLAS_EG1b
897,0.348,0.1847,1.555,,,,,,,,,,,0.2446,0.0841,0.0354,0.0912,CLAS_EG1b
898,0.348,0.1817,1.565,,,,,,,,,,,0.2162,0.0858,0.0343,0.0924,CLAS_EG1b
899,0.348,0.1787,1.575,,,,,,,,,,,0.2281,0.0849,0.0353,0.0919,CLAS_EG1b
900,0.348,0.1759,1.585,,,,,,,,,,,0.0196,0.0876,0.023,0.0906,CLAS_EG1b
901,0.348,0.1731,1.595,,,,,,,,,,,0.1527,0.0865,0.029,0.0912,CLAS_EG1b
902,0.348,0.1704,1.605,,,,,,,,,,,0.1517,0.0837,0.0281,0.0883,CLAS_EG1b
903,0.348,0.1678,1.615,,,,,,,,,,,0.1833,0.0854,0.0303,0.0906,CLAS_EG1b
904,0.348,0.1652,1.625,,,,,,,,,,,-0.0084,0.0811,0.0202,0.0836,CLAS_EG1b
905,0.348,0.1627,1.635,,,,,,,,,,,0.2654,0.0801,0.0334,0.0868,CLAS_EG1b
906,0.348,0.1602,1.645,,,,,,,,,,,-0.0487,0.0844,0.0182,0.0863,CLAS_EG1b
907,0.348,0.1578,1.655,,,,,,,,,,,0.1397,0.0789,0.0233,0.0823,CLAS_EG1b
908,0.348,0.1555,1.665,,,,,,,,,,,0.1202,0.082,0.0218,0.0848,CLAS_EG1b
909,0.416,0.5847,1.085,,,,,,,,,,,0.5593,0.5919,1.1636,1.3055,CLAS_EG1b
910,0.416,0.5673,1.095,,,,,,,,,,,0.6049,0.4913,0.5245,0.7187,CLAS_EG1b
911,0.416,0.5508,1.105,,,,,,,,,,,-0.4728,0.4449,0.5934,0.7417,CLAS_EG1b
912,0.416,0.535,1.115,,,,,,,,,,,0.3165,0.3696,0.2863,0.4675,CLAS_EG1b
913,0.416,0.5201,1.125,,,,,,,,,,,0.1497,0.3433,0.2185,0.4069,CLAS_EG1b
914,0.416,0.5058,1.135,,,,,,,,,,,-0.1478,0.3095,0.1733,0.3547,CLAS_EG1b
915,0.416,0.4921,1.145,,,,,,,,,,,-0.386,0.2735,0.145,0.3096,CLAS_EG1b
916,0.416,0.4791,1.155,,,,,,,,,,,-0.2046,0.2382,0.1116,0.263,CLAS_EG1b
917,0.416,0.4666,1.165,,,,,,,,,,,-0.4405,0.1966,0.1124,0.2265,CLAS_EG1b
918,0.416,0.4547,1.175,,,,,,,,,,,-0.6837,0.1739,0.142,0.2245,CLAS_EG1b
919,0.416,0.4433,1.185,,,,,,,,,,,-0.2647,0.1535,0.0724,0.1697,CLAS_EG1b
920,0.416,0.4323,1.195,,,,,,,,,,,-0.2711,0.1413,0.0668,0.1563,CLAS_EG1b
921,0.416,0.4218,1.205,,,,,,,,,,,-0.5118,0.129,0.1023,0.1646,CLAS_EG1b
922,0.416,0.4117,1.215,,,,,,,,,,,-0.4466,0.1205,0.0895,0.1501,CLAS_EG1b
923,0.416,0.402,1.225,,,,,,,,,,,-0.4136,0.1158,0.0837,0.1429,CLAS_EG1b
924,0.416,0.3926,1.235,,,,,,,,,,,-0.557,0.1147,0.1065,0.1565,CLAS_EG1b
925,0.416,0.3837,1.245,,,,,,,,,,,-0.65,0.1122,0.1235,0.1669,CLAS_EG1b
926,0.416,0.375,1.255,,,,,,,,,,,-0.551,0.1189,0.1087,0.1611,CLAS_EG1b
927,0.416,0.3667,1.265,,,,,,,,,,,-0.3775,0.1107,0.0762,0.1344,CLAS_EG1b
928,0.416,0.3587,1.275,,,,,,,,,,,-0.3998,0.1172,0.0809,0.1424,CLAS_EG1b
929,0.416,0.3509,1.285,,,,,,,,,,,-0.1749,0.1212,0.0475,0.1302,CLAS_EG1b
930,0.416,0.3434,1.295,,,,,,,,,,,-0.1997,0.1236,0.0492,0.133,CLAS_EG1b
931,0.416,0.3362,1.305,,,,,,,,,,,-0.1563,0.1264,0.0444,0.134,CLAS_EG1b
932,0.416,0.3292,1.315,,,,,,,,,,,-0.0099,0.1276,0.0354,0.1324,CLAS_EG1b
933,0.416,0.3225,1.325,,,,,,,,,,,-0.1082,0.1259,0.0394,0.1319,CLAS_EG1b
934,0.416,0.316,1.335,,,,,,,,,,,-0.0355,0.1269,0.0345,0.1315,CLAS_EG1b
935,0.416,0.3097,1.345,,,,,,,,,,,0.0085,0.1275,0.0314,0.1313,CLAS_EG1b
936,0.416,0.3036,1.355,,,,,,,,,,,0.2386,0.1289,0.046,0.1369,CLAS_EG1b
937,0.416,0.2977,1.365,,,,,,,,,,,-0.1401,0.1245,0.0364,0.1297,CLAS_EG1b
938,0.416,0.2919,1.375,,,,,,,,,,,0.2064,0.1261,0.0425,0.1331,CLAS_EG1b
939,0.416,0.2864,1.385,,,,,,,,,,,0.0697,0.1235,0.0294,0.127,CLAS_EG1b
940,0.416,0.281,1.395,,,,,,,,,,,0.0346,0.1186,0.029,0.1221,CLAS_EG1b
941,0.416,0.2758,1.405,,,,,,,,,,,0.0764,0.1178,0.0352,0.1229,CLAS_EG1b
942,0.416,0.2707,1.415,,,,,,,,,,,0.3245,0.1198,0.0551,0.1319,CLAS_EG1b
943,0.416,0.2658,1.425,,,,,,,,,,,0.0463,0.1248,0.0305,0.1285,CLAS_EG1b
944,0.416,0.2611,1.435,,,,,,,,,,,0.2042,0.1159,0.0444,0.1241,CLAS_EG1b
945,0.416,0.2564,1.445,,,,,,,,,,,0.2036,0.1122,0.0427,0.1201,CLAS_EG1b
946,0.416,0.2519,1.455,,,,,,,,,,,0.0662,0.1068,0.0312,0.1113,CLAS_EG1b
947,0.416,0.2475,1.465,,,,,,,,,,,0.1896,0.1027,0.0371,0.1092,CLAS_EG1b
948,0.416,0.2433,1.475,,,,,,,,,,,0.3285,0.0966,0.0469,0.1074,CLAS_EG1b
949,0.416,0.2391,1.485,,,,,,,,,,,0.1943,0.0996,0.032,0.1046,CLAS_EG1b
950,0.416,0.2351,1.495,,,,,,,,,,,0.2894,0.0954,0.0381,0.1027,CLAS_EG1b
951,0.416,0.2312,1.505,,,,,,,,,,,0.2572,0.0905,0.0336,0.0965,CLAS_EG1b
952,0.416,0.2274,1.515,,,,,,,,,,,0.1933,0.0904,0.03,0.0952,CLAS_EG1b
953,0.416,0.2237,1.525,,,,,,,,,,,0.2704,0.0905,0.0369,0.0977,CLAS_EG1b
954,0.416,0.22,1.535,,,,,,,,,,,0.01,0.0901,0.0247,0.0934,CLAS_EG1b
955,0.416,0.2165,1.545,,,,,,,,,,,0.418,0.0893,0.0502,0.1024,CLAS_EG1b
956,0.416,0.2131,1.555,,,,,,,,,,,0.0407,0.0901,0.0255,0.0936,CLAS_EG1b
957,0.416,0.2097,1.565,,,,,,,,,,,0.3622,0.0927,0.0475,0.1042,CLAS_EG1b
958,0.416,0.2065,1.575,,,,,,,,,,,0.1042,0.0924,0.0283,0.0966,CLAS_EG1b
959,0.416,0.2033,1.585,,,,,,,,,,,0.0438,0.0944,0.0251,0.0977,CLAS_EG1b
960,0.416,0.2002,1.595,,,,,,,,,,,0.0141,0.0899,0.0235,0.0929,CLAS_EG1b
961,0.416,0.1971,1.605,,,,,,,,,,,0.4202,0.0932,0.051,0.1062,CLAS_EG1b
962,0.416,0.1942,1.615,,,,,,,,,,,0.2424,0.0954,0.0356,0.1018,CLAS_EG1b
963,0.416,0.1913,1.625,,,,,,,,,,,0.1042,0.0961,0.0253,0.0994,CLAS_EG1b
964,0.496,0.6267,1.085,,,,,,,,,,,-0.0274,0.6591,1.5385,1.6737,CLAS_EG1b
965,0.496,0.6099,1.095,,,,,,,,,,,-0.4016,0.5644,0.8402,1.0122,CLAS_EG1b
966,0.496,0.5938,1.105,,,,,,,,,,,-0.4221,0.4888,0.5255,0.7177,CLAS_EG1b
967,0.496,0.5784,1.115,,,,,,,,,,,-0.1464,0.4149,0.314,0.5203,CLAS_EG1b
968,0.496,0.5637,1.125,,,,,,,,,,,0.9501,0.377,0.2717,0.4647,CLAS_EG1b
969,0.496,0.5496,1.135,,,,,,,,,,,0.0972,0.3187,0.158,0.3557,CLAS_EG1b
970,0.496,0.536,1.145,,,,,,,,,,,-0.2599,0.2848,0.1239,0.3106,CLAS_EG1b
971,0.496,0.523,1.155,,,,,,,,,,,-0.1679,0.2437,0.0943,0.2613,CLAS_EG1b
972,0.496,0.5105,1.165,,,,,,,,,,,-0.4859,0.217,0.1062,0.2416,CLAS_EG1b
973,0.496,0.4985,1.175,,,,,,,,,,,-0.5186,0.193,0.1019,0.2182,CLAS_EG1b
974,0.496,0.487,1.185,,,,,,,,,,,-0.647,0.1645,0.1144,0.2004,CLAS_EG1b
975,0.496,0.4759,1.195,,,,,,,,,,,-0.2391,0.1513,0.0572,0.1618,CLAS_EG1b
976,0.496,0.4652,1.205,,,,,,,,,,,-0.4953,0.1423,0.0889,0.1678,CLAS_EG1b
977,0.496,0.4548,1.215,,,,,,,,,,,-0.3093,0.1335,0.0616,0.147,CLAS_EG1b
978,0.496,0.4449,1.225,,,,,,,,,,,-0.2847,0.1265,0.057,0.1387,CLAS_EG1b
979,0.496,0.4353,1.235,,,,,,,,,,,-0.3003,0.12,0.0581,0.1333,CLAS_EG1b
980,0.496,0.426,1.245,,,,,,,,,,,-0.1367,0.1233,0.0419,0.1302,CLAS_EG1b
981,0.496,0.4171,1.255,,,,,,,,,,,-0.5376,0.1262,0.0927,0.1566,CLAS_EG1b
982,0.496,0.4084,1.265,,,,,,,,,,,-0.48,0.1289,0.0851,0.1545,CLAS_EG1b
983,0.496,0.4,1.275,,,,,,,,,,,-0.353,0.1284,0.0665,0.1446,CLAS_EG1b
984,0.496,0.3919,1.285,,,,,,,,,,,-0.2697,0.1326,0.0551,0.1436,CLAS_EG1b
985,0.496,0.3841,1.295,,,,,,,,,,,-0.49,0.133,0.0849,0.1578,CLAS_EG1b
986,0.496,0.3765,1.305,,,,,,,,,,,-0.3669,0.1389,0.0669,0.1542,CLAS_EG1b
987,0.496,0.3692,1.315,,,,,,,,,,,-0.3931,0.1396,0.0697,0.156,CLAS_EG1b
988,0.496,0.3621,1.325,,,,,,,,,,,-0.0281,0.1386,0.0306,0.1419,CLAS_EG1b
989,0.496,0.3552,1.335,,,,,,,,,,,0.1349,0.138,0.0331,0.1419,CLAS_EG1b
990,0.496,0.3485,1.345,,,,,,,,,,,0.0772,0.1487,0.0297,0.1516,CLAS_EG1b
991,0.496,0.342,1.355,,,,,,,,,,,0.2084,0.1426,0.04,0.1481,CLAS_EG1b
992,0.496,0.3357,1.365,,,,,,,,,,,-0.0288,0.1407,0.0304,0.1439,CLAS_EG1b
993,0.496,0.3296,1.375,,,,,,,,,,,-0.1374,0.1349,0.0353,0.1394,CLAS_EG1b
994,0.496,0.3237,1.385,,,,,,,,,,,0.2967,0.1323,0.0483,0.1408,CLAS_EG1b
995,0.496,0.3179,1.395,,,,,,,,,,,-0.0098,0.1366,0.0309,0.1401,CLAS_EG1b
996,0.496,0.3123,1.405,,,,,,,,,,,-0.0972,0.1383,0.0323,0.142,CLAS_EG1b
997,0.496,0.3068,1.415,,,,,,,,,,,-0.1512,0.1302,0.0338,0.1345,CLAS_EG1b
998,0.496,0.3015,1.425,,,,,,,,,,,0.2325,0.1321,0.0425,0.1388,CLAS_EG1b
999,0.496,0.2964,1.435,,,,,,,,,,,0.0266,0.1284,0.0295,0.1317,CLAS_EG1b
1000,0.496,0.2914,1.445,,,,,,,,,,,0.2452,0.1263,0.0426,0.1333,CLAS_EG1b
1001,0.496,0.2865,1.455,,,,,,,,,,,0.1579,0.1174,0.0341,0.1223,CLAS_EG1b
1002,0.496,0.2817,1.465,,,,,,,,,,,0.1913,0.1221,0.0357,0.1272,CLAS_EG1b
1003,0.496,0.2771,1.475,,,,,,,,,,,0.3082,0.1161,0.0446,0.1244,CLAS_EG1b
1004,0.496,0.2726,1.485,,,,,,,,,,,0.2246,0.1072,0.0342,0.1125,CLAS_EG1b
1005,0.496,0.2682,1.495,,,,,,,,,,,0.1845,0.1059,0.0299,0.11,CLAS_EG1b
1006,0.496,0.2639,1.505,,,,,,,,,,,0.2429,0.0989,0.0327,0.1042,CLAS_EG1b
1007,0.496,0.2598,1.515,,,,,,,,,,,0.1525,0.0978,0.0277,0.1016,CLAS_EG1b
1008,0.496,0.2557,1.525,,,,,,,,,,,0.1448,0.1002,0.0288,0.1043,CLAS_EG1b
1009,0.496,0.2517,1.535,,,,,,,,,,,0.4238,0.1022,0.0501,0.1138,CLAS_EG1b
1010,0.496,0.2478,1.545,,,,,,,,,,,0.3272,0.1071,0.0441,0.1158,CLAS_EG1b
1011,0.496,0.2441,1.555,,,,,,,,,,,0.2555,0.1104,0.0388,0.117,CLAS_EG1b
1012,0.496,0.2404,1.565,,,,,,,,,,,0.2378,0.112,0.0371,0.118,CLAS_EG1b
1013,0.496,0.2368,1.575,,,,,,,,,,,0.2216,0.1228,0.0363,0.1281,CLAS_EG1b
1014,0.496,0.2332,1.585,,,,,,,,,,,0.0679,0.1263,0.0268,0.1291,CLAS_EG1b
1015,0.496,0.2298,1.595,,,,,,,,,,,0.2976,0.146,0.04,0.1514,CLAS_EG1b
1016,0.592,0.667,1.085,,,,,,,,,,,0.6206,0.6709,0.7896,1.0361,CLAS_EG1b
1017,0.592,0.651,1.095,,,,,,,,,,,0.9249,0.5288,0.3182,0.6172,CLAS_EG1b
1018,0.592,0.6357,1.105,,,,,,,,,,,-0.3007,0.4757,0.4522,0.6563,CLAS_EG1b
1019,0.592,0.6209,1.115,,,,,,,,,,,-0.0202,0.4476,0.2771,0.5264,CLAS_EG1b
1020,0.592,0.6066,1.125,,,,,,,,,,,-0.0766,0.3756,0.2022,0.4266,CLAS_EG1b
1021,0.592,0.5929,1.135,,,,,,,,,,,-0.018,0.3511,0.1451,0.3799,CLAS_EG1b
1022,0.592,0.5797,1.145,,,,,,,,,,,0.058,0.3114,0.1169,0.3326,CLAS_EG1b
1023,0.592,0.5669,1.155,,,,,,,,,,,-0.1357,0.2423,0.0839,0.2564,CLAS_EG1b
1024,0.592,0.5546,1.165,,,,,,,,,,,-0.1409,0.2409,0.0701,0.2509,CLAS_EG1b
1025,0.592,0.5427,1.175,,,,,,,,,,,-0.4105,0.2023,0.0764,0.2162,CLAS_EG1b
1026,0.592,0.5312,1.185,,,,,,,,,,,-0.5039,0.1761,0.0806,0.1937,CLAS_EG1b
1027,0.592,0.5201,1.195,,,,,,,,,,,-0.2269,0.1587,0.0488,0.166,CLAS_EG1b
1028,0.592,0.5093,1.205,,,,,,,,,,,-0.5139,0.1484,0.078,0.1677,CLAS_EG1b
1029,0.592,0.4989,1.215,,,,,,,,,,,-0.4985,0.1369,0.0742,0.1557,CLAS_EG1b
1030,0.592,0.4889,1.225,,,,,,,,,,,-0.5385,0.1373,0.079,0.1584,CLAS_EG1b
1031,0.592,0.4792,1.235,,,,,,,,,,,-0.5004,0.1384,0.0745,0.1572,CLAS_EG1b
1032,0.592,0.4697,1.245,,,,,,,,,,,-0.0888,0.1305,0.0346,0.135,CLAS_EG1b
1033,0.592,0.4606,1.255,,,,,,,,,,,-0.5315,0.1323,0.0778,0.1535,CLAS_EG1b
1034,0.592,0.4517,1.265,,,,,,,,,,,-0.5942,0.135,0.0874,0.1608,CLAS_EG1b
1035,0.592,0.4431,1.275,,,,,,,,,,,-0.4166,0.1372,0.0651,0.1519,CLAS_EG1b
1036,0.592,0.4348,1.285,,,,,,,,,,,-0.0374,0.14,0.0341,0.1441,CLAS_EG1b
1037,0.592,0.4267,1.295,,,,,,,,,,,-0.0613,0.1453,0.0328,0.149,CLAS_EG1b
1038,0.592,0.4189,1.305,,,,,,,,,,,-0.0931,0.1494,0.0326,0.1529,CLAS_EG1b
1039,0.592,0.4113,1.315,,,,,,,,,,,-0.3341,0.1515,0.054,0.1608,CLAS_EG1b
1040,0.592,0.4038,1.325,,,,,,,,,,,-0.0758,0.1528,0.03,0.1557,CLAS_EG1b
1041,0.592,0.3966,1.335,,,,,,,,,,,-0.0327,0.1587,0.0278,0.1611,CLAS_EG1b
