Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
5.0,0.123,,,,,-0.105,0.014,0.012,,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.173,,,,,-0.06,0.014,0.009,,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.242,,,,,-0.043,0.011,0.007,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.342,,,,,-0.018,0.013,0.005,,0.0139,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.441,,,,,-0.009,0.014,0.003,,0.0143,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
5.0,0.564,,,,,0.005,0.012,0.002,,0.0122,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E154
1.1,0.035,,,,,-0.269,0.182,0.065,,0.1933,-10.68,12.22,3.17,12.6245,,,,,-0.092,0.061,0.022,0.0648,,,,,,,,,,,,,SLAC_E142
1.2,0.05,,,,,-0.177,0.083,0.033,,0.0893,2.44,4.92,1.63,5.183,,,,,-0.082,0.038,0.017,0.0416,,,,,,,,,,,,,SLAC_E142
1.8,0.081,,,,,-0.151,0.044,0.025,,0.0506,-0.74,1.96,0.87,2.1444,,,,,-0.109,0.031,0.021,0.0374,,,,,,,,,,,,,SLAC_E142
2.5,0.124,,,,,-0.146,0.031,0.022,,0.038,-0.29,1.07,0.49,1.1769,,,,,-0.162,0.033,0.03,0.0446,,,,,,,,,,,,,SLAC_E142
3.1,0.174,,,,,-0.105,0.026,0.017,,0.0311,-0.88,0.74,0.34,0.8144,,,,,-0.17,0.041,0.042,0.0587,,,,,,,,,,,,,SLAC_E142
3.7,0.245,,,,,-0.045,0.018,0.009,,0.0201,-0.11,0.39,0.18,0.4295,,,,,-0.113,0.044,0.055,0.0704,,,,,,,,,,,,,SLAC_E142
4.4,0.341,,,,,0.011,0.019,0.005,,0.0196,0.16,0.28,0.09,0.2941,,,,,0.05,0.083,0.108,0.1362,,,,,,,,,,,,,SLAC_E142
5.5,0.466,,,,,0.0,0.016,0.003,,0.0163,-0.22,0.2,0.05,0.2062,,,,,0.006,0.159,0.108,0.1922,,,,,,,,,,,,,SLAC_E142
2.0,0.035,,,,,-0.311,0.207,0.074,,0.2198,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.05,,,,,-0.195,0.09,0.036,,0.0969,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.081,,,,,-0.154,0.044,0.026,,0.0511,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.124,,,,,-0.142,0.031,0.022,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.174,,,,,-0.099,0.026,0.016,,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.245,,,,,-0.042,0.018,0.009,,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.341,,,,,0.01,0.02,0.006,,0.0209,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
2.0,0.466,,,,,0.0,0.02,0.003,,0.0202,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E142
1.3,0.082,,,,,,,,,,,,,,,,,,-0.13,,,0.08,,,,,,,,,,,,,SLAC_E142
