Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
0.08472,0.0080220732947856,1.54,,,,-0.14529,0.15868,0.02565,,,,,,,-0.14705,0.16046,0.02606,,-0.20278,0.1798,0.02987,,,,,,,,,,,,,,CLAS_EG1b
0.08454,0.0080220732947856,1.5799,,,,-0.07851,0.15743,0.02351,,,,,,,-0.08019,0.16069,0.02408,,-0.12883,0.17725,0.02721,,,,,,,,,,,,,,CLAS_EG1b
0.08471,0.0080220732947856,1.62,,,,0.11215,0.16095,0.02012,,,,,,,0.11499,0.16491,0.02044,,0.09378,0.17963,0.02249,,,,,,,,,,,,,,CLAS_EG1b
0.08469,0.0080220732947856,1.6606,,,,-0.20066,0.1374,0.01805,,,,,,,-0.19815,0.13343,0.01745,,-0.23049,0.14376,0.01899,,,,,,,,,,,,,,CLAS_EG1b
0.08421,0.0080220732947856,1.6998,,,,0.02508,0.14419,0.02566,,,,,,,0.01967,0.12258,0.02183,,0.01249,0.13089,0.02385,,,,,,,,,,,,,,CLAS_EG1b
0.08422,0.0080220732947856,1.7403,,,,0.01304,0.15773,0.03313,,,,,,,0.01094,0.1283,0.02698,,0.01147,0.13594,0.02892,,,,,,,,,,,,,,CLAS_EG1b
0.08429,0.0080220732947856,1.7778,,,,-0.34823,0.1609,0.03047,,,,,,,-0.27754,0.1263,0.02449,,-0.30119,0.13296,0.02506,,,,,,,,,,,,,,CLAS_EG1b
0.0841,0.0080220732947856,1.8199,,,,0.00937,0.16482,0.02243,,,,,,,0.00579,0.12274,0.01725,,-0.00296,0.12849,0.01516,,,,,,,,,,,,,,CLAS_EG1b
0.08404,0.0080220732947856,1.8599,,,,-0.20111,0.17146,0.03159,,,,,,,-0.14418,0.12082,0.02178,,-0.15613,0.12587,0.02026,,,,,,,,,,,,,,CLAS_EG1b
0.08405,0.0080220732947856,1.8998,,,,-0.65527,0.19877,0.04599,,,,,,,-0.43926,0.13333,0.03058,,-0.45774,0.13834,0.0305,,,,,,,,,,,,,,CLAS_EG1b
0.08433,0.0080220732947856,1.9406,,,,-0.5848,0.23105,0.04803,,,,,,,-0.37454,0.14802,0.03095,,-0.38616,0.15302,0.03131,,,,,,,,,,,,,,CLAS_EG1b
0.08414,0.0080220732947856,1.9802,,,,-0.18353,0.25007,0.05037,,,,,,,-0.11011,0.15387,0.03076,,-0.10947,0.15854,0.03132,,,,,,,,,,,,,,CLAS_EG1b
0.08397,0.0080220732947856,2.0198,,,,0.52379,0.28727,0.05867,,,,,,,0.3125,0.17078,0.03471,,0.32594,0.17548,0.03546,,,,,,,,,,,,,,CLAS_EG1b
0.08373,0.0080220732947856,2.0507,,,,0.36284,0.48674,0.05237,,,,,,,0.21021,0.28103,0.0305,,0.21991,0.28814,0.0311,,,,,,,,,,,,,,CLAS_EG1b
0.08712,0.0080220732947856,2.5851,,,,1.5006,1.0934,0.20417,,,,,,,0.57213,0.41934,0.07901,,0.5785,0.42305,0.07973,,,,,,,,,,,,,,CLAS_EG1b
0.08602,0.0080220732947856,2.6235,,,,-0.36594,0.6583,0.11029,,,,,,,-0.13953,0.24803,0.04219,,-0.1394,0.25006,0.04253,,,,,,,,,,,,,,CLAS_EG1b
0.08485,0.0080220732947856,2.6581,,,,-0.40069,0.58003,0.01995,,,,,,,-0.14812,0.21527,0.00759,,-0.14797,0.2169,0.00761,,,,,,,,,,,,,,CLAS_EG1b
0.10084,0.0080220732947856,1.1406,,,,0.09695,0.11505,0.03257,,,,,,,0.22652,0.28323,0.08772,,0.35189,0.63547,0.17033,,,,,,,,,,,,,,CLAS_EG1b
0.10091,0.0080220732947856,1.1805,,,,-0.28603,0.15348,0.07562,,,,,,,-0.24648,0.12051,0.0539,,-0.49608,0.23092,0.13995,,,,,,,,,,,,,,CLAS_EG1b
0.10094,0.0080220732947856,1.22,,,,-0.53672,0.16405,0.10041,,,,,,,-0.29128,0.08817,0.06029,,-0.49956,0.15053,0.13039,,,,,,,,,,,,,,CLAS_EG1b
0.10095,0.0080220732947856,1.2595,,,,-0.2055,0.15267,0.08502,,,,,,,-0.16626,0.10622,0.0555,,-0.28236,0.16475,0.10058,,,,,,,,,,,,,,CLAS_EG1b
0.10115,0.0080220732947856,1.2996,,,,-0.28555,0.138,0.05407,,,,,,,-0.28374,0.13744,0.04984,,-0.46643,0.19693,0.06596,,,,,,,,,,,,,,CLAS_EG1b
0.10125,0.0080220732947856,1.3399,,,,-0.02955,0.12296,0.04194,,,,,,,-0.0347,0.15307,0.05024,,-0.12827,0.20595,0.03692,,,,,,,,,,,,,,CLAS_EG1b
0.10114,0.0080220732947856,1.38,,,,0.08701,0.10968,0.03432,,,,,,,0.11999,0.14892,0.04495,,0.06137,0.19083,0.02877,,,,,,,,,,,,,,CLAS_EG1b
0.10109,0.0080220732947856,1.4201,,,,-0.11899,0.10934,0.02695,,,,,,,-0.15669,0.14632,0.03566,,-0.27778,0.18038,0.03265,,,,,,,,,,,,,,CLAS_EG1b
0.10097,0.0080220732947856,1.4601,,,,-0.26062,0.11742,0.02206,,,,,,,-0.31461,0.13881,0.02714,,-0.44405,0.16574,0.0303,,,,,,,,,,,,,,CLAS_EG1b
0.10074,0.0080220732947856,1.4999,,,,-0.0387,0.1219,0.01643,,,,,,,-0.03953,0.12441,0.01814,,-0.09153,0.14486,0.02443,,,,,,,,,,,,,,CLAS_EG1b
0.1008,0.0080220732947856,1.5399,,,,-0.10202,0.12438,0.01225,,,,,,,-0.10588,0.12895,0.01301,,-0.16517,0.147,0.02045,,,,,,,,,,,,,,CLAS_EG1b
0.10076,0.0080220732947856,1.5799,,,,-0.14355,0.11635,0.01288,,,,,,,-0.15057,0.12204,0.01419,,-0.21596,0.13673,0.02052,,,,,,,,,,,,,,CLAS_EG1b
0.10058,0.0080220732947856,1.6201,,,,-0.21693,0.11493,0.01556,,,,,,,-0.22882,0.12131,0.01696,,-0.29101,0.13395,0.02093,,,,,,,,,,,,,,CLAS_EG1b
0.10037,0.0080220732947856,1.6598,,,,-0.31013,0.11886,0.01899,,,,,,,-0.31468,0.11933,0.01904,,-0.36347,0.13014,0.02137,,,,,,,,,,,,,,CLAS_EG1b
0.1005,0.0080220732947856,1.6997,,,,0.09081,0.12637,0.02697,,,,,,,0.08526,0.11089,0.02372,,0.08259,0.11972,0.02568,,,,,,,,,,,,,,CLAS_EG1b
0.10049,0.0080220732947856,1.7403,,,,0.13595,0.13292,0.03121,,,,,,,0.11384,0.11212,0.02622,,0.12107,0.11998,0.02765,,,,,,,,,,,,,,CLAS_EG1b
0.10021,0.0080220732947856,1.7771,,,,0.01891,0.13798,0.02743,,,,,,,0.01459,0.11288,0.02248,,0.00601,0.11991,0.02158,,,,,,,,,,,,,,CLAS_EG1b
0.10058,0.0080220732947856,1.82,,,,-0.30556,0.16311,0.0256,,,,,,,-0.24089,0.12664,0.02004,,-0.26453,0.13363,0.01659,,,,,,,,,,,,,,CLAS_EG1b
0.10044,0.0080220732947856,1.8598,,,,-0.28522,0.17397,0.03822,,,,,,,-0.21014,0.128,0.02763,,-0.22699,0.13431,0.0261,,,,,,,,,,,,,,CLAS_EG1b
0.10059,0.0080220732947856,1.9003,,,,-0.76819,0.1876,0.05262,,,,,,,-0.53954,0.13122,0.0366,,-0.56573,0.13703,0.0368,,,,,,,,,,,,,,CLAS_EG1b
0.10035,0.0080220732947856,1.94,,,,-0.69125,0.20925,0.05233,,,,,,,-0.4668,0.14009,0.03558,,-0.4845,0.14567,0.03623,,,,,,,,,,,,,,CLAS_EG1b
0.10029,0.0080220732947856,1.9801,,,,-0.10605,0.22375,0.0405,,,,,,,-0.06619,0.14384,0.02652,,-0.06403,0.14899,0.02699,,,,,,,,,,,,,,CLAS_EG1b
0.10021,0.0080220732947856,2.0196,,,,0.01114,0.27352,0.03438,,,,,,,0.00658,0.16977,0.02139,,0.01219,0.1753,0.02169,,,,,,,,,,,,,,CLAS_EG1b
0.09989,0.0080220732947856,2.0487,,,,0.09695,0.49855,1.6932,,,,,,,0.05932,0.30102,0.95733,,0.06614,0.31008,0.98288,,,,,,,,,,,,,,CLAS_EG1b
0.10491,0.0080220732947856,2.4641,,,,0.43937,1.5479,0.14907,,,,,,,0.18885,0.6657,0.06383,,0.19343,0.67447,0.06468,,,,,,,,,,,,,,CLAS_EG1b
0.10416,0.0080220732947856,2.5032,,,,-1.683,0.86508,0.14367,,,,,,,-0.70887,0.36301,0.06021,,-0.71568,0.36743,0.06097,,,,,,,,,,,,,,CLAS_EG1b
0.10315,0.0080220732947856,2.5437,,,,-0.74321,0.62456,0.1068,,,,,,,-0.30759,0.25631,0.04453,,-0.30934,0.25918,0.04509,,,,,,,,,,,,,,CLAS_EG1b
0.10172,0.0080220732947856,2.5818,,,,-0.34878,0.4289,0.04099,,,,,,,-0.14123,0.1728,0.0167,,-0.14105,0.17459,0.01689,,,,,,,,,,,,,,CLAS_EG1b
0.1008,0.0080220732947856,2.6209,,,,0.02539,0.37789,0.03455,,,,,,,0.0103,0.1497,0.01363,,0.01198,0.15114,0.01375,,,,,,,,,,,,,,CLAS_EG1b
0.1001,0.0080220732947856,2.6553,,,,-0.58598,0.4649,0.03618,,,,,,,-0.22933,0.18165,0.01418,,-0.22992,0.18328,0.01433,,,,,,,,,,,,,,CLAS_EG1b
0.12034,0.0080220732947856,1.1406,,,,-0.00409,0.09216,0.0316,,,,,,,0.02715,0.22877,0.09719,,-0.07932,0.54465,0.21157,,,,,,,,,,,,,,CLAS_EG1b
0.12043,0.0080220732947856,1.1805,,,,-0.25167,0.1227,0.06844,,,,,,,-0.22157,0.09659,0.05094,,-0.47528,0.19587,0.14932,,,,,,,,,,,,,,CLAS_EG1b
0.12052,0.0080220732947856,1.2201,,,,-0.23569,0.1301,0.0907,,,,,,,-0.12506,0.07006,0.05513,,-0.22428,0.12609,0.13959,,,,,,,,,,,,,,CLAS_EG1b
0.12048,0.0080220732947856,1.2597,,,,-0.24187,0.11943,0.07857,,,,,,,-0.17479,0.08357,0.05158,,-0.31491,0.13591,0.11186,,,,,,,,,,,,,,CLAS_EG1b
0.12029,0.0080220732947856,1.2996,,,,-0.22545,0.10603,0.05194,,,,,,,-0.22811,0.10662,0.04878,,-0.40508,0.15925,0.07564,,,,,,,,,,,,,,CLAS_EG1b
0.12012,0.0080220732947856,1.3396,,,,0.00996,0.09745,0.04244,,,,,,,0.01519,0.12286,0.05265,,-0.07087,0.17151,0.03987,,,,,,,,,,,,,,CLAS_EG1b
0.12002,0.0080220732947856,1.3798,,,,-0.12372,0.0911,0.03565,,,,,,,-0.17153,0.12603,0.04744,,-0.33035,0.16672,0.02023,,,,,,,,,,,,,,CLAS_EG1b
0.12009,0.0080220732947856,1.4199,,,,0.07987,0.09157,0.02565,,,,,,,0.10882,0.12526,0.03473,,0.03549,0.15887,0.02219,,,,,,,,,,,,,,CLAS_EG1b
0.12023,0.0080220732947856,1.46,,,,-0.2188,0.10024,0.02183,,,,,,,-0.25955,0.12139,0.02662,,-0.3968,0.14867,0.02942,,,,,,,,,,,,,,CLAS_EG1b
0.12009,0.0080220732947856,1.4999,,,,0.1061,0.10429,0.0214,,,,,,,0.10936,0.1094,0.02316,,0.07876,0.13028,0.03446,,,,,,,,,,,,,,CLAS_EG1b
0.11973,0.0080220732947856,1.5396,,,,0.1876,0.10562,0.01853,,,,,,,0.20024,0.11274,0.01949,,0.18165,0.1311,0.03251,,,,,,,,,,,,,,CLAS_EG1b
0.11978,0.0080220732947856,1.5797,,,,-0.13966,0.10802,0.0131,,,,,,,-0.15155,0.11696,0.0142,,-0.22687,0.13334,0.02627,,,,,,,,,,,,,,CLAS_EG1b
0.12006,0.0080220732947856,1.6199,,,,0.01483,0.10612,0.00978,,,,,,,0.01619,0.11592,0.01081,,-0.02667,0.13003,0.02006,,,,,,,,,,,,,,CLAS_EG1b
0.12015,0.0080220732947856,1.6599,,,,-0.1052,0.10665,0.01111,,,,,,,-0.10595,0.11086,0.01116,,-0.14011,0.12263,0.01603,,,,,,,,,,,,,,CLAS_EG1b
0.12009,0.0080220732947856,1.7,,,,-0.06682,0.11079,0.02018,,,,,,,-0.05767,0.10069,0.01831,,-0.07488,0.11007,0.02041,,,,,,,,,,,,,,CLAS_EG1b
0.11988,0.0080220732947856,1.7397,,,,-0.12506,0.11335,0.02574,,,,,,,-0.10975,0.0996,0.02279,,-0.1195,0.1078,0.02367,,,,,,,,,,,,,,CLAS_EG1b
0.11973,0.0080220732947856,1.7775,,,,-0.03946,0.13261,0.02283,,,,,,,-0.03365,0.11333,0.01975,,-0.04672,0.12161,0.01715,,,,,,,,,,,,,,CLAS_EG1b
0.11978,0.0080220732947856,1.8197,,,,-0.13449,0.15145,0.02109,,,,,,,-0.1121,0.12319,0.01721,,-0.13064,0.13118,0.01051,,,,,,,,,,,,,,CLAS_EG1b
0.12002,0.0080220732947856,1.8602,,,,-0.28466,0.16238,0.02929,,,,,,,-0.22182,0.12528,0.02231,,-0.24211,0.13254,0.01892,,,,,,,,,,,,,,CLAS_EG1b
0.11975,0.0080220732947856,1.8999,,,,-0.53405,0.17435,0.03744,,,,,,,-0.39152,0.12807,0.02729,,-0.41413,0.13473,0.02631,,,,,,,,,,,,,,CLAS_EG1b
0.11978,0.0080220732947856,1.94,,,,-0.48724,0.20052,0.04158,,,,,,,-0.34395,0.14093,0.02897,,-0.35862,0.14754,0.02911,,,,,,,,,,,,,,CLAS_EG1b
0.11967,0.0080220732947856,1.9797,,,,-0.56594,0.21588,0.04027,,,,,,,-0.3798,0.14568,0.02707,,-0.39061,0.15183,0.02763,,,,,,,,,,,,,,CLAS_EG1b
0.1197,0.0080220732947856,2.0198,,,,-0.18985,0.26197,0.03257,,,,,,,-0.12169,0.17055,0.02137,,-0.12002,0.17709,0.02174,,,,,,,,,,,,,,CLAS_EG1b
0.11926,0.0080220732947856,2.0464,,,,0.00394,0.52599,0.52497,,,,,,,0.00427,0.33339,0.31027,,0.01035,0.34525,0.31957,,,,,,,,,,,,,,CLAS_EG1b
0.12559,0.0080220732947856,2.3441,,,,-0.81021,1.5135,0.15318,,,,,,,-0.40141,0.74536,0.07737,,-0.40636,0.76004,0.079,,,,,,,,,,,,,,CLAS_EG1b
0.12513,0.0080220732947856,2.384,,,,0.30563,0.77983,0.08082,,,,,,,0.14595,0.37267,0.03858,,0.15142,0.37944,0.03926,,,,,,,,,,,,,,CLAS_EG1b
0.12353,0.0080220732947856,2.4218,,,,-1.0298,0.53369,0.10965,,,,,,,-0.48426,0.24816,0.05048,,-0.49,0.2523,0.05132,,,,,,,,,,,,,,CLAS_EG1b
0.12237,0.0080220732947856,2.4619,,,,-1.3194,0.42446,0.1165,,,,,,,-0.59705,0.19198,0.05277,,-0.6038,0.19492,0.05361,,,,,,,,,,,,,,CLAS_EG1b
0.1211,0.0080220732947856,2.5004,,,,0.03715,0.37716,0.07764,,,,,,,0.01702,0.16659,0.03477,,0.01953,0.16894,0.03528,,,,,,,,,,,,,,CLAS_EG1b
0.12068,0.0080220732947856,2.5416,,,,0.07979,0.32969,0.03542,,,,,,,0.03462,0.14248,0.01536,,0.03716,0.14434,0.01551,,,,,,,,,,,,,,CLAS_EG1b
0.12,0.0080220732947856,2.5806,,,,0.04641,0.30943,0.04733,,,,,,,0.01995,0.13137,0.01993,,0.02216,0.13297,0.02015,,,,,,,,,,,,,,CLAS_EG1b
0.11959,0.0080220732947856,2.6201,,,,-0.78441,0.33108,0.05423,,,,,,,-0.32865,0.1384,0.02257,,-0.33058,0.13997,0.02283,,,,,,,,,,,,,,CLAS_EG1b
0.1197,0.0080220732947856,2.6545,,,,-0.1347,0.44818,6.918,,,,,,,-0.05543,0.18505,2.8249,,-0.05427,0.18703,2.8538,,,,,,,,,,,,,,CLAS_EG1b
0.14351,0.0080220732947856,1.1406,,,,0.04625,0.07658,0.03039,,,,,,,0.14205,0.19223,0.0854,,0.21275,0.48361,0.16813,,,,,,,,,,,,,,CLAS_EG1b
0.14347,0.0080220732947856,1.1806,,,,-0.21935,0.09957,0.0658,,,,,,,-0.22234,0.07936,0.04959,,-0.50078,0.16984,0.15983,,,,,,,,,,,,,,CLAS_EG1b
0.1434,0.0080220732947856,1.2201,,,,-0.42355,0.10559,0.08658,,,,,,,-0.22974,0.05765,0.05368,,-0.43305,0.10922,0.15434,,,,,,,,,,,,,,CLAS_EG1b
0.14338,0.0080220732947856,1.2596,,,,-0.26596,0.09873,0.0739,,,,,,,-0.19077,0.07012,0.04869,,-0.35687,0.11963,0.12677,,,,,,,,,,,,,,CLAS_EG1b
0.14348,0.0080220732947856,1.2995,,,,-0.06133,0.08924,0.04739,,,,,,,-0.07245,0.09158,0.04563,,-0.17848,0.14289,0.08617,,,,,,,,,,,,,,CLAS_EG1b
0.14366,0.0080220732947856,1.3397,,,,0.07502,0.08148,0.04117,,,,,,,0.10326,0.10524,0.05311,,0.04424,0.15286,0.04646,,,,,,,,,,,,,,CLAS_EG1b
0.1436,0.0080220732947856,1.3798,,,,0.00147,0.07688,0.03741,,,,,,,0.00174,0.1093,0.05101,,-0.11677,0.14988,0.02378,,,,,,,,,,,,,,CLAS_EG1b
0.14349,0.0080220732947856,1.4198,,,,-0.01307,0.07687,0.02787,,,,,,,-0.02082,0.10838,0.03883,,-0.1489,0.14184,0.02472,,,,,,,,,,,,,,CLAS_EG1b
0.14348,0.0080220732947856,1.4598,,,,0.02473,0.08409,0.02397,,,,,,,0.02266,0.10524,0.03002,,-0.06838,0.13253,0.03631,,,,,,,,,,,,,,CLAS_EG1b
0.14359,0.0080220732947856,1.4998,,,,0.10924,0.0891,0.02299,,,,,,,0.11917,0.09691,0.02571,,0.08136,0.11835,0.04376,,,,,,,,,,,,,,CLAS_EG1b
0.14401,0.0080220732947856,1.54,,,,0.1383,0.08813,0.01864,,,,,,,0.15336,0.09774,0.02031,,0.12333,0.11628,0.04124,,,,,,,,,,,,,,CLAS_EG1b
0.14404,0.0080220732947856,1.5801,,,,0.06287,0.08486,0.01423,,,,,,,0.07109,0.0957,0.01582,,0.01908,0.11137,0.03462,,,,,,,,,,,,,,CLAS_EG1b
0.14381,0.0080220732947856,1.6199,,,,0.01621,0.08228,0.01385,,,,,,,0.01856,0.09385,0.01568,,-0.03063,0.10719,0.02934,,,,,,,,,,,,,,CLAS_EG1b
0.14376,0.0080220732947856,1.6598,,,,-0.22098,0.08373,0.01549,,,,,,,-0.24168,0.09097,0.0167,,-0.29932,0.10226,0.02468,,,,,,,,,,,,,,CLAS_EG1b
0.14371,0.0080220732947856,1.6997,,,,-0.1759,0.08797,0.02297,,,,,,,-0.16991,0.08373,0.02211,,-0.20444,0.09287,0.02586,,,,,,,,,,,,,,CLAS_EG1b
0.14361,0.0080220732947856,1.7393,,,,0.05681,0.09965,0.02818,,,,,,,0.05253,0.09207,0.0261,,0.05562,0.10097,0.02768,,,,,,,,,,,,,,CLAS_EG1b
0.14296,0.0080220732947856,1.7772,,,,-0.1935,0.1288,0.02512,,,,,,,-0.17366,0.11621,0.02287,,-0.20032,0.12617,0.02048,,,,,,,,,,,,,,CLAS_EG1b
0.14327,0.0080220732947856,1.8201,,,,-0.0059,0.14481,0.02536,,,,,,,-0.00225,0.1246,0.02159,,-0.01377,0.13408,0.01594,,,,,,,,,,,,,,CLAS_EG1b
0.14302,0.0080220732947856,1.8598,,,,-0.44271,0.15328,0.03048,,,,,,,-0.36283,0.12539,0.02484,,-0.39552,0.13393,0.02133,,,,,,,,,,,,,,CLAS_EG1b
0.143,0.0080220732947856,1.8999,,,,-0.34756,0.17037,0.03629,,,,,,,-0.27004,0.13274,0.02793,,-0.28896,0.14086,0.02666,,,,,,,,,,,,,,CLAS_EG1b
0.14296,0.0080220732947856,1.9398,,,,-0.66191,0.19591,0.04134,,,,,,,-0.49479,0.14607,0.03058,,-0.52018,0.15412,0.03085,,,,,,,,,,,,,,CLAS_EG1b
0.143,0.0080220732947856,1.9799,,,,0.0978,0.2027,0.03621,,,,,,,0.06882,0.14516,0.0262,,0.07777,0.15239,0.02682,,,,,,,,,,,,,,CLAS_EG1b
0.1433,0.0080220732947856,2.0202,,,,-0.03865,0.16402,0.02634,,,,,,,-0.02866,0.11298,0.0183,,-0.02328,0.11809,0.01845,,,,,,,,,,,,,,CLAS_EG1b
0.14155,0.0080220732947856,2.0442,,,,-0.27096,0.39597,0.30502,,,,,,,-0.18255,0.26653,0.19479,,-0.18385,0.27776,0.2022,,,,,,,,,,,,,,CLAS_EG1b
0.1502,0.0080220732947856,2.2232,,,,-0.89477,0.91708,0.33182,,,,,,,-0.51806,0.5269,0.19623,,-0.52931,0.5426,0.20258,,,,,,,,,,,,,,CLAS_EG1b
0.14886,0.0080220732947856,2.2617,,,,0.35709,0.63965,0.07814,,,,,,,0.20006,0.35586,0.04385,,0.20977,0.36556,0.04505,,,,,,,,,,,,,,CLAS_EG1b
0.14739,0.0080220732947856,2.3016,,,,-0.79189,0.52005,0.06923,,,,,,,-0.42947,0.28018,0.03763,,-0.43655,0.28716,0.03854,,,,,,,,,,,,,,CLAS_EG1b
0.14659,0.0080220732947856,2.3424,,,,0.15778,0.37494,0.059,,,,,,,0.08084,0.19571,0.03092,,0.08609,0.20019,0.03158,,,,,,,,,,,,,,CLAS_EG1b
0.14483,0.0080220732947856,2.3806,,,,-0.65859,0.30458,0.05084,,,,,,,-0.33441,0.1545,0.02558,,-0.33821,0.15774,0.02608,,,,,,,,,,,,,,CLAS_EG1b
0.14429,0.0080220732947856,2.4207,,,,0.01563,0.28623,0.04161,,,,,,,0.01021,0.14109,0.02064,,0.01354,0.14382,0.02099,,,,,,,,,,,,,,CLAS_EG1b
0.14331,0.0080220732947856,2.4597,,,,0.10926,0.28136,0.03403,,,,,,,0.05164,0.13506,0.0164,,0.0553,0.13747,0.01659,,,,,,,,,,,,,,CLAS_EG1b
0.14352,0.0080220732947856,2.5008,,,,0.02203,0.28657,0.03635,,,,,,,0.01161,0.13421,0.01708,,0.01446,0.13644,0.01726,,,,,,,,,,,,,,CLAS_EG1b
0.1431,0.0080220732947856,2.5404,,,,0.13879,0.2732,0.043,,,,,,,0.06368,0.12544,0.01974,,0.06708,0.12737,0.01995,,,,,,,,,,,,,,CLAS_EG1b
0.14294,0.0080220732947856,2.5798,,,,0.16541,0.28666,0.04485,,,,,,,0.07492,0.12947,0.02027,,0.07829,0.13134,0.02049,,,,,,,,,,,,,,CLAS_EG1b
0.14315,0.0080220732947856,2.6201,,,,-0.47256,0.30446,0.0393,,,,,,,-0.21094,0.1356,0.01729,,-0.21166,0.13742,0.01748,,,,,,,,,,,,,,CLAS_EG1b
0.14271,0.0080220732947856,2.6524,,,,-0.53115,0.41103,1.0885,,,,,,,-0.23437,0.18125,0.47604,,-0.2353,0.18355,0.48171,,,,,,,,,,,,,,CLAS_EG1b
0.14837,0.0080220732947856,2.9429,,,,0.85904,1.3477,0.35615,,,,,,,0.33091,0.53304,0.14107,,0.33479,0.53748,0.14223,,,,,,,,,,,,,,CLAS_EG1b
0.14722,0.0080220732947856,2.9836,,,,1.2841,0.9357,0.31361,,,,,,,0.49626,0.36111,0.1231,,0.50139,0.36391,0.12408,,,,,,,,,,,,,,CLAS_EG1b
0.17151,0.0080220732947856,1.1405,,,,-0.00825,0.05584,0.02857,,,,,,,0.02473,0.14411,0.11068,,-0.06155,0.3814,0.29803,,,,,,,,,,,,,,CLAS_EG1b
0.17145,0.0080220732947856,1.1805,,,,-0.28089,0.07308,0.06169,,,,,,,-0.25,0.05983,0.04627,,-0.57267,0.13489,0.16254,,,,,,,,,,,,,,CLAS_EG1b
0.17139,0.0080220732947856,1.2201,,,,-0.36594,0.07822,0.08091,,,,,,,-0.20537,0.04387,0.05153,,-0.4034,0.08746,0.1576,,,,,,,,,,,,,,CLAS_EG1b
0.1712,0.0080220732947856,1.2596,,,,-0.25833,0.07364,0.06908,,,,,,,-0.2045,0.0538,0.04703,,-0.38975,0.09632,0.12972,,,,,,,,,,,,,,CLAS_EG1b
0.17112,0.0080220732947856,1.2995,,,,0.00196,0.06761,0.04407,,,,,,,-0.00787,0.07144,0.04327,,-0.08085,0.11656,0.08893,,,,,,,,,,,,,,CLAS_EG1b
0.17109,0.0080220732947856,1.3396,,,,-0.01001,0.06289,0.03836,,,,,,,-0.01863,0.08388,0.05109,,-0.13706,0.12686,0.04916,,,,,,,,,,,,,,CLAS_EG1b
0.17112,0.0080220732947856,1.3797,,,,0.06195,0.06022,0.03763,,,,,,,0.09031,0.08863,0.05341,,-0.00647,0.12607,0.02941,,,,,,,,,,,,,,CLAS_EG1b
0.17118,0.0080220732947856,1.4198,,,,-0.00595,0.06134,0.0321,,,,,,,-0.00656,0.08974,0.04606,,-0.14429,0.12142,0.03507,,,,,,,,,,,,,,CLAS_EG1b
0.17133,0.0080220732947856,1.46,,,,0.08785,0.06559,0.02912,,,,,,,0.11948,0.08523,0.03801,,0.046,0.11058,0.04752,,,,,,,,,,,,,,CLAS_EG1b
0.17138,0.0080220732947856,1.5001,,,,0.05675,0.06729,0.02621,,,,,,,0.0643,0.07634,0.03093,,0.00726,0.09575,0.0531,,,,,,,,,,,,,,CLAS_EG1b
0.17125,0.0080220732947856,1.5399,,,,-0.03977,0.06574,0.01923,,,,,,,-0.0465,0.07616,0.02208,,-0.12288,0.09279,0.04771,,,,,,,,,,,,,,CLAS_EG1b
0.17105,0.0080220732947856,1.5798,,,,0.01025,0.06585,0.01484,,,,,,,0.01306,0.07774,0.01752,,-0.05795,0.09242,0.04001,,,,,,,,,,,,,,CLAS_EG1b
0.17098,0.0080220732947856,1.6198,,,,-0.03093,0.06731,0.01448,,,,,,,-0.03687,0.08055,0.01718,,-0.10275,0.09379,0.03397,,,,,,,,,,,,,,CLAS_EG1b
0.171,0.0080220732947856,1.6599,,,,-0.16045,0.06845,0.01378,,,,,,,-0.18407,0.07801,0.01525,,-0.2426,0.08922,0.02638,,,,,,,,,,,,,,CLAS_EG1b
0.17112,0.0080220732947856,1.6998,,,,-0.21147,0.07181,0.02232,,,,,,,-0.20961,0.07178,0.02222,,-0.25475,0.08088,0.02745,,,,,,,,,,,,,,CLAS_EG1b
0.17122,0.0080220732947856,1.7392,,,,-0.03993,0.08012,0.02835,,,,,,,-0.03904,0.07814,0.0277,,-0.04726,0.08693,0.0304,,,,,,,,,,,,,,CLAS_EG1b
0.17051,0.0080220732947856,1.7783,,,,0.02563,0.12342,0.02585,,,,,,,0.02287,0.11794,0.02467,,0.01097,0.12971,0.02335,,,,,,,,,,,,,,CLAS_EG1b
0.17056,0.0080220732947856,1.8197,,,,-0.28749,0.13711,0.02881,,,,,,,-0.26612,0.12542,0.02582,,-0.30295,0.13656,0.02207,,,,,,,,,,,,,,CLAS_EG1b
0.17077,0.0080220732947856,1.8598,,,,-0.51459,0.15027,0.0329,,,,,,,-0.44867,0.13084,0.02863,,-0.49294,0.14126,0.02629,,,,,,,,,,,,,,CLAS_EG1b
0.17079,0.0080220732947856,1.8999,,,,-0.25213,0.16533,0.02644,,,,,,,-0.20859,0.13721,0.02233,,-0.22606,0.14704,0.02004,,,,,,,,,,,,,,CLAS_EG1b
0.17089,0.0080220732947856,1.9399,,,,-0.06154,0.1422,0.02098,,,,,,,-0.04765,0.11282,0.01649,,-0.04784,0.1201,0.01474,,,,,,,,,,,,,,CLAS_EG1b
