Q2,x,g1,dg1(stat),dg1(sys),dg1(tot)
1.3,0.005,-1.0,1.3,0.4,1.3601
2.0,0.008,-2.4,0.8,0.2,0.8246
3.2,0.014,-1.0,0.4,0.1,0.4123
4.9,0.025,-0.46,0.39,0.07,0.3962
6.4,0.035,-0.34,0.35,0.06,0.3551
8.5,0.049,0.16,0.23,0.08,0.2435
11.9,0.077,-0.23,0.15,0.04,0.1552
16.8,0.12,-0.09,0.12,0.04,0.1265
22.2,0.17,0.25,0.12,0.05,0.13
29.4,0.24,0.06,0.08,0.03,0.0854
38.8,0.34,-0.08,0.066,0.017,0.0682
48.7,0.48,-0.024,0.034,0.008,0.0349
