W,x,Q2,A1,dA1(stat),dA1(sys)
1.085,0.7052,0.707,0.298,3.8546,1.3811
1.095,0.6902,0.707,2.764,3.0153,0.7237
1.105,0.6757,0.707,2.4507,2.6149,0.5329
1.115,0.6617,0.707,-1.6445,2.2597,0.6693
1.125,0.6481,0.707,-1.8774,1.9754,0.58
1.135,0.6349,0.707,1.4673,1.7412,0.3027
1.145,0.6222,0.707,1.0922,1.5349,0.2825
1.155,0.6098,0.707,-2.1583,1.3806,0.3761
1.165,0.5979,0.707,-1.4353,1.2612,0.2326
1.175,0.5863,0.707,0.2046,1.1353,0.2731
1.185,0.575,0.707,-1.4501,1.0474,0.2391
1.195,0.5641,0.707,-1.1842,0.9707,0.188
1.205,0.5535,0.707,0.8219,0.9092,0.2354
1.215,0.5432,0.707,0.0761,0.8725,0.0809
1.225,0.5332,0.707,-0.9251,0.8353,0.1771
1.235,0.5235,0.707,-0.0133,0.8085,0.0771
1.245,0.5141,0.707,-0.3197,0.8105,0.0755
1.255,0.5049,0.707,-0.9038,0.7964,0.1462
1.265,0.496,0.707,0.4392,0.7945,0.1559
1.275,0.4873,0.707,-1.4938,0.8065,0.2761
1.285,0.4788,0.707,-0.3697,0.8076,0.1091
1.295,0.4706,0.707,-0.337,0.8107,0.1625
1.305,0.4626,0.707,0.7731,0.8108,0.1829
1.315,0.4548,0.707,-0.1983,0.808,0.126
1.325,0.4472,0.707,-0.2649,0.8072,0.123
1.335,0.4398,0.707,0.0437,0.8076,0.1112
1.345,0.4326,0.707,0.2057,0.8015,0.0635
1.355,0.4256,0.707,1.5163,0.7855,0.2064
1.365,0.4187,0.707,-0.9121,0.7804,0.1604
1.375,0.412,0.707,0.0279,0.778,0.0719
1.385,0.4055,0.707,-0.0341,0.7681,0.0711
1.395,0.3991,0.707,0.3489,0.748,0.0734
1.405,0.3929,0.707,1.1714,0.7268,0.1993
1.415,0.3869,0.707,0.7269,0.7074,0.1196
1.425,0.3809,0.707,1.0644,0.6857,0.1645
1.435,0.3752,0.707,0.0482,0.6646,0.1193
1.445,0.3695,0.707,-0.6023,0.6433,0.0975
1.455,0.364,0.707,-0.8817,0.6209,0.1194
1.465,0.3586,0.707,-0.0543,0.6109,0.0516
1.475,0.3533,0.707,0.6408,0.6025,0.1096
1.485,0.3482,0.707,0.6369,0.5949,0.1715
1.495,0.3432,0.707,0.5138,0.57,0.1405
1.505,0.3382,0.707,0.8488,0.5337,0.1286
1.515,0.3334,0.707,0.8283,0.5058,0.1084
1.525,0.3287,0.707,0.9898,0.4932,0.1253
1.535,0.3241,0.707,0.1537,0.4842,0.0778
1.545,0.3196,0.707,-0.1494,0.4817,0.0498
1.555,0.3152,0.707,0.5327,0.4768,0.0885
1.565,0.3108,0.707,0.4713,0.473,0.0765
1.575,0.3066,0.707,0.3784,0.4735,0.0834
1.585,0.3025,0.707,0.1575,0.467,0.0679
1.595,0.2984,0.707,-0.4795,0.4628,0.0866
1.605,0.2944,0.707,-0.0421,0.4558,0.0495
1.615,0.2905,0.707,-0.011,0.4486,0.0799
1.625,0.2867,0.707,-0.1849,0.4423,0.0644
1.635,0.283,0.707,-0.2224,0.437,0.0472
1.645,0.2793,0.707,1.2967,0.43,0.1636
1.655,0.2757,0.707,-0.3374,0.4237,0.0551
1.665,0.2722,0.707,0.6292,0.4202,0.0966
1.675,0.2687,0.707,0.1365,0.4168,0.0507
1.685,0.2653,0.707,-0.0372,0.4102,0.0414
1.695,0.262,0.707,-0.0555,0.4003,0.0368
1.705,0.2588,0.707,0.1703,0.3889,0.0817
1.715,0.2556,0.707,0.2329,0.3792,0.0554
1.725,0.2524,0.707,0.5845,0.3792,0.0847
1.735,0.2493,0.707,0.2489,0.3758,0.0477
1.745,0.2463,0.707,-0.0145,0.3734,0.054
1.755,0.2433,0.707,0.1768,0.3749,0.0423
1.765,0.2404,0.707,0.5301,0.3755,0.0781
1.775,0.2376,0.707,-0.2918,0.3748,0.0641
1.785,0.2348,0.707,-0.0953,0.3755,0.0465
1.795,0.232,0.707,-0.0637,0.3747,0.0375
1.805,0.2293,0.707,-0.209,0.3713,0.0459
1.815,0.2266,0.707,0.1851,0.3679,0.0426
1.825,0.224,0.707,-0.1729,0.3602,0.0367
1.835,0.2215,0.707,0.8131,0.3577,0.1152
1.845,0.2189,0.707,0.0777,0.3542,0.0671
1.855,0.2165,0.707,0.4935,0.3487,0.0807
1.865,0.214,0.707,-0.8978,0.3444,0.1154
1.875,0.2116,0.707,0.3679,0.3425,0.0842
1.885,0.2093,0.707,-0.2051,0.3392,0.0476
1.895,0.2069,0.707,0.4988,0.3365,0.0726
1.905,0.2047,0.707,0.1672,0.3311,0.0375
1.915,0.2024,0.707,0.4801,0.3297,0.0699
1.925,0.2002,0.707,0.3219,0.3274,0.0535
1.935,0.1981,0.707,-0.148,0.3235,0.0284
1.945,0.1959,0.707,-0.0841,0.3172,0.0609
1.955,0.1938,0.707,0.2054,0.3149,0.0383
1.965,0.1918,0.707,0.3308,0.3126,0.0781
1.975,0.1898,0.707,0.1104,0.3096,0.0389
1.985,0.1878,0.707,0.0131,0.3055,0.0398
1.995,0.1858,0.707,0.2324,0.3004,0.0402
2.005,0.1839,0.707,0.1345,0.2999,0.0417
2.015,0.182,0.707,-0.0949,0.2977,0.046
2.025,0.1801,0.707,0.1533,0.294,0.0511
2.035,0.1782,0.707,0.3618,0.2906,0.0539
2.045,0.1764,0.707,-0.709,0.2882,0.0799
2.055,0.1746,0.707,0.3949,0.2836,0.0825
2.065,0.1729,0.707,0.2483,0.2828,0.057
2.075,0.1711,0.707,0.0646,0.2763,0.0364
2.085,0.1694,0.707,-0.1866,0.2744,0.0296
