Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.14,0.128,16.2,,,,,0.221,0.045,0.013,0.0468,0.217,0.045,0.013,0.0468
1.91,0.128,16.2,,,,,0.234,0.037,0.01,0.0383,0.233,0.037,0.01,0.0383
3.0,0.128,29.1,,,,,0.230,0.03,0.013,0.0327,0.228,0.031,0.013,0.0336
4.44,0.128,29.1,,,,,0.237,0.03,0.01,0.0316,0.243,0.031,0.01,0.0326
0.9,0.144,9.7,,,,,0.141,0.042,0.016,0.0449,0.134,0.042,0.016,0.0449
1.18,0.144,16.2,,,,,0.222,0.049,0.013,0.0507,0.218,0.049,0.013,0.0507
2.03,0.144,16.2,,,,,0.259,0.038,0.011,0.0396,0.258,0.038,0.011,0.0396
3.15,0.144,29.1,,,,,0.213,0.033,0.014,0.0358,0.227,0.033,0.014,0.0358
4.78,0.144,29.1,,,,,0.242,0.03,0.01,0.0316,0.242,0.03,0.01,0.0316
0.93,0.162,9.7,,,,,0.212,0.043,0.017,0.0462,0.205,0.043,0.017,0.0462
1.22,0.162,16.2,,,,,0.293,0.054,0.013,0.0555,0.290,0.054,0.014,0.0558
2.14,0.162,16.2,,,,,0.237,0.04,0.012,0.0418,0.237,0.04,0.013,0.0421
3.3,0.162,29.1,,,,,0.306,0.036,0.014,0.0386,0.297,0.037,0.015,0.0399
5.13,0.162,29.1,,,,,0.272,0.03,0.01,0.0316,0.269,0.03,0.011,0.032
0.97,0.182,9.7,,,,,0.303,0.045,0.018,0.0485,0.298,0.045,0.018,0.0485
1.25,0.182,16.2,,,,,0.239,0.06,0.014,0.0616,0.237,0.06,0.014,0.0616
2.25,0.182,16.2,,,,,0.257,0.043,0.014,0.0452,0.258,0.043,0.014,0.0452
3.45,0.182,29.1,,,,,0.313,0.04,0.014,0.0424,0.326,0.041,0.015,0.0437
5.49,0.182,29.1,,,,,0.320,0.031,0.011,0.0329,0.309,0.031,0.011,0.0329
1.0,0.205,9.7,,,,,0.253,0.048,0.017,0.0509,0.251,0.048,0.017,0.0509
1.29,0.205,16.2,,,,,0.304,0.066,0.015,0.0677,0.305,0.066,0.016,0.0679
2.36,0.205,16.2,,,,,0.301,0.046,0.015,0.0484,0.304,0.046,0.015,0.0484
3.59,0.205,29.1,,,,,0.303,0.044,0.015,0.0465,0.278,0.045,0.015,0.0474
5.86,0.205,29.1,,,,,0.371,0.032,0.012,0.0342,0.370,0.033,0.012,0.0351
1.03,0.23,9.7,,,,,0.332,0.05,0.018,0.0531,0.335,0.05,0.018,0.0531
1.32,0.23,16.2,,,,,0.255,0.073,0.017,0.075,0.260,0.073,0.017,0.075
2.47,0.23,16.2,,,,,0.376,0.05,0.015,0.0522,0.381,0.05,0.016,0.0525
3.73,0.23,29.1,,,,,0.389,0.049,0.015,0.0512,0.396,0.051,0.016,0.0535
6.23,0.23,29.1,,,,,0.273,0.035,0.012,0.037,0.272,0.036,0.013,0.0383
1.35,0.259,16.2,,,,,0.236,0.082,0.018,0.084,0.249,0.082,0.019,0.0842
2.57,0.259,16.2,,,,,0.485,0.055,0.016,0.0573,0.496,0.055,0.017,0.0576
3.85,0.259,29.1,,,,,0.384,0.055,0.016,0.0573,0.372,0.057,0.017,0.0595
6.6,0.259,29.1,,,,,0.477,0.038,0.014,0.0405,0.480,0.039,0.014,0.0414
1.37,0.292,16.2,,,,,0.340,0.091,0.02,0.0932,0.362,0.091,0.02,0.0932
2.67,0.292,16.2,,,,,0.498,0.061,0.017,0.0633,0.515,0.061,0.017,0.0633
3.98,0.292,29.1,,,,,0.361,0.063,0.017,0.0653,0.423,0.067,0.018,0.0694
6.97,0.292,29.1,,,,,0.395,0.043,0.015,0.0455,0.409,0.043,0.016,0.0459
2.76,0.329,16.2,,,,,0.419,0.068,0.021,0.0712,0.446,0.068,0.021,0.0712
4.09,0.329,29.1,,,,,0.456,0.075,0.018,0.0771,0.468,0.079,0.019,0.0813
7.33,0.329,29.1,,,,,0.418,0.048,0.02,0.052,0.428,0.049,0.021,0.0533
2.85,0.37,16.2,,,,,0.553,0.077,0.023,0.0804,0.594,0.077,0.024,0.0807
