Q2,Q2_bin,bin,x,W,g1/F1,dg1/F1(tot),g1,dg1(tot)
1.697,1.6971,3,0.3836363636363636,2.279218181818182,-0.008365400336427013,0.04300796705749443,-0.0022198174776857944,0.0002011091878710205
1.697,1.6971,4,0.4442727272727273,2.5952181818181814,-0.018620809216257424,0.05315631327931592,-0.0033436217280934082,0.0001486877337714598
2.4,2.4,5,0.5597000000000001,1.9927700000000002,0.10554001297546126,0.05088186810508695,0.008188861839048508,7.06268194438665e-05
2.4,2.4,3,0.38909523809523816,2.8533714285714287,0.00851970527114639,0.02768133682315239,0.0018632873224309519,9.352477765880274e-05
2.4,2.4,4,0.4671875,2.3672312499999997,0.0340860018743535,0.03953427734607879,0.004738317035253656,7.961003421577384e-05
2.4,2.4,6,0.6804666666666666,1.4425666666666668,-0.18021341722196071,0.0901952151186357,-0.006467527952303458,8.871303786576038e-05
4.233,4.2332,6,0.6820952380952381,1.6537857142857144,-0.06272503075449092,0.07385387157390413,-0.0015362308245733614,6.200019532309967e-05
4.233,4.2332,5,0.5496,2.4793666666666665,0.07115618945249841,0.052567747756116015,0.005466915463089699,7.360344196951756e-05
0.748,0.7483,0,0.07966666666666668,2.954333333333333,-0.07219753401430005,0.04054751987054567,-0.11734206314269043,0.0013966508872576208
0.849,0.8485,0,0.1055,2.8539999999999996,-0.11899383504927706,0.025110671775617592,-0.14864039779131075,0.000600156639833726
1.049,1.0488,0,0.13763636363636364,2.901581818181818,-0.13338375382734166,0.019298989756246693,-0.13150667950084322,0.0003462366921893836
1.196,1.1958,0,0.1588888888888889,2.934488888888889,-0.08713644674574657,0.01795359851569921,-0.07568720969867763,0.0002789836060414389
1.196,1.1958,1,0.19833333333333333,3.912266666666667,-0.12896056944830073,0.03468865188358445,-0.08543910807847786,0.00040592053777826413
1.442,1.4422,0,0.17175,3.361325,-0.11311099325250683,0.023904133268315537,-0.092860291706935,0.00033872453241065803
1.442,1.4422,1,0.22576923076923078,2.6613076923076924,-0.061345241821441736,0.02027080209362894,-0.03523989683794932,0.00020007001929114014
1.442,1.4422,2,0.274,2.461725,-0.09371510683899832,0.06705633777985459,-0.04225131728853301,0.0005285941975517452
1.697,1.6971,1,0.227125,3.05530625,-0.08018932896808043,0.017920196417851905,-0.04454527785707767,0.000183478428648334
1.697,1.6971,2,0.2982222222222223,2.6431722222222223,-0.040889398142390516,0.021334935111616493,-0.016324510515320412,0.0001604504479196357
2.4,2.4,2,0.3114615384615385,3.097092307692308,-0.002938767846820798,0.028874046894317204,-0.0010271572299253573,0.00017293124306788204
4.233,4.2332,4,0.46754545454545454,2.780690909090909,-0.0112095036900226,0.052750605921167225,-0.0013114094508537152,9.048676665981537e-05
